#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
bk14 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.97 44.15 14.49 22.79 10.21
1 2.24 48.86 12.70 24.11 10.20
2 2.37 46.34 15.69 25.32 11.23
3 2.81 41.72 14.05 26.29 10.34
4 2.66 43.66 13.64 26.45 11.45
5 3.18 50.91 13.56 26.61 11.45
6 3.20 45.39 14.14 25.03 11.54
7 3.08 48.21 17.37 26.20 11.71
8 3.59 53.77 13.67 26.87 10.93
9 3.68 42.90 14.55 27.52 11.06
10 3.63 41.09 14.49 26.63 13.86
11 3.74 48.14 15.76 30.35 12.63
12 3.94 43.98 14.93 28.24 12.78
13 4.02 46.60 14.70 27.44 13.36
14 4.36 50.02 16.42 30.41 12.96
15 4.70 42.04 16.96 29.96 12.26
16 4.79 54.76 15.62 28.41 13.38
17 5.09 37.42 15.75 29.20 12.45
18 4.87 46.24 14.89 28.51 14.11
19 5.05 52.72 14.90 27.47 13.24
20 5.36 57.19 14.55 26.99 13.08
21 5.13 48.40 17.43 29.08 13.62
22 5.54 33.16 14.84 26.96 10.14
23 5.44 35.18 15.89 27.61 12.07
24 5.32 44.21 16.68 28.79 14.26
25 5.77 39.95 17.82 31.53 14.02
26 5.79 50.72 17.87 33.17 14.80
27 5.50 54.87 15.88 29.19 13.46
28 6.04 46.54 17.99 32.29 14.03
29 6.05 44.04 18.25 30.41 16.49
30 6.03 53.02 17.97 32.42 14.91
31 6.35 42.04 19.47 31.79 15.43
32 6.28 36.89 16.08 31.52 12.42
33 6.46 55.56 18.36 32.18 14.38
34 6.38 58.96 14.28 25.58 12.23
35 6.69 49.10 18.09 32.69 14.75
36 6.43 32.00 16.47 34.32 10.84
37 7.02 39.68 17.79 34.01 15.36
38 6.93 32.36 15.36 30.66 11.92
39 6.78 43.61 21.00 31.15 16.40
40 6.88 52.27 15.78 31.55 16.29
41 7.44 60.00 14.18 27.29 13.93
42 7.34 44.57 17.38 31.07 15.31
43 7.18 41.70 18.77 31.82 16.41
44 7.22 35.31 15.96 31.46 13.14
45 7.21 56.42 16.07 30.93 15.57
46 7.52 47.05 19.44 32.02 14.90
47 7.34 61.25 15.14 26.65 13.19
48 7.41 62.86 11.10 23.39 12.15
49 7.68 33.77 16.98 31.80 11.71
50 7.65 30.66 16.61 29.64 11.36
51 7.58 37.46 19.00 32.04 13.83
52 8.04 53.13 19.02 32.48 16.01
53 7.88 34.94 16.52 30.10 13.90
54 8.27 42.66 19.81 34.93 16.00
55 8.09 50.80 20.63 34.87 18.14
56 8.46 40.68 18.53 33.14 15.17
57 8.01 29.77 15.06 26.94 10.94
58 8.23 57.51 17.17 30.34 16.18
59 8.26 38.34 18.24 33.69 15.51
60 8.37 62.56 15.28 26.26 15.14
61 8.35 32.25 16.30 27.92 13.50
62 8.61 45.04 20.42 33.09 15.51
63 8.64 49.21 19.87 35.09 16.63
64 8.46 55.20 19.61 30.65 16.02
65 8.54 30.40 14.42 26.48 13.30
66 8.53 28.36 13.21 23.47 11.91
67 8.96 59.92 18.96 30.11 17.72
68 9.00 33.43 17.21 26.79 13.76
69 8.96 36.13 17.58 31.66 15.30
70 8.86 39.47 16.47 35.07 14.93
71 8.82 29.50 17.71 27.86 9.43
72 9.36 51.48 18.38 32.51 17.42
73 9.02 56.88 20.45 30.68 16.53
74 9.06 27.82 12.59 26.71 10.68
75 9.19 54.84 18.62 31.40 17.96
76 9.33 38.69 18.22 33.76 14.56
77 9.03 64.13 15.57 22.71 18.14
78 9.22 53.34 19.55 32.18 16.30
79 9.29 37.45 19.07 32.30 16.93
80 9.54 63.23 17.09 26.09 17.80
81 9.43 28.84 15.42 26.42 13.38
82 9.46 47.80 16.93 34.04 18.38
83 9.48 35.02 16.82 30.54 14.95
84 9.40 64.52 20.33 21.87 19.00
85 9.41 26.90 14.86 22.43 9.86
86 9.79 40.70 17.90 34.22 17.66
87 9.71 45.17 21.23 36.06 16.86
88 9.67 61.51 17.60 28.19 21.83
89 9.88 33.74 17.09 32.22 15.65
90 10.13 42.84 19.02 34.90 17.96
91 9.95 49.22 22.35 34.23 19.65
92 9.76 64.77 15.00 27.00 20.75
93 10.04 60.32 15.03 28.62 18.97
94 10.20 36.58 18.60 32.46 16.76
95 10.10 57.73 19.35 32.44 19.14
96 10.08 32.17 17.28 26.11 17.89
97 10.41 26.76 15.45 25.63 12.40
98 10.44 28.49 16.30 28.96 13.68
99 10.17 65.08 16.62 24.62 17.92
100 10.38 66.55 13.00 21.81 18.92
101 10.64 47.50 19.47 37.29 18.59
102 10.43 61.97 17.68 29.28 18.95
103 10.57 23.97 12.96 21.48 9.28
104 10.67 51.95 19.67 35.44 20.61
105 10.63 49.86 18.91 35.30 19.39
106 10.42 63.86 15.50 27.23 16.80
107 10.82 39.41 18.51 33.59 18.37
108 11.07 56.16 20.53 33.27 21.64
109 10.61 25.47 11.10 23.40 12.90
110 10.87 32.89 18.64 29.87 15.58
111 10.79 54.35 19.70 34.54 20.76
112 11.25 44.13 20.63 35.83 19.22
113 11.07 35.93 15.71 34.03 17.47
114 11.03 63.81 18.05 27.18 24.87
115 11.00 29.14 16.81 25.31 14.94
116 11.10 23.03 12.73 20.31 9.65
117 11.08 26.09 11.92 24.17 12.92
118 11.18 38.09 18.50 30.50 19.04
119 11.16 24.74 12.67 19.47 12.93
120 11.73 46.24 22.18 38.47 21.42
121 11.82 62.26 17.63 27.39 26.87
122 11.56 66.56 17.62 25.04 27.28
123 11.55 50.74 21.24 36.51 21.08
124 11.73 41.70 21.21 35.45 19.71
125 11.42 34.01 21.29 32.00 15.00
126 11.79 35.03 18.22 30.36 16.96
127 11.63 48.82 21.24 40.22 22.94
128 11.73 64.25 16.94 26.75 27.19
129 11.72 25.13 16.06 23.94 15.17
130 11.68 28.74 17.21 24.82 16.48
131 12.18 54.06 22.30 33.73 25.78
132 11.75 30.19 18.68 28.68 14.92
133 11.68 37.11 20.55 30.91 18.68
134 11.90 57.65 21.35 33.54 25.49
135 12.09 39.88 21.23 34.46 21.80
136 12.07 22.90 13.29 19.16 12.66
137 12.28 51.32 20.36 35.49 23.97
138 11.92 38.44 19.50 34.00 19.00
139 12.18 26.36 14.82 24.00 13.90
140 12.37 28.03 17.38 25.56 14.92
141 12.32 67.90 16.06 20.00 31.67
142 12.43 36.81 20.15 32.18 19.24
143 12.57 43.37 21.16 37.38 22.27
144 12.64 59.91 19.73 29.04 30.28
145 12.41 38.20 19.80 32.80 20.00
146 12.54 44.90 19.47 36.82 22.85
147 12.85 65.29 17.98 27.67 34.93
148 12.79 25.45 16.92 23.44 15.78
149 12.88 33.90 20.54 30.84 21.31
150 12.92 47.19 22.16 38.73 25.72
151 12.71 57.90 18.34 33.20 24.34
152 12.79 68.83 14.98 23.34 29.34
153 13.24 49.80 21.80 36.84 28.09
154 13.11 35.71 19.45 31.28 21.64
155 12.95 67.52 17.08 25.38 30.54
156 12.97 41.86 20.00 36.69 22.76
157 13.34 62.46 20.88 28.71 37.73
158 13.21 21.51 13.68 20.15 13.28
159 13.29 52.69 21.45 34.29 30.39
160 12.97 27.55 18.20 27.20 16.70
161 13.35 28.55 18.25 25.77 21.16
162 13.16 37.75 22.62 30.54 22.82
163 13.00 40.36 20.00 36.45 22.18
164 13.16 55.88 18.82 33.54 27.04
165 13.04 45.09 22.00 38.83 25.33
