#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
co2 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 2.30 41.05 13.78 5.92 31.84
1 2.49 43.23 14.71 6.56 28.69
2 2.81 36.21 20.86 8.18 36.04
3 3.41 34.45 16.88 6.80 32.20
4 3.98 45.93 18.83 7.13 37.03
5 3.95 48.13 15.51 6.94 35.14
6 3.99 38.75 16.16 8.62 38.27
7 3.89 42.86 19.15 6.69 37.54
8 4.50 31.74 15.63 7.62 36.84
9 4.18 41.75 18.39 6.93 37.73
10 4.35 44.15 18.12 7.39 36.80
11 4.94 39.45 20.62 8.79 37.38
12 5.12 46.92 18.24 7.65 35.01
13 5.24 36.59 20.00 7.67 37.85
14 5.13 44.96 18.15 7.31 39.69
15 5.71 35.41 22.01 8.09 38.04
16 5.79 50.41 14.23 7.31 37.57
17 5.63 45.46 18.09 8.42 39.16
18 5.91 41.14 19.95 8.31 40.15
19 6.06 47.95 15.72 7.97 39.99
20 5.93 38.69 20.62 7.60 41.06
21 6.08 29.78 17.62 6.43 37.11
22 6.22 36.98 18.94 8.59 38.41
23 6.49 45.86 17.16 7.63 43.30
24 6.68 34.04 22.02 7.63 35.77
25 6.76 53.59 12.31 8.37 34.87
26 6.61 39.29 20.25 8.70 35.68
27 6.67 27.78 17.71 6.60 30.89
28 6.83 37.11 17.60 8.42 40.38
29 6.72 49.89 16.48 7.45 39.58
30 6.63 51.71 16.67 8.04 38.48
31 7.02 29.86 20.67 6.90 36.91
32 6.92 31.70 21.59 8.94 38.12
33 6.84 32.75 26.08 8.58 38.75
34 7.46 44.71 18.70 9.30 40.73
35 7.30 50.96 13.97 8.76 40.91
36 7.51 27.97 18.15 7.20 38.54
37 7.47 38.43 18.63 8.60 37.90
38 7.45 46.53 20.00 9.62 39.98
39 7.59 34.53 18.14 9.67 39.00
40 7.86 47.84 16.70 8.26 38.67
41 7.89 30.86 18.43 8.69 37.94
42 8.01 36.63 21.97 10.03 38.36
43 8.09 32.34 20.86 6.93 40.14
44 8.03 52.24 15.18 7.65 43.97
45 8.08 57.46 12.90 6.33 34.12
46 8.08 45.96 18.84 9.39 43.52
47 8.15 33.81 21.41 8.53 40.53
48 7.99 38.03 20.09 10.00 49.00
49 8.41 27.24 19.49 7.30 39.85
50 8.26 44.97 19.56 11.33 44.11
51 8.31 47.11 22.56 8.56 41.56
52 8.52 38.95 20.05 9.58 40.87
53 8.82 30.39 18.12 9.26 38.92
54 8.62 44.15 17.42 7.67 45.21
55 8.87 51.96 15.06 8.17 42.96
56 8.60 45.62 19.56 7.78 46.00
57 8.83 47.75 18.30 9.08 42.16
58 8.76 40.80 18.17 8.54 40.66
59 8.90 54.03 15.98 8.93 40.25
60 9.05 33.66 21.01 9.83 38.92
61 9.05 42.89 18.00 8.27 43.42
62 9.19 37.38 19.23 9.54 42.32
63 9.20 44.88 22.60 11.47 39.58
64 9.16 28.75 18.88 9.46 39.58
65 9.35 32.28 21.52 9.79 41.76
66 9.26 41.30 17.71 10.48 41.29
67 9.66 48.87 16.00 10.24 44.59
68 9.51 27.39 17.73 9.05 39.50
69 9.94 29.73 19.49 8.75 39.41
70 9.55 52.67 13.88 6.88 42.53
71 9.62 43.40 18.73 8.85 41.64
72 9.86 40.20 19.59 9.26 41.57
73 9.94 23.62 15.06 7.94 34.72
74 9.94 25.29 15.83 8.76 38.67
75 9.87 46.05 15.40 9.49 41.98
76 9.69 31.95 24.00 7.50 45.50
77 9.91 31.27 21.90 10.52 43.24
78 9.98 53.19 14.64 9.86 41.28
79 10.34 38.66 19.42 9.01 41.07
80 10.07 26.96 17.57 10.05 40.90
81 9.99 43.83 21.50 9.00 51.00
82 10.51 50.85 16.26 10.91 46.26
83 10.36 34.89 21.45 9.39 42.61
84 10.27 44.67 17.57 10.64 36.61
85 10.45 47.44 16.66 9.55 42.53
86 10.52 32.04 20.13 9.08 41.99
87 10.78 40.93 16.59 9.68 43.96
88 10.68 27.71 17.94 9.13 40.31
89 10.99 52.92 15.28 9.51 43.10
90 10.76 25.68 14.83 8.60 42.19
91 10.76 43.81 18.47 10.17 42.14
92 11.01 59.80 11.49 7.59 36.73
93 11.23 48.24 16.63 9.81 45.48
94 11.13 61.32 10.86 8.11 36.32
95 11.12 45.02 15.88 10.38 39.42
96 11.26 50.16 14.84 8.89 45.79
97 11.52 62.30 10.86 7.64 35.26
98 11.54 46.34 17.53 10.53 38.28
99 11.57 57.51 13.35 8.81 37.93
100 11.64 35.40 17.56 9.03 40.68
101 11.88 43.32 16.45 9.63 44.32
102 11.58 30.73 20.38 9.56 43.58
103 11.66 55.12 15.67 10.67 41.54
104 11.57 51.36 19.27 14.27 40.93
105 11.74 29.29 15.40 9.04 44.08
106 11.94 41.32 17.95 8.87 40.92
107 11.92 33.10 18.49 11.05 43.24
108 11.87 60.11 12.76 9.43 38.90
109 11.78 53.63 14.95 12.57 40.19
110 12.03 58.80 11.10 9.40 43.00
111 12.25 22.06 13.05 8.03 34.05
112 12.31 23.95 13.46 8.77 37.48
113 12.20 26.10 14.53 9.67 40.44
114 12.43 37.85 16.52 9.52 40.86
115 12.31 45.37 16.90 10.59 43.63
116 12.36 51.48 15.85 10.12 43.05
117 12.32 64.12 11.76 7.98 32.63
118 12.14 31.02 18.71 11.00 45.00
119 12.44 53.43 13.74 11.13 42.85
120 12.55 55.75 15.93 10.74 39.93
121 12.41 65.37 7.38 7.69 35.92
122 12.43 40.80 15.22 11.89 43.33
123 12.52 49.39 13.08 9.62 45.50
124 12.78 28.10 15.27 10.11 41.40
125 12.53 31.79 19.55 10.29 42.77
126 12.57 47.44 13.21 8.26 44.05
127 12.56 25.26 17.82 8.06 34.65
128 12.55 59.81 11.58 8.92 44.17
129 13.20 33.30 17.30 9.21 44.54
130 13.00 40.35 15.57 9.24 42.74
131 13.02 44.25 16.94 9.96 42.56
132 12.90 62.35 13.00 11.41 39.08
133 12.95 30.48 17.78 8.95 39.40
134 13.07 34.98 16.91 10.89 42.04
135 13.15 20.85 12.38 8.91 36.22
136 12.96 23.00 14.25 9.82 40.42
137 13.07 47.93 18.09 11.24 45.15
138 13.19 54.25 15.33 12.02 43.97
139 13.04 60.23 14.15 10.41 45.35
140 13.57 25.58 14.30 10.65 41.14
141 13.20 57.02 12.60 10.34 41.83
142 13.33 38.24 15.85 10.38 43.44
143 13.53 52.35 14.52 9.58 46.01
144 13.45 45.95 15.91 9.44 45.24
145 13.39 61.04 15.26 11.11 41.89
146 13.52 29.47 17.37 12.11 42.51
147 13.63 58.88 13.15 10.85 45.37
148 13.59 62.24 11.82 9.33 39.91
149 13.79 31.31 14.45 9.20 42.45
150 13.78 47.12 14.29 12.35 45.06
151 13.76 22.64 14.72 8.89 39.89
152 13.92 36.96 15.07 8.84 42.31
153 13.89 40.50 15.62 9.79 42.78
154 13.98 34.87 16.18 9.19 41.13
155 14.04 64.34 12.08 10.18 37.45
156 14.04 48.14 14.62 8.96 45.12
157 14.13 58.01 14.31 10.37 45.40
158 14.40 20.40 11.85 7.11 36.94
159 14.33 28.21 13.94 10.68 43.40
160 14.31 32.11 17.48 10.38 40.14
161 14.06 45.78 14.80 11.00 42.80
162 14.08 65.80 12.33 9.67 36.67
163 14.47 44.43 14.52 10.49 44.44
164 14.30 61.89 12.38 11.04 44.21
165 14.52 54.68 14.66 11.92 43.30
