#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
cq3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.87 46.08 14.00 8.43 5.86
1 2.13 41.20 18.35 8.82 5.94
2 2.40 45.55 16.11 9.94 7.63
3 2.20 48.08 15.31 8.38 6.92
4 2.75 48.16 15.87 9.04 7.47
5 3.05 40.04 17.37 10.24 7.57
6 3.15 42.78 18.55 11.20 9.66
7 2.95 50.00 16.19 9.42 6.71
8 3.70 48.86 17.86 8.98 8.76
9 3.75 36.74 17.80 9.04 7.22
10 4.04 51.72 17.95 9.35 8.14
11 3.84 45.66 20.67 11.48 8.33
12 4.09 41.15 19.45 11.23 7.91
13 4.17 39.73 18.88 8.47 9.47
14 4.36 44.26 18.54 9.48 9.91
15 4.56 38.61 20.32 12.45 7.84
16 4.47 37.48 19.00 12.00 8.25
17 4.66 50.00 18.89 9.00 9.93
18 5.02 48.79 18.34 11.34 9.33
19 4.75 54.12 18.24 9.64 9.50
20 4.94 36.03 19.33 9.40 8.58
21 5.00 52.16 17.34 8.26 10.32
22 5.03 37.16 18.95 9.05 9.05
23 5.17 38.99 20.26 11.77 8.11
24 4.97 42.83 20.86 7.29 11.43
25 5.66 42.01 20.63 11.94 8.84
26 5.72 47.07 22.87 10.91 10.30
27 5.73 34.53 18.42 11.08 8.56
28 5.87 54.88 18.59 8.78 10.97
29 5.72 43.98 21.46 11.63 10.39
30 6.09 51.87 20.02 10.09 9.93
31 6.14 53.16 19.42 9.89 10.25
32 6.14 37.96 19.46 10.59 9.51
33 6.11 50.59 21.67 10.14 11.48
34 6.40 36.05 21.05 13.36 9.61
35 6.26 32.93 19.11 9.67 8.00
36 6.56 49.22 20.71 11.35 11.53
37 6.45 45.93 20.30 10.65 11.35
38 6.89 56.68 19.57 9.60 11.89
39 6.77 43.02 21.47 12.04 10.64
40 6.58 33.41 20.67 11.83 8.83
41 7.14 33.23 20.67 9.62 9.72
42 7.00 47.12 21.29 10.36 11.33
43 7.27 31.07 18.67 9.75 9.53
44 7.23 54.58 20.86 10.14 13.10
45 7.51 38.28 22.18 12.15 10.47
46 7.05 44.38 21.32 8.23 10.52
47 6.91 59.79 19.67 9.56 12.22
48 7.61 51.45 21.62 10.90 12.37
49 7.19 52.63 21.24 10.19 12.93
50 7.74 35.44 22.31 10.41 10.43
51 7.46 42.10 20.75 10.70 10.68
52 7.60 40.47 21.25 14.18 10.72
53 7.46 59.47 17.58 8.47 12.00
54 7.47 45.42 22.10 10.86 11.33
55 7.66 47.76 23.14 12.08 13.18
56 8.02 55.34 21.68 9.72 14.25
57 7.96 32.71 18.68 9.16 10.84
58 8.15 58.19 20.26 10.04 13.81
59 8.40 60.91 18.30 9.80 16.95
60 8.18 43.39 20.98 11.05 12.38
61 8.26 45.76 23.92 12.61 13.63
62 8.44 41.57 22.58 11.36 12.71
63 8.47 53.43 22.46 10.20 15.00
64 8.98 33.90 21.58 9.41 11.34
65 8.96 52.71 24.17 13.35 16.13
66 8.94 38.80 22.85 12.15 11.66
67 8.78 43.41 26.33 16.75 13.33
68 9.01 55.18 22.70 12.92 16.66
69 9.39 58.21 23.48 12.07 20.29
70 9.19 31.15 20.09 10.41 11.22
71 9.27 43.07 23.70 12.60 12.96
72 9.31 50.27 23.19 12.42 17.82
73 9.49 28.34 20.14 9.59 11.12
74 9.51 47.72 23.12 11.90 14.69
75 9.52 45.21 25.24 13.71 15.88
76 9.65 29.94 19.71 8.91 11.74
77 9.84 32.97 23.43 10.74 13.18
78 9.61 55.33 22.45 11.23 15.19
79 9.87 40.86 24.77 13.83 15.28
80 10.35 60.06 21.71 10.48 24.06
81 10.21 36.27 23.36 11.28 14.18
82 10.04 49.42 23.62 13.68 17.64
83 10.39 53.31 23.52 13.30 18.34
84 10.30 62.55 20.62 10.22 24.55
85 10.00 27.22 20.64 7.93 12.21
86 10.28 43.05 24.38 13.88 18.35
87 10.57 38.91 24.07 11.99 13.72
88 10.37 25.96 18.48 7.00 9.50
89 10.48 55.64 21.88 12.12 23.51
90 10.39 28.51 18.73 7.97 9.89
91 10.75 30.45 22.33 9.84 12.63
92 10.49 33.94 23.05 11.05 11.50
93 10.75 47.55 26.04 14.78 19.63
94 10.89 27.66 20.15 9.33 12.24
95 11.30 50.59 25.54 14.92 23.81
96 11.44 57.81 23.25 12.39 31.40
97 11.40 44.58 25.27 13.93 22.68
98 11.55 63.74 22.11 10.70 30.73
99 11.61 33.23 23.96 11.08 15.49
100 11.82 66.20 19.29 10.06 29.44
101 11.71 36.80 23.73 13.16 16.40
102 11.72 52.89 25.47 15.12 32.23
103 11.69 60.72 20.77 10.37 31.98
104 12.16 46.29 25.86 14.38 25.77
105 12.17 55.37 24.62 13.68 36.49
106 11.97 25.24 18.23 7.32 13.07
107 12.16 48.50 24.32 14.90 30.17
108 12.48 42.31 24.96 14.10 24.93
109 12.11 31.50 22.33 8.62 15.64
110 12.20 27.17 21.70 8.90 15.54
111 12.36 61.29 22.92 11.53 36.94
112 12.53 39.03 24.09 14.09 23.26
113 12.82 50.54 25.99 14.39 39.83
114 12.53 29.02 20.95 9.17 13.86
115 12.83 58.52 25.12 12.54 38.12
116 12.93 63.30 22.44 12.06 40.28
117 12.52 25.23 20.12 8.75 13.50
118 12.83 35.44 25.48 12.10 17.18
119 13.03 67.56 19.93 9.51 36.92
120 12.75 40.06 27.06 14.61 21.00
121 13.19 53.25 25.89 13.81 44.84
122 13.00 31.40 23.37 10.20 17.17
123 12.90 26.00 19.76 7.14 13.24
124 13.10 27.45 21.98 8.50 18.02
125 13.33 44.59 26.89 15.20 39.66
126 13.49 47.68 26.92 14.99 44.39
127 13.31 29.70 22.95 10.31 16.69
128 13.63 56.09 25.40 14.34 48.94
129 13.28 22.33 15.29 7.00 17.00
130 13.52 32.94 25.35 12.19 22.62
131 13.73 41.51 25.82 14.30 32.92
132 13.79 60.76 24.76 12.91 49.35
133 13.74 38.84 26.27 14.07 27.41
134 13.83 65.30 22.51 11.90 45.63
135 13.71 70.28 19.30 9.31 40.81
136 13.84 36.35 25.74 13.65 27.86
137 14.08 25.36 21.07 8.00 20.89
138 13.99 28.22 23.79 9.95 21.26
139 13.94 22.50 18.25 7.30 19.42
140 14.36 30.90 23.10 11.35 27.16
141 14.23 50.75 26.53 14.93 59.32
142 14.58 58.46 27.01 13.60 58.56
143 14.74 45.74 26.53 15.21 56.78
144 14.71 62.83 24.30 12.99 51.90
145 14.80 43.35 26.57 13.83 51.44
146 14.64 54.00 25.94 14.45 63.93
147 14.75 67.40 22.61 11.01 48.09
148 14.68 34.36 23.87 13.66 36.89
149 14.86 48.22 27.66 15.56 67.39
150 14.59 23.10 21.42 7.00 17.03
151 15.12 38.03 25.72 13.52 43.48
152 15.04 40.58 25.78 13.36 48.76
153 15.14 70.05 22.99 10.87 54.16
154 15.24 28.01 23.94 9.38 32.42
155 15.40 56.54 27.57 14.68 74.61
156 15.04 33.13 24.62 11.44 33.62
157 15.59 35.90 25.11 12.92 45.34
158 15.61 22.05 18.95 7.07 27.74
159 15.48 52.12 28.57 15.12 87.56
160 15.59 64.79 23.96 13.14 55.38
161 15.30 24.58 17.88 7.78 32.38
162 15.75 60.54 27.95 14.47 64.12
163 15.77 30.68 22.70 10.57 39.85
164 15.97 49.87 28.73 14.74 92.33
165 16.22 33.29 26.31 11.84 48.37
