#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
em39 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.99 42.95 9.36 2.71 28.21
1 2.34 41.97 9.66 2.66 27.69
2 2.66 44.12 10.63 3.11 26.86
3 2.92 48.18 11.55 2.88 25.63
4 3.53 40.28 11.23 3.33 28.97
5 3.50 44.87 11.15 3.35 30.11
6 4.10 38.68 10.83 3.26 24.39
7 4.55 47.51 13.44 3.47 28.65
8 5.00 41.65 13.09 3.69 30.69
9 5.08 38.74 13.61 3.40 28.64
10 4.92 53.13 10.86 3.38 25.52
11 5.10 44.73 13.47 3.85 31.26
12 5.11 49.53 12.73 3.39 30.57
13 5.23 46.62 13.89 3.68 31.74
14 5.51 35.61 14.21 3.30 27.74
15 5.62 52.08 12.82 3.68 30.08
16 5.75 48.49 14.64 3.81 32.07
17 6.05 40.42 14.15 3.41 30.30
18 6.24 46.40 15.84 3.94 31.43
19 6.21 51.06 13.94 4.31 33.00
20 6.22 38.51 16.04 3.74 35.55
21 6.38 44.23 15.76 4.21 32.72
22 6.35 35.78 16.16 3.58 29.65
23 6.44 42.18 16.08 3.31 34.33
24 6.74 53.51 13.95 3.75 30.92
25 6.66 55.30 13.51 3.60 26.76
26 6.53 48.91 17.39 3.79 33.03
27 6.90 33.52 15.91 3.83 29.69
28 6.95 40.76 16.65 4.07 33.47
29 6.83 36.71 15.41 4.07 30.48
30 7.05 38.88 16.92 3.79 35.17
31 7.07 51.29 14.50 4.07 31.43
32 7.09 46.88 16.42 4.52 34.56
33 7.05 49.02 16.33 4.67 37.83
34 7.45 57.32 12.05 3.30 25.78
35 7.44 49.71 15.66 4.77 30.89
36 7.32 36.47 16.33 4.17 29.33
37 7.49 48.15 18.50 4.25 30.75
38 7.76 52.40 14.90 4.36 35.95
39 7.58 37.85 15.83 3.79 34.05
40 7.45 55.61 14.58 2.75 33.75
41 8.04 32.58 14.67 3.83 29.69
42 7.82 40.09 17.94 4.58 34.61
43 8.52 46.80 16.69 4.54 36.12
44 8.15 34.88 16.91 4.41 31.30
45 8.09 50.07 16.55 4.36 32.77
46 8.26 58.28 13.33 3.75 28.25
47 8.47 38.11 17.62 4.47 39.67
48 8.40 48.38 16.07 4.20 34.07
49 8.27 40.93 16.54 4.69 35.00
50 8.61 51.55 15.90 4.74 34.26
51 8.85 39.46 17.03 4.73 37.00
52 8.86 32.68 16.71 4.38 32.05
53 9.16 41.91 15.88 5.19 36.91
54 9.24 53.71 14.82 4.43 34.66
55 9.00 29.74 15.08 3.00 31.15
56 9.12 34.25 18.38 4.93 32.22
57 9.38 36.00 16.93 3.96 35.56
58 9.36 51.92 15.14 5.32 34.59
59 9.73 30.17 15.49 3.99 30.22
60 9.30 45.94 17.89 4.78 32.89
61 9.48 38.27 18.13 4.90 37.03
62 9.37 37.24 17.80 5.20 34.00
63 9.89 39.74 18.26 5.12 37.29
64 9.66 48.08 16.67 5.28 35.67
65 9.81 32.57 17.48 4.03 33.78
66 9.96 55.44 13.58 4.81 36.06
67 10.17 62.10 11.96 3.38 28.56
68 10.12 45.51 15.53 4.67 36.91
69 9.93 41.56 14.50 7.00 39.50
70 10.19 50.22 14.62 4.94 35.50
71 10.23 36.71 19.19 5.21 33.68
72 10.72 35.04 19.00 5.07 36.37
73 10.47 59.12 13.73 4.06 33.30
74 10.55 42.77 15.32 4.90 36.56
75 10.44 30.78 14.67 4.00 34.33
76 10.72 39.99 18.03 5.26 39.29
77 11.10 38.16 19.80 5.39 35.87
78 10.80 57.01 13.74 5.21 35.49
79 10.94 63.67 11.38 4.40 27.15
80 11.03 61.46 12.20 4.29 32.45
81 10.82 29.25 14.51 4.69 31.23
82 10.97 49.38 15.76 5.36 35.14
83 11.33 55.02 13.89 5.18 34.27
84 11.04 45.45 17.12 5.07 37.78
85 11.07 47.69 16.21 4.41 37.44
86 11.73 43.38 16.29 5.78 36.29
87 11.43 28.14 13.41 4.01 27.98
88 11.25 64.69 11.90 3.50 28.00
89 11.63 51.30 14.53 4.86 35.29
90 11.50 65.50 11.36 4.04 26.00
91 11.74 35.76 19.37 5.38 34.32
92 11.63 57.45 14.12 4.88 34.42
93 11.93 59.32 12.42 4.65 36.91
94 11.83 30.21 14.12 3.98 35.57
95 11.83 40.66 18.03 5.49 34.61
96 11.82 47.54 15.79 5.24 35.06
97 11.64 37.16 18.67 4.17 37.67
98 11.79 45.42 16.16 5.45 36.27
99 11.88 61.77 12.14 4.77 33.53
100 12.08 63.75 11.03 4.39 30.09
101 12.07 48.83 14.98 5.12 34.16
102 12.05 53.25 13.84 6.19 35.95
103 12.10 65.48 10.19 3.24 29.14
104 12.06 32.13 16.33 4.33 37.33
105 12.45 55.38 13.35 5.73 36.58
106 12.30 36.70 17.33 4.61 33.17
107 12.75 31.80 14.63 4.83 38.13
108 12.50 34.01 15.97 4.92 36.42
109 12.50 45.33 16.18 4.47 37.08
110 12.70 66.18 10.10 3.98 27.08
111 12.49 27.82 11.26 4.30 32.30
112 12.85 59.49 13.53 5.82 34.77
113 12.67 51.33 15.03 5.51 38.74
114 12.70 61.49 11.68 5.88 35.77
115 12.84 47.35 15.24 5.42 37.56
116 12.68 62.99 12.43 3.86 36.29
117 13.06 49.78 15.79 5.48 36.82
118 13.01 26.41 12.00 3.78 30.72
119 13.10 43.91 15.52 4.93 39.34
120 13.41 28.95 13.01 5.47 35.74
121 13.28 67.80 10.05 4.22 27.72
122 13.41 57.11 12.91 6.07 34.31
123 13.17 63.82 11.78 5.20 31.82
124 13.29 54.08 14.47 6.12 36.69
125 13.80 33.70 14.38 5.39 38.35
126 13.26 30.31 15.25 4.00 39.75
127 13.59 41.24 15.61 5.72 35.30
128 13.65 45.58 15.89 5.45 35.48
129 13.67 65.51 10.82 4.47 30.54
130 13.58 61.05 11.93 5.64 39.39
131 13.81 63.52 11.29 5.42 33.45
132 13.81 43.11 16.09 5.30 37.00
133 14.18 48.24 13.44 5.48 36.88
134 13.86 50.24 15.12 5.75 34.62
135 14.04 55.27 12.38 5.47 34.62
136 13.98 62.16 12.30 5.55 37.70
137 14.13 28.64 12.85 4.88 38.50
138 14.37 51.26 13.08 5.46 38.80
139 14.06 38.05 14.18 5.36 40.95
140 14.26 39.42 14.09 5.89 37.02
141 14.05 44.21 13.30 5.10 39.40
142 14.30 57.63 12.78 5.59 35.55
143 14.40 31.45 13.95 6.02 37.12
144 14.42 68.38 10.50 4.47 28.62
145 14.40 60.68 12.68 6.76 35.34
146 14.46 42.21 13.89 5.85 36.98
147 14.42 53.13 13.68 5.58 34.92
148 14.32 62.94 10.60 7.07 32.93
149 14.67 65.78 10.95 5.33 32.76
150 14.45 45.33 13.97 5.27 37.24
151 14.83 28.86 13.43 5.37 40.97
152 14.81 34.72 13.76 5.45 38.50
153 14.87 62.30 11.51 5.46 34.86
154 15.26 37.13 13.92 5.82 38.39
155 15.06 43.21 13.98 5.63 37.80
156 15.08 59.42 13.70 6.17 36.63
157 15.42 39.38 13.04 5.73 37.79
158 15.30 44.93 12.97 5.11 36.74
159 15.25 30.75 13.19 5.35 37.96
160 15.09 57.47 13.58 7.76 35.85
161 14.99 49.98 13.25 5.75 41.50
162 15.28 53.30 13.31 5.86 34.58
163 15.39 69.88 10.39 5.27 28.32
164 15.14 40.72 13.92 6.77 36.15
165 15.38 46.98 12.89 4.75 34.14
