#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
gb8 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.85 44.58 17.67 17.29 9.97
1 3.01 42.08 18.92 17.00 9.52
2 3.27 49.24 16.85 17.77 9.23
3 3.13 39.83 17.30 18.03 9.43
4 3.75 46.73 19.20 17.79 10.67
5 3.85 39.29 18.47 14.59 9.76
6 4.28 42.82 17.82 20.83 10.26
7 3.95 51.74 16.16 15.97 9.62
8 4.69 40.23 19.04 20.05 9.87
9 4.73 51.42 17.79 18.30 10.13
10 4.87 45.42 20.20 22.33 10.82
11 4.90 49.03 19.24 18.24 10.64
12 5.08 37.90 18.38 21.17 10.54
13 5.20 53.72 20.43 19.26 11.72
14 5.34 46.51 18.76 20.89 11.58
15 5.48 43.23 19.60 21.47 11.71
16 5.70 35.32 17.95 19.13 10.30
17 6.10 51.38 20.05 20.90 11.46
18 6.18 39.13 17.96 21.19 11.51
19 6.09 48.03 19.69 21.24 11.99
20 6.24 41.24 20.39 21.52 11.65
21 6.51 32.43 15.75 20.44 10.50
22 6.55 54.90 18.86 17.43 12.32
23 6.47 57.53 16.42 17.50 11.69
24 6.59 45.09 20.09 23.59 10.83
25 7.18 34.26 18.15 20.13 11.07
26 7.16 49.65 21.79 22.70 13.01
27 7.01 36.93 18.53 22.70 11.79
28 7.15 30.43 14.20 18.28 9.72
29 7.49 47.08 21.48 25.35 13.01
30 7.63 51.79 20.71 22.67 13.93
31 7.60 40.79 18.64 22.89 11.76
32 7.64 43.32 20.51 23.73 12.64
33 7.31 38.16 15.75 21.88 10.75
34 7.82 57.45 19.76 19.91 13.39
35 8.02 35.89 17.86 24.15 12.49
36 8.07 53.88 20.27 20.38 14.49
37 8.13 29.36 13.16 17.88 9.23
38 8.08 31.83 17.40 19.01 11.37
39 8.33 38.52 19.41 22.29 12.69
40 8.52 45.40 21.36 24.49 13.12
41 8.58 48.95 20.83 23.68 14.60
42 8.77 55.93 20.83 19.94 15.99
43 8.71 41.30 20.13 23.93 12.79
44 8.82 59.09 19.82 18.18 16.54
45 8.99 33.78 20.61 18.94 13.44
46 9.08 51.62 21.99 23.95 16.52
47 9.18 31.79 20.37 18.26 12.89
48 9.49 43.70 20.65 24.93 14.49
49 9.33 61.27 21.12 16.32 17.14
50 9.30 30.14 15.58 18.69 12.03
51 9.67 36.83 19.65 21.52 12.82
52 9.25 53.37 23.94 20.06 18.00
53 9.60 47.01 20.86 25.35 15.54
54 9.70 28.17 15.93 18.18 11.31
55 9.76 39.12 20.00 22.81 15.21
56 9.77 54.30 22.62 21.96 18.15
57 9.66 34.78 19.54 19.83 12.06
58 10.05 56.37 22.68 24.32 21.92
59 9.81 32.45 17.61 20.22 12.35
60 10.10 49.69 20.47 24.23 18.17
61 10.13 62.98 17.73 16.93 20.24
62 10.19 58.75 20.95 22.66 21.72
63 10.15 29.45 18.94 18.56 11.69
64 10.51 52.26 22.94 23.32 22.49
65 10.22 26.75 14.64 17.91 12.00
66 10.56 41.74 21.94 23.82 17.54
67 10.49 33.26 19.94 20.26 15.24
68 10.48 30.86 16.08 20.31 12.69
69 10.77 44.64 21.55 25.14 17.59
70 10.39 36.27 20.38 15.46 15.15
71 10.99 34.45 18.97 20.92 14.27
72 10.79 47.15 22.96 23.59 19.25
73 11.14 60.21 21.53 20.88 29.50
74 11.32 39.33 19.80 23.45 17.42
75 10.96 55.41 22.70 21.94 27.81
76 10.98 29.74 18.25 18.38 11.38
77 11.35 63.68 20.92 15.66 29.41
78 11.23 26.14 15.81 15.59 11.84
79 11.56 31.44 19.27 18.90 15.69
80 11.53 49.75 23.15 23.08 25.54
81 11.85 56.82 23.40 20.22 32.73
82 11.41 36.72 19.29 20.69 14.57
83 11.45 53.86 22.46 23.38 27.92
84 11.95 43.66 22.41 25.80 21.77
85 11.76 52.49 23.06 24.55 30.73
86 12.16 61.92 21.55 19.14 37.72
87 12.00 66.10 18.55 15.12 30.88
88 11.95 46.74 22.49 24.59 25.20
89 12.31 33.60 19.43 20.90 18.86
90 12.21 27.20 17.19 18.29 16.27
91 12.00 57.90 19.83 21.25 36.08
92 12.29 24.28 15.01 15.75 14.65
93 12.42 41.29 21.08 23.80 22.54
94 12.47 36.24 21.07 22.00 19.75
95 12.73 59.65 23.55 19.83 49.57
96 12.49 67.18 19.03 15.69 29.44
97 12.74 54.22 23.61 22.42 44.48
98 12.72 51.34 22.63 23.40 41.35
99 12.75 39.03 20.16 22.79 23.28
100 12.92 48.84 23.61 24.92 36.76
101 12.95 64.18 21.38 17.24 41.22
102 13.05 31.13 19.15 20.59 18.85
103 13.03 45.87 23.86 23.85 31.53
104 13.41 43.21 22.34 23.92 31.84
105 13.45 57.52 25.11 20.14 63.83
106 13.41 28.62 17.14 19.67 19.49
107 13.55 68.51 18.90 15.32 36.52
108 13.57 34.62 20.01 20.59 23.32
109 13.70 37.78 21.99 24.59 27.49
110 13.72 61.90 23.35 19.76 57.61
111 13.80 24.71 16.62 16.72 23.33
112 13.85 55.27 24.29 22.47 64.84
113 13.89 66.29 21.17 18.18 49.74
114 13.91 51.70 24.02 22.22 60.01
115 14.02 40.90 21.11 23.19 31.31
116 14.24 47.28 23.98 23.51 53.14
117 14.24 32.55 20.91 21.99 26.64
118 14.42 44.89 24.58 24.49 48.13
119 14.52 49.46 23.46 24.25 63.73
120 14.47 27.04 17.54 18.62 26.23
121 14.57 59.61 23.96 21.96 69.69
122 14.55 30.04 20.25 19.64 28.97
123 14.63 22.57 15.84 16.37 28.14
124 14.70 53.38 22.41 23.58 78.56
125 14.74 64.47 24.30 18.78 63.52
126 14.73 36.11 21.21 22.53 31.65
127 14.96 38.86 21.83 24.22 43.62
128 15.00 57.22 24.05 20.68 86.40
129 15.16 43.15 23.29 24.86 50.57
130 15.23 61.79 25.04 20.76 72.62
131 15.25 69.83 22.21 15.99 46.61
132 15.39 66.96 23.73 16.64 56.27
133 15.45 34.10 20.94 22.26 40.70
134 15.43 41.12 23.87 25.56 50.76
135 15.54 51.33 23.79 22.74 77.74
136 15.70 25.71 18.01 16.96 37.58
137 15.55 54.86 25.61 22.75 97.39
138 15.76 28.63 20.66 20.02 37.81
139 15.73 47.47 25.07 24.99 76.42
140 15.91 31.66 22.02 21.12 41.39
141 16.09 45.25 23.99 24.01 79.86
142 15.92 23.20 17.25 16.72 43.75
143 16.05 37.21 23.02 22.07 53.17
144 16.05 58.61 25.32 22.00 87.92
145 16.06 63.92 26.20 21.16 74.70
146 16.39 49.55 25.47 24.91 92.20
147 16.51 68.35 25.81 18.01 67.02
148 16.45 71.49 21.64 15.76 57.30
149 16.54 40.08 25.17 24.96 70.85
150 16.60 43.04 25.70 23.95 81.47
151 16.56 55.54 24.25 23.83 104.11
152 16.75 21.17 16.82 18.07 54.84
153 16.72 52.42 24.66 23.31 98.34
154 16.80 35.26 23.32 23.84 62.19
155 16.86 60.45 26.05 20.96 91.81
156 17.02 29.90 21.18 21.96 54.48
157 17.09 65.35 26.01 19.73 85.49
158 17.26 27.04 19.86 19.63 59.33
159 17.26 33.05 22.84 22.69 65.97
160 17.26 46.73 25.81 25.77 102.05
161 17.27 24.14 18.31 17.49 61.04
162 17.27 62.58 27.25 22.26 96.12
163 17.46 38.34 23.98 25.13 87.93
164 17.51 58.33 27.90 23.04 114.69
165 17.55 48.82 26.97 27.32 114.66
