#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
iz10 14A 4 even-skipped Kruppel bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - bcd>
0 2.06 42.39 22.20 14.67 165.97
1 2.90 45.11 23.95 16.83 160.08
2 3.15 40.76 25.68 18.22 171.18
3 3.05 48.24 20.03 13.72 142.06
4 3.86 43.01 24.94 17.01 164.12
5 4.05 46.93 28.47 17.60 166.40
6 4.38 49.23 25.35 15.40 150.97
7 4.44 51.54 23.76 14.79 133.88
8 4.18 40.18 32.54 16.58 167.75
9 4.43 37.62 30.24 19.12 172.83
10 4.62 45.00 29.34 20.97 170.62
11 4.68 35.15 23.28 20.30 175.70
12 4.81 40.74 30.54 19.31 155.65
13 5.41 53.23 22.16 15.30 130.76
14 5.44 43.07 27.66 21.27 167.29
15 5.58 46.61 27.70 16.01 149.28
16 5.59 38.60 29.31 22.70 174.53
17 5.60 49.80 24.98 16.77 144.11
18 6.06 35.78 29.41 22.20 161.40
19 6.43 41.10 29.08 20.55 160.23
20 6.52 51.71 27.91 16.85 133.97
21 6.42 32.25 23.13 19.38 164.48
22 6.50 48.16 31.26 19.10 166.84
23 6.68 44.29 31.66 18.55 151.19
24 6.87 38.40 26.51 20.80 157.97
25 7.01 54.04 24.94 17.11 127.47
26 6.99 56.81 21.95 15.31 106.06
27 7.56 33.41 27.08 24.61 162.60
28 7.40 35.77 30.46 24.87 164.39
29 7.43 46.64 34.51 19.88 163.40
30 7.43 49.70 29.40 19.20 150.74
31 7.51 30.87 27.19 20.53 161.17
32 7.82 42.18 30.53 21.59 160.40
33 8.01 39.59 34.04 23.22 160.66
34 8.07 52.33 25.80 19.42 138.02
35 8.28 44.71 33.25 19.08 141.60
36 8.10 55.53 26.31 18.03 128.29
37 8.21 58.36 22.17 14.38 106.23
38 8.49 37.12 29.80 26.71 154.92
39 8.62 29.44 26.92 17.90 156.10
40 8.70 47.45 33.56 19.91 148.38
41 8.67 50.02 34.83 19.46 145.42
42 8.99 32.27 27.58 22.03 150.00
43 9.07 34.65 30.53 24.27 149.59
44 9.11 54.20 30.60 17.87 127.32
45 9.16 41.54 32.38 23.62 155.17
46 9.25 60.83 21.93 13.49 98.83
47 9.29 57.14 28.57 16.21 116.96
48 9.48 39.29 32.20 26.86 151.52
49 9.70 43.81 31.01 20.54 142.73
50 9.67 51.93 33.72 19.04 129.97
51 9.76 30.26 26.81 21.06 150.67
52 10.00 46.22 32.25 19.64 141.01
53 9.98 37.10 31.76 25.59 160.58
54 9.97 48.89 32.88 18.57 135.67
55 10.21 27.47 23.18 16.39 142.67
56 10.29 59.50 28.90 16.43 108.11
57 10.47 54.23 31.41 18.76 126.67
58 10.49 56.87 33.55 17.67 123.04
59 10.52 32.70 31.81 21.46 138.16
60 10.67 35.37 31.51 22.15 155.77
61 10.49 62.72 22.58 13.44 83.98
62 10.66 41.74 32.50 21.65 148.20
63 10.86 50.79 31.66 21.15 129.78
64 10.93 39.19 33.79 23.10 141.36
65 10.91 29.49 31.17 20.40 148.69
66 11.31 26.04 24.08 14.42 125.89
67 11.35 45.52 32.90 19.42 138.80
68 11.17 48.16 30.25 19.23 118.98
69 11.41 61.31 27.70 15.54 105.61
70 11.51 52.88 34.94 18.27 122.80
71 11.75 43.08 33.49 20.71 140.54
72 11.63 55.84 31.95 17.22 112.01
73 11.69 58.91 30.91 16.22 108.24
74 11.74 31.32 32.88 19.15 139.20
75 11.81 63.85 21.69 12.47 86.14
76 11.85 35.11 35.12 20.00 141.43
77 12.01 28.40 26.95 17.60 136.92
78 12.07 38.46 31.07 20.24 141.14
79 11.86 48.20 32.77 20.91 125.61
80 11.99 53.77 35.81 17.94 113.72
81 12.29 24.52 20.34 11.64 104.31
82 12.22 50.44 32.97 18.92 118.40
83 12.62 32.91 33.88 19.55 138.94
84 12.66 40.94 30.50 20.77 129.40
85 12.73 46.76 31.99 17.68 117.53
86 12.82 57.60 35.11 17.86 105.78
87 12.76 60.99 30.33 15.27 92.91
88 12.87 65.98 23.86 12.69 82.83
89 13.00 36.87 32.22 18.80 131.22
90 13.00 55.14 35.55 17.14 114.75
91 13.10 27.45 25.60 13.96 119.81
92 13.08 43.88 32.47 18.29 126.44
93 13.16 52.74 33.58 17.50 113.82
94 13.11 30.34 30.80 16.01 120.38
95 13.23 63.73 30.59 14.25 85.99
96 13.65 34.55 32.04 19.06 126.08
97 13.52 50.44 35.21 18.62 119.77
98 13.60 24.73 23.38 11.29 113.44
99 13.87 59.51 34.41 16.85 95.33
100 13.91 39.10 31.51 17.19 124.45
101 14.13 48.46 34.91 18.30 117.19
102 14.13 31.98 30.75 16.51 127.74
103 14.04 41.78 29.81 16.39 129.36
104 14.10 46.17 31.64 17.00 120.54
105 14.25 62.04 33.25 15.28 93.25
106 14.26 57.02 34.02 16.64 102.78
107 14.16 66.60 28.08 13.15 79.18
108 14.42 26.78 30.26 12.88 125.50
109 14.42 29.41 31.60 15.74 116.06
110 14.44 54.28 36.14 17.07 107.06
111 14.56 36.55 33.22 16.94 127.90
112 14.71 44.10 29.53 16.99 113.85
113 14.71 64.40 33.06 15.29 87.68
114 14.81 51.99 36.43 18.19 106.16
115 14.91 22.40 22.18 9.32 99.32
116 14.98 68.80 28.51 11.50 73.07
117 15.24 24.85 23.77 10.59 106.12
118 15.01 34.36 31.70 15.52 122.56
119 15.33 60.72 34.63 15.88 90.77
120 15.32 41.37 32.72 14.93 109.38
121 15.51 49.59 33.40 17.33 104.18
122 15.44 38.45 29.99 15.00 112.91
123 15.63 31.94 29.41 15.33 115.42
124 15.41 46.95 33.62 16.26 110.12
125 15.62 58.64 35.02 16.58 95.21
126 15.57 56.63 37.40 17.94 97.51
127 15.72 66.52 29.06 14.31 77.12
128 15.74 27.59 26.75 14.00 106.22
129 15.85 29.75 31.57 15.31 119.80
130 15.57 33.58 31.42 16.46 120.35
131 15.92 63.62 32.78 16.01 87.27
132 16.09 44.66 32.19 15.63 104.10
133 16.11 20.34 16.99 9.01 71.33
134 16.16 35.80 31.06 14.96 110.18
135 16.23 51.89 36.44 17.30 101.12
136 16.50 54.44 36.37 17.71 97.03
137 16.30 23.04 22.30 10.55 94.64
138 16.11 47.41 34.75 16.88 96.31
139 16.45 68.79 33.23 13.61 73.60
140 16.49 40.31 33.58 15.72 106.62
141 16.66 25.82 25.95 11.32 102.97
142 16.69 62.01 34.15 15.15 88.02
143 16.87 57.03 35.72 16.93 89.81
144 16.95 42.73 30.85 14.83 102.37
145 16.99 33.55 31.24 14.94 106.86
146 17.08 59.72 38.02 16.97 88.60
147 17.05 38.16 30.66 14.26 100.67
148 17.13 49.62 33.98 16.04 93.23
149 17.15 71.20 27.21 11.65 64.40
150 17.18 31.04 31.26 13.71 107.61
151 16.85 46.32 34.32 15.04 99.00
152 17.07 65.30 36.71 15.41 77.84
153 17.13 28.62 28.40 12.60 99.84
154 17.29 47.21 33.33 15.08 94.78
155 17.54 21.73 25.20 9.94 91.45
156 17.47 19.39 18.68 8.39 70.24
157 17.68 36.21 32.79 15.33 103.00
158 17.60 52.68 33.03 15.28 92.04
159 17.71 24.27 29.62 11.99 95.76
160 17.65 68.06 32.46 13.62 69.76
161 17.92 44.63 32.75 16.27 96.73
162 17.89 62.77 35.52 15.66 79.67
163 18.01 40.82 32.61 14.56 95.69
164 18.02 55.20 37.62 16.15 89.81
165 18.06 26.84 27.94 12.37 96.21
