#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kd32 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.36 49.41 13.69 4.77 36.62
1 1.87 47.81 15.67 5.68 39.02
2 1.94 50.03 15.14 6.05 36.55
3 2.58 53.39 15.54 5.17 37.14
4 2.46 49.54 15.50 6.92 40.75
5 2.58 46.80 17.13 5.82 40.66
6 2.96 51.46 16.61 5.59 40.06
7 3.37 48.60 17.24 6.52 42.74
8 3.30 54.02 18.21 5.33 40.64
9 3.35 44.29 17.88 6.00 41.53
10 4.04 45.26 19.12 6.83 44.27
11 4.09 52.33 16.89 6.15 43.38
12 4.44 57.15 15.89 4.83 37.58
13 4.37 54.95 18.05 5.82 39.66
14 4.67 42.50 17.84 6.31 42.90
15 4.49 40.84 18.70 6.16 42.65
16 4.52 47.61 17.82 6.84 41.29
17 4.78 43.85 19.22 6.64 45.07
18 4.65 39.17 19.00 6.00 40.64
19 5.06 49.52 18.59 6.72 43.04
20 4.94 53.55 17.58 5.81 40.90
21 5.14 46.47 18.67 6.73 42.24
22 5.13 40.01 19.51 6.22 40.78
23 5.22 56.08 17.41 5.12 40.46
24 5.39 42.14 19.75 6.50 45.75
25 5.75 44.78 21.50 6.66 43.91
26 5.81 38.36 19.48 6.57 40.62
27 5.87 41.27 19.04 7.06 42.84
28 5.92 50.50 19.50 6.10 47.60
29 6.07 46.37 18.89 6.79 43.39
30 6.14 43.16 19.02 6.73 44.62
31 6.02 56.01 20.39 6.78 41.50
32 5.94 40.05 19.00 6.14 43.57
33 6.36 58.45 18.55 5.75 39.92
34 6.35 36.62 20.21 5.24 38.85
35 6.37 47.76 18.25 7.12 41.08
36 6.56 61.17 16.37 4.98 37.30
37 6.33 51.07 16.11 7.33 42.56
38 6.52 40.03 19.86 6.00 43.03
39 6.64 49.31 18.63 7.86 44.34
40 6.94 53.59 19.02 6.38 44.48
41 6.63 38.43 19.38 6.38 39.34
42 6.69 45.22 23.33 6.79 43.77
43 6.82 43.83 21.27 8.05 44.73
44 6.81 50.65 18.47 7.18 41.94
45 7.14 56.51 18.17 6.60 42.94
46 7.13 37.20 18.88 6.14 41.49
47 6.94 52.15 22.62 6.50 44.50
48 7.69 46.95 19.47 8.04 44.41
49 7.31 40.63 19.51 7.02 43.15
50 7.42 51.10 19.41 6.89 43.43
51 7.40 59.73 17.56 5.65 41.00
52 7.71 39.59 21.20 6.43 42.74
53 7.40 45.79 19.22 7.19 46.05
54 7.71 54.88 19.97 6.66 41.34
55 7.56 45.19 18.00 5.00 50.00
56 7.79 52.59 19.57 6.06 43.06
57 8.31 61.27 17.79 5.84 39.69
58 8.49 38.49 22.08 7.21 40.56
59 8.48 43.75 24.61 8.22 50.58
60 8.54 58.37 21.62 7.05 43.73
61 8.42 39.77 22.71 6.71 44.64
62 8.68 34.73 23.29 6.07 42.32
63 8.68 36.97 24.08 5.59 40.41
64 8.81 47.73 19.75 7.01 43.51
65 8.99 40.57 19.69 6.94 44.13
66 9.08 57.04 19.90 6.65 42.75
67 8.95 63.00 16.19 5.11 38.58
68 9.12 50.42 20.24 6.18 46.33
69 8.92 53.90 23.50 6.83 48.17
70 9.32 60.81 18.75 6.08 41.22
71 9.31 43.24 23.00 7.86 49.74
72 9.12 59.18 20.14 6.55 46.14
73 9.44 45.80 22.02 7.53 44.58
74 9.48 55.05 20.77 7.10 46.66
75 9.57 39.26 23.55 7.19 42.11
76 9.46 65.63 14.43 4.59 35.43
77 9.24 41.36 20.20 6.60 50.20
78 9.47 37.38 23.25 6.71 45.52
79 9.66 49.11 19.08 7.46 48.23
80 9.63 59.37 19.62 6.12 42.25
81 9.77 57.85 22.09 6.16 46.28
82 10.04 33.91 19.86 6.67 41.00
83 9.97 61.71 16.83 5.54 38.75
84 10.06 50.68 19.29 7.94 45.41
85 10.19 52.61 19.93 7.25 45.89
86 10.26 48.15 20.47 7.11 45.63
87 10.29 55.95 21.58 7.15 46.90
88 10.15 59.22 18.97 8.10 42.10
89 10.16 63.75 18.05 6.05 44.00
90 10.47 30.83 16.94 5.50 38.95
91 10.19 44.05 21.77 7.27 47.43
92 10.45 64.91 15.29 5.95 39.81
93 10.62 54.24 20.50 7.39 47.72
94 10.71 49.90 19.83 7.17 46.24
95 10.68 45.87 20.88 7.21 49.11
96 10.74 58.10 18.81 7.26 47.26
97 10.46 35.76 22.45 7.09 43.82
98 10.74 38.68 22.10 7.85 45.42
99 10.80 67.03 14.26 4.85 34.98
100 10.77 43.32 19.98 6.60 46.71
101 10.64 51.50 21.80 7.50 44.60
102 10.96 59.86 19.02 7.27 43.90
103 10.77 62.15 16.95 7.09 41.81
104 10.89 56.75 21.48 7.00 47.41
105 11.30 34.82 18.87 6.87 42.63
106 11.15 40.42 20.84 7.61 45.93
107 11.22 63.45 16.86 6.88 42.00
108 11.23 32.04 17.62 5.94 42.75
109 11.32 42.10 21.28 6.77 43.17
110 11.20 52.06 19.43 7.30 46.20
111 11.65 55.66 21.02 7.39 47.37
112 11.26 47.61 22.06 7.86 48.52
113 11.37 61.21 17.65 6.71 47.39
114 11.46 29.96 17.75 5.70 41.64
115 11.76 49.13 19.19 6.91 49.49
116 11.43 53.05 19.00 6.50 47.00
117 11.75 58.30 20.42 8.24 45.96
118 12.00 64.30 17.39 6.51 42.25
119 11.87 66.11 16.87 6.53 40.40
120 11.74 62.34 19.00 8.00 42.29
121 12.00 45.07 20.14 7.75 46.36
122 11.97 30.96 18.74 6.89 40.96
123 12.11 36.48 18.59 6.95 47.22
124 12.41 50.96 20.38 7.68 50.29
125 12.25 54.50 17.78 7.50 50.25
126 12.72 61.69 19.91 7.92 43.15
127 12.45 29.48 15.66 6.29 39.09
128 12.58 58.21 19.29 8.22 49.53
129 12.42 33.80 18.73 7.20 43.60
130 12.64 43.73 19.32 7.23 46.33
131 12.53 55.76 17.86 7.82 47.50
132 12.50 48.57 20.00 6.58 47.26
133 12.56 28.23 16.53 5.05 39.79
134 12.51 31.03 17.80 7.70 41.40
135 12.85 41.56 20.22 6.76 46.12
136 12.87 66.93 16.01 6.47 41.51
137 12.61 35.64 22.08 8.69 45.15
138 12.94 59.86 19.40 7.35 47.34
139 13.34 37.63 19.30 6.86 43.88
140 13.00 34.50 20.84 6.58 45.02
141 13.00 28.88 15.31 6.56 40.81
142 12.92 30.32 15.00 7.50 38.50
143 13.00 64.73 17.97 6.84 44.14
144 13.40 63.25 18.64 7.69 45.87
145 13.39 27.25 14.07 5.43 39.30
146 13.30 30.89 16.51 5.71 41.51
147 13.22 43.24 21.82 6.86 47.45
148 13.21 57.89 18.80 8.27 46.13
149 13.37 56.25 19.73 6.77 49.50
150 13.47 32.51 19.56 6.64 42.20
151 13.51 35.66 17.76 6.72 46.84
152 13.62 45.34 20.02 7.19 46.88
153 13.49 65.53 17.38 6.08 44.00
154 13.72 28.94 15.38 6.44 43.91
155 13.83 42.71 18.78 8.81 50.08
156 14.13 46.81 18.63 7.25 48.63
157 13.78 49.79 19.53 7.58 50.12
158 13.70 51.33 16.87 8.17 50.03
159 13.98 33.40 18.81 7.19 45.49
160 13.87 66.45 17.41 7.35 43.94
161 13.97 41.27 18.59 7.08 44.98
162 13.95 58.93 18.59 8.38 48.81
163 14.41 64.86 17.01 6.99 45.06
164 14.16 56.43 19.81 7.77 50.35
165 13.90 61.87 19.25 7.75 45.38
