#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mn10 14A 4 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.37 52.45 19.49 24.90 104.33
1 2.54 48.57 21.39 26.50 103.27
2 3.12 55.16 19.10 26.06 104.38
3 3.41 46.53 22.67 28.46 96.81
4 3.44 50.34 20.34 28.27 116.77
5 3.65 52.99 20.17 26.55 123.90
6 4.16 43.81 22.07 27.29 106.82
7 4.28 41.36 22.21 28.03 105.04
8 4.42 55.66 17.98 25.11 122.57
9 4.62 49.18 22.43 27.43 118.13
10 4.92 45.66 25.13 26.96 116.36
11 4.90 58.58 16.37 27.07 113.92
12 4.82 52.36 20.57 28.70 141.64
13 5.49 40.30 22.89 29.08 114.70
14 5.61 56.52 21.93 26.67 141.83
15 5.78 47.45 23.43 29.09 124.44
16 5.83 53.70 22.26 28.00 157.55
17 5.86 50.47 24.20 29.50 143.01
18 6.18 43.01 24.90 29.19 115.56
19 6.29 59.92 18.21 26.84 130.69
20 6.86 45.33 25.09 29.07 140.88
21 6.83 55.41 24.15 27.74 167.43
22 6.92 57.81 21.89 28.29 160.04
23 7.05 40.60 24.84 28.23 115.60
24 7.12 49.91 24.83 30.18 164.30
25 7.16 52.56 23.75 29.58 167.89
26 7.21 62.09 17.56 25.59 117.60
27 7.15 36.89 22.54 28.29 117.72
28 7.55 47.78 24.65 30.16 165.86
29 7.53 64.61 14.85 22.79 60.80
30 7.79 59.75 22.77 26.96 181.98
31 8.09 38.99 25.74 29.09 134.61
32 8.24 43.63 25.96 30.21 153.16
33 8.09 54.64 25.27 29.96 186.48
34 8.49 57.08 22.93 28.34 181.03
35 8.56 46.11 24.59 32.03 173.96
36 8.45 51.67 24.94 31.29 180.96
37 8.78 36.25 23.78 32.99 138.75
38 8.64 61.69 21.33 28.07 171.81
39 8.94 41.55 25.43 30.95 149.68
40 8.79 64.08 18.52 27.47 147.09
41 8.93 49.24 25.86 32.27 192.66
42 9.27 58.99 24.34 28.24 188.59
43 9.43 54.51 25.86 30.76 199.52
44 9.51 38.81 24.04 31.27 155.58
45 9.60 65.86 17.58 24.61 144.61
46 9.75 47.08 24.98 31.91 193.62
47 9.75 52.01 26.87 31.67 207.93
48 9.85 34.21 23.07 31.83 141.72
49 10.01 43.97 26.04 32.68 176.15
50 9.87 61.18 21.35 27.19 191.98
51 10.10 56.82 25.30 29.23 207.43
52 10.51 67.62 17.17 23.60 109.51
53 10.48 36.61 24.84 30.40 150.08
54 10.49 49.63 26.93 33.21 210.93
55 10.48 64.36 19.89 27.82 196.66
56 10.53 41.27 25.28 31.53 171.56
57 10.99 59.08 25.28 29.32 206.34
58 10.95 46.60 26.22 32.85 198.87
59 11.12 55.06 27.53 31.34 222.18
60 10.88 33.70 22.73 30.18 157.11
61 11.08 52.64 27.28 32.22 214.14
62 11.07 61.89 23.45 28.03 210.29
63 11.20 39.03 26.44 30.36 178.73
64 11.40 44.15 27.09 32.04 201.98
65 11.47 30.98 23.04 27.14 140.12
66 11.52 66.37 20.68 26.95 172.73
67 11.41 33.10 25.59 29.69 164.03
68 11.81 50.45 28.28 33.65 217.35
69 11.77 68.84 18.00 25.16 134.69
70 12.02 35.33 23.78 29.32 167.62
71 12.02 56.87 28.95 33.73 229.28
72 11.82 65.02 22.53 26.37 188.67
73 12.14 48.02 26.82 32.24 216.54
74 12.41 42.52 25.97 33.64 202.61
75 12.22 62.58 24.36 29.61 211.41
76 12.59 40.29 27.51 33.65 197.50
77 12.56 37.60 25.69 31.34 177.28
78 12.48 53.12 26.80 31.06 214.72
79 12.43 59.70 25.21 30.81 219.61
80 12.57 32.64 23.20 28.99 171.07
81 12.70 45.48 26.41 34.25 214.99
82 12.90 66.87 22.44 25.96 190.06
83 12.96 69.96 19.27 23.74 159.05
84 13.15 64.18 23.97 29.32 210.18
85 13.26 55.24 28.68 32.90 226.80
86 13.32 30.03 22.46 26.09 156.20
87 13.21 50.27 28.77 32.68 230.63
88 13.50 58.03 28.57 31.79 225.14
89 13.78 35.73 26.99 30.59 181.68
90 13.73 47.66 28.26 33.92 227.26
91 13.73 61.00 27.30 30.24 213.68
92 13.93 38.67 27.75 33.07 200.72
93 13.89 43.81 29.06 32.73 209.02
94 14.03 52.68 26.90 34.20 223.42
95 13.93 33.12 25.22 29.11 190.80
96 14.11 41.31 26.43 33.19 209.52
97 14.10 68.57 22.03 25.39 184.43
98 14.18 71.53 18.90 23.02 134.27
99 14.44 27.36 21.97 25.98 145.62
100 14.47 66.19 25.27 27.51 203.36
101 14.54 55.83 28.59 33.66 230.34
102 14.53 63.73 26.08 29.47 219.23
103 14.70 45.68 28.56 35.71 228.67
104 14.74 29.60 23.27 28.52 180.28
105 14.62 49.82 31.10 35.35 231.25
106 14.88 58.60 29.16 30.64 224.84
107 15.04 32.08 25.42 29.03 192.75
108 15.22 61.55 29.03 30.78 224.60
109 15.25 37.83 27.09 31.74 202.03
110 15.33 35.30 25.08 26.22 189.04
111 15.47 53.98 27.90 35.30 228.86
112 15.38 73.64 18.85 22.85 119.40
113 15.44 43.36 28.02 35.08 219.46
114 15.56 47.16 30.91 32.80 230.87
115 15.61 51.63 29.97 37.17 227.46
116 15.59 40.53 28.12 33.31 205.06
117 15.46 68.55 25.11 27.25 191.71
118 15.75 25.69 20.83 22.62 143.37
119 15.57 71.26 22.22 24.93 165.99
120 15.92 65.63 27.03 28.12 202.00
121 16.09 56.60 28.93 32.90 225.84
122 16.03 28.46 23.44 24.69 165.93
123 16.22 49.29 30.03 33.90 228.12
124 16.12 59.55 29.89 31.47 227.02
125 16.40 62.73 30.20 30.65 217.15
126 16.31 33.22 27.80 27.39 201.38
127 16.72 44.43 28.56 31.24 222.26
128 16.46 30.45 25.88 27.14 185.57
129 16.52 74.93 21.13 22.45 118.32
130 16.66 38.46 28.46 29.24 205.97
131 16.77 41.95 28.61 35.08 222.67
132 16.76 68.97 25.84 27.46 203.16
133 17.04 35.60 25.91 29.44 195.16
134 16.89 54.03 30.09 31.83 230.18
135 16.92 71.29 25.93 25.04 169.50
136 16.95 46.58 31.70 34.13 225.90
137 17.26 51.74 30.44 34.58 231.32
138 17.25 27.17 23.51 23.22 171.72
139 17.28 66.45 29.00 29.38 202.65
140 17.42 24.66 21.66 21.99 143.83
141 17.10 31.05 26.00 25.53 182.24
142 17.39 59.56 30.97 32.18 228.83
143 17.57 73.10 23.42 24.84 160.98
144 17.46 56.42 30.64 34.76 229.46
145 17.56 63.69 28.94 30.26 210.48
146 17.65 49.55 30.33 33.72 229.21
147 17.77 40.32 28.31 32.38 216.57
148 17.82 33.29 27.57 26.22 193.52
149 17.92 75.94 20.22 22.70 140.83
150 17.98 29.56 25.36 24.67 181.32
151 18.04 37.64 28.90 31.03 211.84
152 18.09 47.21 30.85 32.72 233.62
153 18.09 43.37 30.49 33.62 226.53
154 18.20 61.37 31.62 32.64 218.06
155 18.14 69.18 28.67 26.98 179.96
156 18.37 53.54 30.97 35.25 227.71
157 18.49 57.48 34.70 37.27 241.53
158 18.71 27.04 23.61 23.26 172.34
159 18.59 65.57 29.46 31.87 198.06
160 18.80 31.60 25.64 25.81 194.63
161 18.71 78.21 18.41 20.73 91.39
162 18.97 36.04 28.18 28.34 204.44
163 18.94 45.02 29.76 32.89 222.55
164 18.82 21.98 18.64 19.83 127.83
165 18.90 51.10 31.49 33.31 228.87
