#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ms12 14A 4 even-skipped Kruppel bicoid

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - bcd>
0 2.27 46.08 12.13 13.38 171.19
1 2.95 41.68 14.49 15.08 192.86
2 3.19 44.36 14.25 15.58 183.44
3 3.17 50.27 11.82 14.36 171.52
4 3.45 47.41 14.08 17.00 173.07
5 3.39 39.44 13.96 14.78 189.77
6 4.03 36.99 13.91 16.56 197.92
7 4.40 42.05 17.54 18.80 185.79
8 4.49 44.68 16.47 18.06 190.22
9 4.43 49.41 14.75 17.33 178.40
10 4.44 51.94 13.80 16.42 174.44
11 4.73 39.40 19.41 18.20 186.82
12 4.96 54.59 12.67 15.67 161.28
13 4.85 33.00 12.55 14.15 167.00
14 5.04 46.90 16.62 20.34 186.64
15 5.24 35.59 15.54 17.06 183.49
16 5.65 43.33 17.78 21.15 195.14
17 5.67 52.36 16.99 19.97 183.72
18 5.75 49.64 18.17 21.66 208.22
19 5.88 38.06 20.78 20.10 203.21
20 5.97 40.57 16.82 20.40 185.99
21 5.92 57.88 12.67 15.89 148.01
22 6.28 31.04 13.72 16.12 166.32
23 6.28 33.83 16.79 18.12 179.62
24 6.34 47.40 20.14 21.80 195.22
25 6.48 55.23 15.16 18.82 163.61
26 6.70 44.97 20.42 23.38 191.11
27 6.76 36.76 19.99 20.91 202.86
28 6.89 52.52 15.17 24.45 175.97
29 7.05 41.86 20.09 22.07 182.77
30 7.05 49.88 16.94 23.25 183.44
31 7.18 57.81 13.88 18.26 175.78
32 7.28 28.62 14.80 15.60 163.35
33 7.51 39.02 21.88 24.30 193.69
34 7.64 33.57 19.14 20.73 181.88
35 7.64 31.10 18.89 18.28 182.33
36 7.79 36.05 20.48 23.93 189.83
37 7.71 47.35 19.90 25.66 184.43
38 7.97 56.11 16.45 20.94 154.31
39 7.97 43.83 22.89 27.39 202.49
40 7.97 53.59 18.44 22.34 165.47
41 8.18 59.85 15.87 15.80 132.89
42 8.30 50.78 17.76 24.37 182.94
43 8.40 27.00 15.72 15.60 167.10
44 8.46 41.43 20.28 29.15 196.21
45 8.70 29.67 18.85 20.50 170.50
46 8.75 45.79 23.32 29.41 209.76
47 8.98 57.96 17.65 18.38 146.22
48 8.83 35.26 19.84 22.09 189.69
49 8.86 38.94 22.85 30.17 212.18
50 9.00 32.50 19.67 20.98 173.24
51 9.03 48.45 21.20 25.90 182.60
52 9.19 62.22 14.73 13.03 117.18
53 9.26 52.83 19.94 23.08 170.64
54 9.32 55.35 21.68 25.37 177.13
55 9.55 43.50 23.69 29.22 189.75
56 9.52 25.19 15.00 15.87 156.26
57 9.54 37.09 23.48 28.89 200.64
58 9.78 41.18 21.39 28.99 197.19
59 9.92 60.03 16.50 17.69 140.07
60 9.87 27.58 17.74 20.39 161.05
61 9.98 50.74 22.03 26.69 182.34
62 10.02 45.85 23.03 28.44 187.08
63 10.05 30.06 18.81 20.02 165.84
64 10.08 34.69 21.97 25.06 204.37
65 10.38 39.06 23.65 26.53 190.89
66 10.35 48.28 20.13 27.54 186.58
67 10.45 32.29 21.37 22.41 181.29
68 10.40 57.08 19.97 18.72 144.21
69 10.59 54.24 19.16 24.09 159.53
70 10.68 62.37 16.45 14.85 116.85
71 10.66 65.49 15.23 12.20 102.15
72 10.83 24.86 16.66 17.67 143.83
73 10.91 36.81 21.86 26.30 195.72
74 11.04 43.99 23.14 29.58 182.94
75 11.03 22.14 13.63 12.94 136.82
76 11.03 41.48 21.41 28.12 197.10
77 11.20 51.97 20.59 25.07 175.61
78 11.18 28.00 17.81 19.27 155.39
79 11.32 59.04 18.96 17.71 126.99
80 11.40 46.65 24.92 28.29 182.57
81 11.51 34.13 24.85 25.77 179.77
82 11.48 49.49 25.11 27.92 191.72
83 11.54 30.98 22.59 23.52 184.54
84 11.72 56.34 20.05 19.60 143.21
85 11.82 39.04 24.64 25.08 184.40
86 11.91 63.63 17.33 14.54 113.92
87 11.95 66.37 16.90 11.72 101.94
88 12.10 60.99 20.15 15.13 118.98
89 12.15 20.19 13.51 12.95 119.46
90 12.15 26.09 21.85 18.65 144.06
91 12.21 23.25 17.54 15.61 136.43
92 12.15 36.62 24.41 24.22 181.08
93 12.25 53.68 20.96 21.16 147.32
94 12.19 41.40 25.55 30.73 195.76
95 12.45 43.59 25.07 28.45 182.19
96 12.48 68.62 15.90 9.98 77.81
97 12.47 28.99 22.25 21.28 153.77
98 12.62 45.69 25.56 30.46 185.15
99 12.60 50.88 23.99 28.02 166.74
100 12.64 48.24 23.09 27.01 173.09
101 12.72 32.36 22.70 24.99 170.98
102 12.89 34.82 23.99 28.13 175.84
103 12.98 58.73 19.89 16.94 125.74
104 13.09 56.27 22.93 20.95 142.01
105 13.14 65.04 17.65 12.46 102.05
106 13.18 40.38 24.19 25.26 184.22
107 13.30 38.16 23.14 25.55 176.59
108 13.35 21.21 18.82 15.11 123.04
109 13.39 24.48 19.45 17.66 131.48
110 13.42 61.59 19.88 15.09 110.87
111 13.46 70.36 14.52 9.41 77.92
112 13.57 30.52 24.17 23.13 154.02
113 13.57 53.67 23.33 23.40 150.28
114 13.60 27.48 20.05 17.97 146.80
115 13.67 42.60 29.13 29.12 192.12
116 13.72 47.26 26.60 28.87 177.64
117 13.94 44.91 26.92 28.61 178.13
118 13.86 51.24 25.84 26.03 166.56
119 14.02 67.13 18.78 11.66 91.54
120 14.01 36.04 26.47 27.98 187.65
121 14.18 33.67 26.13 27.48 168.74
122 14.37 49.11 25.34 27.25 164.90
123 14.29 63.72 20.46 14.68 108.70
124 14.33 59.37 23.47 16.54 119.74
125 14.54 72.27 15.63 9.53 75.13
126 14.52 22.41 19.87 14.94 129.42
127 14.42 55.80 25.68 23.20 145.65
128 14.51 40.77 24.80 25.41 156.05
129 14.61 38.19 26.39 27.02 172.59
130 14.68 25.48 22.37 17.09 134.52
131 14.69 31.49 25.41 22.26 156.18
132 14.74 28.65 25.85 18.64 142.27
133 14.89 19.87 15.26 13.96 110.59
134 15.03 16.82 12.98 10.97 92.02
135 14.98 53.07 26.26 23.26 157.06
136 14.89 68.99 18.84 12.52 86.03
137 15.02 43.63 26.23 27.84 174.61
138 15.03 46.52 27.69 30.15 174.57
139 15.28 61.45 23.52 17.16 108.06
140 15.28 57.85 22.89 19.33 126.04
141 15.25 35.84 26.63 24.82 156.59
142 15.31 50.56 28.11 25.00 157.04
143 15.49 64.43 22.56 14.38 100.94
144 15.62 39.49 27.94 29.20 181.22
145 15.87 66.83 19.20 12.69 87.15
146 15.76 32.40 25.56 25.18 154.36
147 15.81 55.34 25.44 21.51 130.32
148 15.77 41.91 27.52 29.88 167.46
149 15.81 23.88 19.74 15.22 120.46
150 15.95 48.36 26.66 25.17 158.56
151 15.87 26.91 23.63 18.24 131.42
152 15.91 29.78 25.36 19.22 140.65
153 15.97 70.33 21.11 11.72 79.40
154 16.15 18.73 17.64 12.83 103.93
155 16.28 21.62 19.86 15.20 110.69
156 16.14 45.63 28.83 25.55 163.69
157 16.38 34.19 27.19 23.38 148.94
158 16.31 53.00 27.38 23.96 141.46
159 16.49 59.90 24.67 17.80 105.27
160 16.41 36.70 30.89 23.98 155.59
161 16.60 72.85 19.96 11.19 77.14
162 16.54 50.60 27.63 28.23 160.17
163 16.72 16.12 17.59 11.86 97.77
164 16.69 43.58 31.19 28.85 167.27
165 16.67 57.63 25.92 20.40 128.05
