#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
mu12 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.99 44.84 2.83 2.45 16.85
1 2.65 43.20 4.98 2.45 19.60
2 2.61 44.90 1.89 2.11 18.67
3 2.57 50.13 3.67 1.67 23.33
4 2.89 46.54 4.76 2.36 17.52
5 3.13 45.57 4.41 2.92 21.30
6 3.25 51.33 3.00 2.53 19.33
7 3.31 44.27 4.31 2.34 23.46
8 3.35 48.73 3.26 2.42 19.78
9 3.83 42.93 4.70 2.39 20.65
10 3.73 46.79 5.06 2.26 20.43
11 3.98 52.71 5.00 2.23 18.00
12 3.90 51.49 3.68 3.26 21.79
13 4.19 50.04 3.98 2.62 20.00
14 4.01 47.52 8.00 3.00 24.00
15 4.37 54.20 3.93 2.10 18.03
16 4.46 39.17 6.00 2.78 20.25
17 4.64 46.27 5.79 2.37 22.91
18 4.59 52.54 4.72 2.40 18.76
19 4.90 51.13 5.13 3.59 20.54
20 4.66 48.50 4.26 2.85 21.18
21 5.02 37.43 7.04 2.82 18.66
22 4.91 44.33 6.00 2.59 22.85
23 5.80 42.04 7.28 2.88 21.22
24 5.30 39.47 5.42 2.60 20.32
25 5.58 48.14 8.37 2.82 21.15
26 5.46 49.71 6.72 3.30 20.41
27 5.38 43.51 5.07 2.81 22.63
28 5.72 46.45 7.48 3.11 23.89
29 5.75 53.91 4.82 2.37 24.47
30 5.78 51.90 7.43 3.43 23.35
31 6.00 37.14 7.68 2.30 18.20
32 6.08 39.67 9.33 3.36 22.00
33 6.03 55.75 7.34 3.12 20.88
34 6.46 50.72 7.41 3.38 23.86
35 6.52 53.23 6.00 3.37 22.74
36 6.50 44.26 7.48 2.42 22.15
37 6.54 39.97 5.00 4.33 26.17
38 6.69 55.14 5.77 3.30 21.40
39 6.84 58.26 6.12 3.12 18.96
40 6.90 42.85 5.02 2.84 21.36
41 6.89 56.48 6.45 3.36 23.70
42 7.06 51.66 6.37 3.14 23.46
43 7.18 40.06 8.64 3.64 22.45
44 7.60 50.05 7.60 4.05 25.08
45 7.14 54.14 7.78 3.78 24.17
46 7.61 35.28 7.10 3.25 20.07
47 7.36 60.03 5.75 3.17 22.08
48 7.97 42.00 7.09 3.42 23.22
49 7.47 55.86 6.20 2.20 21.67
50 7.77 57.79 5.63 3.25 21.47
51 7.94 33.77 8.34 2.46 17.04
52 7.73 37.18 9.56 2.90 20.13
53 7.71 43.60 7.91 3.18 23.93
54 7.79 54.79 7.37 2.84 25.03
55 7.89 39.74 5.97 2.90 23.28
56 7.67 59.51 5.22 2.44 23.33
57 8.00 48.11 6.58 2.73 25.33
58 8.08 60.53 4.89 2.93 18.07
59 8.06 55.64 9.50 5.00 28.50
60 8.58 59.43 6.54 3.48 22.82
61 8.29 38.49 7.50 3.17 26.17
62 8.61 51.21 7.42 4.44 23.37
63 9.18 46.74 6.58 3.98 24.45
64 8.62 52.82 6.67 4.45 20.69
65 8.76 49.30 10.04 4.05 25.80
66 8.73 54.70 6.83 3.40 24.68
67 8.83 33.96 5.26 2.94 17.97
68 8.96 38.90 7.35 4.62 20.50
69 8.73 41.14 7.29 4.29 28.86
70 9.03 57.14 6.31 3.82 25.10
71 9.53 35.07 6.50 3.10 21.97
72 9.07 42.61 6.00 3.62 23.74
73 9.25 40.64 6.64 4.11 22.42
74 9.37 36.90 6.94 3.56 23.25
75 9.09 44.31 6.16 3.20 23.16
76 9.51 32.40 7.14 2.83 16.91
77 9.18 54.34 7.33 3.33 23.00
78 9.54 59.55 4.57 2.98 23.30
79 9.71 53.87 6.38 3.11 24.62
80 9.87 55.62 6.65 3.65 27.09
81 9.82 38.10 8.50 3.25 25.00
82 10.15 52.17 5.86 3.56 24.09
83 10.34 41.32 6.58 3.79 23.42
84 10.41 45.42 5.50 3.80 22.07
85 10.41 36.28 5.72 4.26 21.64
86 10.14 62.48 6.30 4.20 21.50
87 10.32 37.87 5.34 3.44 26.81
88 10.50 39.57 7.81 3.68 23.77
89 10.54 57.34 6.14 4.02 24.02
90 10.53 61.13 4.45 3.65 21.52
91 10.63 63.02 3.59 3.92 22.65
92 10.72 48.23 7.42 4.44 27.56
93 10.78 55.55 5.67 4.25 25.38
94 11.12 38.28 5.10 3.49 23.41
95 11.18 51.81 6.28 4.09 27.25
96 11.22 65.13 4.45 3.69 20.04
97 11.05 50.49 6.20 3.85 27.95
98 11.19 54.48 5.46 4.22 28.57
99 11.32 40.00 6.18 3.71 27.45
100 11.38 35.43 6.06 2.83 23.62
101 11.48 60.77 5.17 3.70 23.13
102 11.63 33.92 5.43 3.21 22.13
103 11.66 49.09 7.32 4.52 24.66
104 11.35 48.43 9.00 5.00 25.50
105 11.77 66.43 3.72 3.15 20.30
106 12.03 37.57 4.72 3.37 24.71
107 11.75 42.41 5.28 3.72 25.36
108 11.74 53.00 5.65 5.28 27.17
109 12.47 41.72 6.23 4.47 25.01
110 12.12 62.84 4.57 3.48 22.53
111 12.03 39.61 8.23 4.28 24.19
112 12.30 43.99 5.48 3.70 27.25
113 12.12 35.62 4.57 2.71 30.57
114 12.66 59.85 5.45 4.53 25.35
115 12.32 52.16 5.56 3.22 23.50
116 12.48 53.75 7.02 4.31 25.00
117 12.45 29.37 4.54 3.52 18.67
118 12.92 48.38 6.61 4.18 28.66
119 12.68 57.63 5.73 4.31 26.20
120 12.37 66.60 4.00 4.00 23.50
121 13.01 35.89 5.78 4.06 22.64
122 12.54 50.77 5.85 4.15 29.38
123 12.69 67.45 3.18 2.89 19.82
124 12.64 58.82 4.67 5.25 27.00
125 12.99 46.03 6.61 4.14 29.14
126 12.76 39.76 6.74 4.17 24.61
127 12.66 65.79 3.57 3.86 22.86
128 13.08 64.57 3.79 3.83 23.42
129 13.22 37.84 5.51 4.32 22.66
130 13.38 28.57 4.31 3.30 21.11
131 13.35 30.77 4.29 3.40 22.52
132 13.34 52.59 6.11 4.16 26.69
133 13.25 62.55 3.89 4.24 28.78
134 13.30 44.34 5.50 3.70 26.32
135 13.16 66.28 3.58 3.83 24.17
136 13.46 39.20 7.15 4.06 26.09
137 13.33 54.28 4.94 4.28 27.31
138 13.36 60.44 6.17 5.17 24.90
139 13.56 68.01 2.92 3.52 23.17
140 13.57 42.37 7.14 4.58 26.37
141 13.72 50.50 6.67 3.83 27.56
142 13.65 40.90 7.74 4.62 26.35
143 13.67 55.42 6.92 5.46 23.95
144 14.00 66.60 3.33 3.22 25.33
145 13.92 61.56 4.76 3.69 27.86
146 14.24 43.37 6.81 4.72 27.66
147 13.82 36.60 6.83 5.17 26.83
148 14.38 57.27 6.22 4.61 24.39
149 14.07 38.19 5.35 4.04 24.87
150 13.96 39.75 8.36 5.18 26.55
151 14.05 53.15 7.00 3.75 24.02
152 14.52 31.39 4.48 3.45 22.27
153 13.99 35.59 4.80 3.30 23.30
154 14.34 46.95 6.13 4.11 26.56
155 14.10 69.64 2.67 3.67 27.83
156 14.52 64.65 4.30 4.00 27.78
157 14.51 68.92 3.10 3.85 25.88
158 14.35 70.44 3.45 3.55 19.00
159 14.68 28.12 3.90 3.51 21.44
160 14.58 36.73 5.61 4.33 24.75
161 14.62 39.22 6.39 3.94 26.19
162 14.69 29.56 3.88 3.18 21.67
163 14.58 34.78 6.58 5.35 24.52
164 14.73 49.88 4.90 5.07 25.13
165 14.91 48.04 7.06 4.82 24.88
