#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pe3 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.09 47.10 11.49 12.87 5.77
1 2.68 49.06 12.27 11.95 6.67
2 2.83 51.56 10.09 14.26 7.04
3 2.88 46.94 12.39 14.75 6.51
4 3.13 45.06 12.84 13.39 6.87
5 3.26 42.77 12.47 15.50 5.95
6 3.53 52.40 12.04 14.55 7.96
7 3.42 50.25 11.33 12.58 7.75
8 4.02 49.62 12.67 14.54 8.46
9 3.77 43.52 12.64 16.00 6.32
10 3.82 54.60 11.06 13.27 8.79
11 4.13 45.44 12.54 15.31 6.97
12 4.31 47.38 13.63 15.39 8.17
13 3.92 51.11 13.13 13.53 9.07
14 4.15 52.59 10.81 15.22 8.88
15 4.77 40.33 13.16 17.14 6.42
16 4.92 42.95 14.00 17.01 7.16
17 4.88 57.04 10.54 16.15 10.14
18 4.94 53.91 11.83 18.24 9.89
19 5.37 51.25 13.45 18.20 10.34
20 5.33 45.50 14.29 16.17 8.61
21 5.44 47.73 15.98 16.85 10.32
22 5.55 37.94 12.17 17.11 6.79
23 5.79 48.77 13.84 20.19 11.23
24 5.85 44.32 12.69 16.00 7.46
25 5.84 52.81 10.28 21.17 12.72
26 6.06 56.51 12.64 18.92 11.27
27 5.98 59.41 11.33 17.85 10.33
28 5.99 39.40 13.69 16.06 6.98
29 6.37 53.81 13.55 19.89 11.76
30 6.15 42.21 14.17 16.81 8.69
31 6.68 46.80 13.89 16.25 10.32
32 6.48 49.51 13.80 18.93 10.53
33 6.63 37.02 12.45 16.40 6.81
34 6.64 51.62 14.74 18.86 11.62
35 6.65 58.22 12.79 18.74 12.72
36 6.69 39.36 14.98 15.43 7.78
37 6.62 43.05 15.96 18.22 9.70
38 7.11 34.60 13.09 13.96 7.18
39 7.24 60.62 12.16 18.67 12.00
40 7.13 44.49 14.22 18.89 9.46
41 7.05 40.67 15.35 16.75 9.71
42 7.19 49.25 13.58 18.96 11.96
43 7.36 58.84 11.71 21.37 11.73
44 7.55 42.48 13.65 18.20 10.30
45 7.47 51.69 14.89 21.91 11.96
46 7.35 50.53 11.44 19.83 12.78
47 7.59 38.20 15.38 16.55 9.31
48 7.93 48.11 14.30 20.12 11.40
49 7.99 33.17 12.67 13.19 7.43
50 8.14 56.16 14.81 21.95 13.52
51 7.97 39.73 15.35 15.81 9.50
52 8.00 63.55 11.48 17.02 10.91
53 8.54 50.13 15.38 22.26 12.78
54 8.17 37.52 14.70 14.37 9.26
55 8.41 59.15 14.16 22.00 14.54
56 8.30 61.62 11.69 18.83 11.84
57 8.40 35.35 15.10 14.93 8.16
58 8.26 53.37 14.69 21.05 13.56
59 8.40 45.49 14.85 20.58 10.96
60 8.70 43.43 15.22 20.39 11.43
61 8.71 31.50 13.78 12.52 6.71
62 8.68 40.10 14.60 16.43 10.85
63 8.79 60.63 11.59 21.43 14.11
64 9.02 42.16 13.57 19.52 12.29
65 9.29 51.70 15.40 24.59 15.27
66 8.95 65.42 10.41 15.95 14.86
67 9.32 47.83 14.17 21.90 13.28
68 9.15 53.77 14.59 22.15 13.85
69 9.24 35.69 16.29 12.26 10.03
70 9.33 57.80 14.13 21.13 15.33
71 9.25 33.55 14.12 11.93 9.91
72 9.57 62.45 14.20 19.60 17.78
73 9.45 64.37 10.86 18.41 15.64
74 9.70 45.36 15.67 20.79 13.69
75 9.64 60.06 15.70 19.49 18.31
76 9.40 32.05 13.36 14.18 9.00
77 9.60 38.50 16.53 15.85 10.76
78 9.57 56.63 14.84 21.11 15.32
79 9.66 30.69 14.26 11.15 8.00
80 9.91 41.59 15.78 18.84 12.42
81 10.22 32.36 14.65 12.16 10.95
82 10.29 49.62 14.84 23.45 15.79
83 10.15 35.31 14.11 15.93 10.43
84 10.18 54.02 16.86 23.91 16.79
85 10.12 37.23 15.13 16.10 11.45
86 10.06 56.72 13.12 20.31 16.46
87 10.25 40.40 14.16 17.36 12.60
88 10.41 30.48 13.64 12.74 9.41
89 10.50 65.64 12.28 14.96 20.61
90 10.61 52.06 16.00 23.48 18.94
91 10.62 47.41 15.73 21.88 17.10
92 10.79 38.56 15.22 19.31 12.94
93 10.71 60.26 15.47 21.07 21.18
94 10.77 62.32 14.08 18.73 21.03
95 10.78 56.27 16.64 23.05 21.40
96 10.91 44.90 15.07 21.39 15.35
97 11.03 58.38 15.39 20.19 23.34
98 11.39 29.22 14.02 11.79 12.44
99 11.16 39.97 16.72 19.17 15.67
100 11.46 41.08 16.45 20.78 16.25
101 11.36 36.65 15.33 17.43 14.33
102 11.26 46.71 16.75 22.47 14.09
103 11.33 32.32 14.94 15.04 13.41
104 11.55 53.63 16.28 23.03 22.97
105 11.77 50.79 16.22 24.16 21.39
106 11.63 34.77 16.07 16.38 14.02
107 11.57 48.42 16.39 23.04 20.96
108 11.91 64.70 14.67 17.77 28.60
109 11.94 67.23 13.92 14.49 27.56
110 11.92 43.29 15.36 22.42 17.75
111 11.75 60.42 15.16 17.97 28.10
112 11.77 27.45 13.71 10.27 10.34
113 11.76 31.13 15.68 12.36 11.45
114 12.35 45.46 16.41 22.62 21.37
115 12.10 55.83 15.69 21.69 29.73
116 12.05 32.33 13.76 13.73 14.27
117 12.41 38.74 14.96 19.50 16.77
118 12.51 57.86 16.04 20.57 34.51
119 12.64 69.25 12.50 14.79 27.11
120 12.69 62.29 16.89 18.38 33.79
121 12.66 55.04 16.84 22.90 29.69
122 13.10 47.65 17.13 21.37 30.31
123 13.17 49.93 17.82 23.10 31.44
124 13.00 52.47 16.77 23.29 31.06
125 12.92 35.66 14.97 18.59 20.62
126 13.28 64.46 16.42 18.15 40.32
127 13.25 28.71 13.90 13.53 21.29
128 13.23 66.93 15.92 16.61 36.14
129 13.44 26.52 12.69 12.94 20.17
130 13.19 29.99 13.00 13.46 20.54
131 13.49 33.73 14.72 17.34 21.97
132 13.28 31.42 13.71 15.27 19.39
133 13.49 43.55 17.45 21.46 29.35
134 13.39 39.66 15.57 19.10 22.13
135 13.61 59.65 17.01 17.91 44.70
136 13.68 56.64 17.31 20.13 43.65
137 13.71 70.77 13.78 13.63 30.11
138 13.69 36.76 15.10 17.67 23.31
139 13.80 53.78 16.53 21.52 44.03
140 13.98 45.89 18.10 24.06 34.70
141 13.92 38.89 14.93 20.20 21.98
142 14.17 73.04 11.19 13.35 27.59
143 13.76 65.92 16.29 17.07 38.21
144 14.12 62.20 17.05 18.12 48.98
145 14.21 68.16 15.79 15.83 41.42
146 14.00 29.28 13.54 13.37 20.88
147 14.30 41.45 15.59 21.01 31.29
148 14.07 51.34 17.32 22.41 44.59
149 14.57 31.55 14.62 16.23 27.57
150 14.63 48.35 18.41 22.61 50.60
151 14.26 36.98 13.85 19.70 24.40
152 14.30 24.17 13.60 12.10 20.13
153 14.57 50.55 18.07 21.88 48.27
154 14.70 64.85 17.11 18.34 48.89
155 14.77 34.53 14.80 18.58 31.50
156 14.61 26.47 15.31 12.55 27.14
157 14.96 43.80 17.78 20.29 47.59
158 14.89 55.07 17.66 21.05 64.68
159 14.92 57.70 18.02 20.33 61.89
160 15.15 39.29 15.78 20.40 39.02
161 15.12 28.76 14.96 15.35 33.50
162 15.23 60.14 16.83 19.61 72.70
163 15.19 36.86 16.49 19.19 37.98
164 15.23 52.60 18.75 20.17 67.79
165 15.20 71.42 15.19 14.96 39.48
