#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
pf10 14A 4 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.74 47.74 9.64 12.70 6.75
1 2.10 46.08 9.79 11.83 6.33
2 2.47 49.93 9.50 13.24 8.07
3 2.70 45.26 10.87 12.43 8.91
4 3.00 52.57 11.47 12.76 8.54
5 3.44 47.12 11.44 13.57 9.53
6 3.41 42.57 10.83 11.86 9.31
7 3.24 48.32 9.38 13.31 8.94
8 3.62 55.37 10.76 11.87 10.38
9 3.97 53.39 11.25 13.43 10.34
10 3.95 40.87 12.12 9.88 8.00
11 4.10 45.14 12.89 12.23 9.48
12 4.21 43.15 11.91 11.32 9.12
13 4.38 49.20 12.76 13.76 9.24
14 4.37 55.11 12.52 12.77 10.06
15 4.70 52.21 12.43 14.14 10.75
16 4.63 47.01 12.41 14.00 12.38
17 5.11 39.61 12.26 11.81 10.54
18 5.45 43.16 12.72 13.38 11.73
19 4.98 45.96 14.62 13.67 12.71
20 5.28 56.48 12.88 12.69 13.08
21 5.52 54.50 12.94 14.26 14.07
22 5.20 41.64 14.19 11.87 11.90
23 5.39 49.46 13.74 14.96 11.99
24 5.54 35.25 11.00 12.03 9.63
25 5.45 46.95 12.87 13.73 12.04
26 5.56 59.70 12.15 12.12 12.03
27 5.56 44.88 12.65 13.18 12.08
28 5.85 51.96 14.32 14.06 13.79
29 6.02 37.58 12.57 14.89 11.20
30 6.26 40.99 12.96 13.43 13.63
31 6.33 50.57 13.50 13.31 14.52
32 6.53 58.07 12.87 13.35 16.86
33 6.18 45.88 14.29 17.00 13.93
34 6.65 46.87 15.42 15.74 14.95
35 6.33 48.46 13.68 16.03 13.92
36 6.87 55.30 14.96 13.36 16.72
37 6.49 44.80 11.91 15.58 12.44
38 6.68 53.05 16.18 12.67 14.42
39 6.69 34.64 13.46 13.25 12.08
40 6.75 39.71 15.34 13.48 12.83
41 7.21 35.95 12.56 13.73 13.29
42 6.76 43.83 15.20 14.60 13.40
43 7.04 60.30 12.50 12.05 19.03
44 7.20 50.54 14.78 15.00 16.47
45 7.28 42.64 15.88 13.92 16.92
46 7.42 37.62 12.76 14.44 12.88
47 7.40 45.54 15.02 14.13 17.04
48 7.55 62.38 13.71 12.77 18.91
49 7.70 53.05 14.71 13.39 18.66
50 7.54 57.91 13.72 12.30 21.31
51 7.80 39.17 14.90 14.85 14.45
52 7.80 59.95 12.72 12.71 20.59
53 8.11 47.99 14.72 14.14 18.23
54 7.93 41.99 16.51 16.77 15.13
55 8.16 34.61 12.78 11.28 15.07
56 8.18 57.30 16.29 14.24 22.61
57 8.22 51.03 14.29 13.17 20.88
58 8.28 32.78 11.43 12.29 13.08
59 8.49 55.44 14.40 13.24 22.32
60 8.49 37.37 14.91 12.41 15.94
61 8.58 64.93 13.73 11.13 23.11
62 8.75 40.41 15.48 14.71 19.35
63 8.87 61.48 14.33 14.00 26.11
64 8.87 35.97 14.47 13.15 16.12
65 8.70 43.95 12.97 13.42 21.31
66 9.05 46.26 14.90 14.29 22.24
67 8.89 50.57 14.75 15.12 22.95
68 8.87 53.48 17.19 13.63 26.96
69 9.05 58.04 14.10 12.69 26.66
70 9.31 43.38 14.67 14.19 22.12
71 9.28 52.63 14.70 14.60 25.51
72 9.32 31.46 11.49 11.93 17.20
73 9.67 48.74 16.28 14.25 28.24
74 9.99 38.65 14.81 13.95 22.78
75 9.96 56.25 15.29 13.84 31.64
76 10.01 63.57 14.35 12.58 34.24
77 9.77 41.38 15.92 12.48 26.20
78 9.89 28.84 13.09 10.80 18.41
79 10.26 34.19 15.13 12.44 22.59
80 10.21 36.44 14.66 13.02 22.42
81 9.97 32.81 13.94 13.19 19.94
82 10.36 61.11 15.87 13.23 34.70
83 10.45 51.13 15.84 13.87 34.75
84 10.28 45.94 15.19 14.40 31.80
85 10.64 65.94 14.75 13.83 35.40
86 10.69 53.66 15.65 14.14 38.89
87 10.50 41.06 14.88 13.78 28.12
88 10.76 58.34 15.85 14.08 38.07
89 10.84 43.44 15.55 13.61 33.74
90 11.19 68.02 13.70 12.58 35.53
91 11.05 48.46 15.97 13.88 43.38
92 11.20 31.66 14.69 11.75 25.64
93 11.40 38.94 14.51 13.14 33.99
94 11.50 27.71 11.95 9.54 25.46
95 11.11 34.18 14.50 10.00 25.67
96 11.57 35.42 14.78 11.85 32.75
97 11.63 55.72 15.19 14.71 44.87
98 11.56 64.03 15.88 13.09 41.97
99 11.74 60.97 16.85 13.49 43.51
100 11.79 41.28 16.00 12.93 43.30
101 12.03 50.46 16.69 14.56 54.85
102 12.18 25.08 11.19 9.30 30.08
103 12.17 44.99 17.01 14.27 52.19
104 12.32 69.49 15.21 11.82 40.44
105 12.19 53.03 15.78 14.49 55.46
106 11.96 58.54 14.98 14.73 47.55
107 12.33 47.53 17.09 15.79 54.08
108 12.12 42.54 17.55 12.98 44.00
109 12.51 66.23 17.20 12.41 45.93
110 12.48 37.11 16.10 12.97 45.49
111 12.26 32.90 13.75 11.83 37.74
112 12.82 30.01 13.48 11.48 34.95
113 12.97 39.74 15.52 13.16 57.06
114 12.97 56.77 17.93 14.80 56.83
115 13.07 63.58 17.89 14.42 51.98
116 13.12 60.61 17.95 14.12 55.48
117 12.91 32.62 14.72 11.31 39.38
118 13.31 27.09 12.75 9.80 42.07
119 13.24 43.16 16.29 14.16 61.20
120 13.40 34.85 15.47 11.80 51.77
121 13.30 54.49 17.80 14.99 61.74
122 13.36 49.38 17.13 15.30 70.97
123 13.62 51.87 18.03 14.08 76.45
124 13.57 71.23 14.77 11.78 46.20
125 13.72 46.49 17.80 14.17 72.52
126 13.69 68.27 17.43 12.55 49.93
127 14.10 32.11 14.84 11.79 51.06
128 14.06 58.39 18.11 13.79 64.29
129 14.12 37.66 15.15 12.60 71.97
130 14.02 41.52 15.82 14.50 76.50
131 14.11 66.15 18.54 13.72 57.45
132 14.55 24.97 14.38 10.66 61.82
133 14.47 62.94 19.05 14.97 59.07
134 14.43 73.47 14.82 11.03 39.89
135 14.58 29.21 14.29 10.71 55.29
136 14.34 40.39 16.27 14.07 77.90
137 14.52 44.10 17.38 13.38 87.88
138 14.56 56.14 18.40 16.45 74.88
139 14.54 60.57 18.06 14.62 63.42
140 14.64 21.78 12.24 9.33 56.72
141 14.68 53.69 19.50 15.24 83.12
142 14.69 48.85 18.36 16.21 91.48
143 14.87 35.03 15.48 11.66 73.85
144 14.57 70.37 17.82 12.21 48.79
145 15.17 51.45 18.24 14.11 94.83
146 14.98 69.46 20.63 14.00 56.86
147 15.11 39.26 17.81 12.73 97.53
148 15.37 46.00 17.22 15.71 108.45
149 15.39 41.98 17.33 13.13 99.83
150 15.41 72.15 18.84 12.52 54.10
151 15.59 67.57 19.49 13.71 57.02
152 15.60 64.26 19.28 13.47 59.74
153 15.66 27.05 13.32 11.20 71.08
154 15.67 31.65 14.77 12.16 77.73
155 15.66 58.01 18.78 14.43 71.75
156 15.51 75.36 15.11 11.06 46.12
157 15.84 60.74 19.78 14.60 65.11
158 15.90 54.79 19.84 14.83 88.09
159 16.00 48.03 19.19 15.24 110.72
160 16.12 23.21 13.28 9.69 70.11
161 16.14 37.32 16.83 12.91 101.28
162 16.24 34.58 16.54 12.11 92.92
163 16.30 50.15 18.51 15.34 109.56
164 16.37 43.79 17.97 14.15 118.09
165 16.32 70.33 20.35 13.61 60.99
