#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
sl11 14A 4 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.90 45.77 8.81 2.83 35.67
1 2.84 47.84 10.17 3.77 40.84
2 3.06 42.93 10.92 3.80 39.98
3 2.84 44.73 10.52 3.55 38.24
4 3.12 49.90 9.64 4.27 42.09
5 3.41 48.87 10.15 3.77 39.26
6 3.42 40.79 11.21 3.83 42.54
7 3.47 50.37 11.14 3.36 37.29
8 3.77 51.31 10.27 3.53 40.06
9 3.67 45.51 11.69 4.04 44.31
10 4.11 38.41 12.42 4.09 42.02
11 4.06 48.12 10.54 4.54 42.08
12 4.24 41.62 12.14 4.04 47.98
13 4.11 44.60 11.36 4.50 43.41
14 4.40 49.39 12.07 4.34 43.15
15 4.46 46.73 11.80 4.39 43.06
16 4.84 40.47 12.40 4.69 44.95
17 4.57 44.25 11.06 5.12 44.06
18 4.81 52.57 11.15 3.96 38.12
19 5.71 44.93 12.63 4.96 46.66
20 5.27 51.07 12.27 4.73 41.39
21 5.20 44.07 10.64 5.07 47.07
22 5.30 47.08 13.06 4.81 42.50
23 5.62 39.21 13.45 5.03 47.02
24 5.47 54.56 12.93 3.66 40.25
25 5.78 56.33 10.72 3.44 36.25
26 5.61 48.40 10.00 5.25 48.25
27 5.91 36.04 15.00 4.67 44.21
28 6.30 47.49 12.34 4.98 46.66
29 6.12 52.67 12.65 5.00 42.79
30 6.01 57.61 11.35 3.10 35.87
31 6.11 40.56 13.67 4.48 48.15
32 6.25 42.05 13.02 4.98 47.69
33 6.58 54.68 14.09 4.31 40.85
34 6.45 38.81 14.31 4.81 47.19
35 6.45 37.67 14.00 5.03 45.97
36 6.64 58.61 11.57 3.87 38.94
37 6.72 40.28 14.87 5.03 47.13
38 6.89 43.56 13.11 4.72 49.94
39 7.04 53.47 16.44 4.00 42.47
40 6.97 39.32 13.88 5.31 47.19
41 7.23 32.17 13.74 3.97 43.31
42 7.24 50.49 14.50 5.36 42.18
43 7.23 41.11 14.55 6.36 46.27
44 7.39 46.00 12.95 5.32 45.95
45 7.55 51.62 12.46 4.52 46.70
46 7.93 60.18 10.56 4.14 37.29
47 7.52 48.62 13.12 5.26 45.84
48 7.56 35.85 14.63 5.61 47.65
49 7.78 39.37 13.58 5.49 49.97
50 7.70 33.61 14.80 4.77 42.91
51 7.53 53.09 15.14 6.43 49.86
52 7.72 43.18 13.57 5.05 51.52
53 8.06 44.54 13.34 5.89 52.34
54 8.12 57.56 11.96 4.30 42.58
55 8.27 47.14 12.49 5.08 48.48
56 7.95 34.58 13.30 5.70 45.50
57 8.22 41.66 14.67 5.51 47.57
58 8.47 36.60 13.67 5.68 48.05
59 8.52 50.07 13.94 4.95 46.50
60 8.61 32.09 14.29 4.90 43.39
61 8.55 34.95 15.52 5.52 46.08
62 8.67 39.89 13.65 5.47 47.55
63 8.81 51.55 14.02 5.74 43.81
64 8.99 48.06 14.55 5.27 48.37
65 8.73 30.34 11.33 4.67 43.00
66 8.97 38.39 15.90 5.61 51.54
67 9.18 55.33 13.30 4.97 45.26
68 8.99 57.61 12.80 5.30 41.75
69 9.23 42.02 15.45 6.85 54.32
70 9.34 29.53 12.88 4.50 41.89
71 9.30 59.85 12.25 4.68 41.77
72 9.45 35.04 16.46 5.66 49.21
73 9.18 49.32 14.26 5.21 50.32
74 9.42 46.31 14.97 5.83 47.69
75 9.60 37.60 15.08 5.71 52.00
76 9.57 52.23 14.60 6.02 49.57
77 9.65 31.39 14.98 5.26 45.96
78 9.75 40.65 15.30 5.98 52.87
79 9.93 32.93 16.71 5.26 44.51
80 9.96 49.31 14.49 5.12 44.56
81 9.61 58.35 10.90 5.00 46.71
82 9.70 36.39 15.47 6.06 49.65
83 9.77 64.95 10.16 3.55 34.29
84 10.05 57.54 11.79 5.32 45.59
85 10.05 53.68 13.49 5.15 50.25
86 10.07 61.14 11.91 4.97 41.80
87 10.31 63.50 11.12 4.03 37.68
88 10.27 51.08 14.08 5.84 47.34
89 10.29 44.92 14.27 5.91 48.73
90 10.22 56.17 13.30 5.28 49.40
91 10.11 29.36 15.00 4.75 40.29
92 10.21 34.55 17.94 5.77 46.29
93 10.30 38.90 16.12 6.10 49.41
94 10.14 41.52 18.55 6.91 54.36
95 10.37 47.18 13.38 4.88 46.53
96 10.26 30.64 14.60 4.90 45.55
97 10.55 65.59 10.64 4.22 36.35
98 10.36 28.34 12.58 3.50 47.58
99 10.66 37.16 16.42 5.85 52.15
100 10.75 41.43 14.78 6.43 50.84
101 10.80 33.02 15.48 6.41 47.89
102 10.99 28.08 12.00 4.62 43.26
103 10.88 55.21 13.18 5.73 48.18
104 11.01 29.92 13.94 5.46 46.12
105 11.00 62.01 10.78 5.02 45.86
106 11.08 34.46 14.34 6.11 50.55
107 11.14 43.31 14.70 6.09 50.39
108 11.40 39.04 15.35 5.79 49.51
109 11.18 47.98 14.29 5.77 50.31
110 11.36 50.27 14.61 6.00 49.93
111 11.35 45.49 14.76 6.08 49.13
112 11.32 58.72 12.60 5.88 47.12
113 11.28 31.86 15.52 6.11 47.26
114 11.30 37.20 17.51 6.37 51.02
115 11.33 53.71 13.79 5.55 54.10
116 11.48 52.66 12.75 5.92 52.25
117 12.02 62.18 11.79 5.25 47.13
118 11.66 55.09 13.69 5.91 48.19
119 11.83 26.96 12.34 4.69 42.53
120 11.64 44.01 12.71 5.29 50.86
121 11.93 51.82 13.63 6.21 50.84
122 12.04 64.49 10.23 5.48 45.80
123 12.20 28.65 12.75 5.53 45.12
124 11.94 66.92 9.88 4.73 37.55
125 11.96 33.18 15.54 6.26 51.42
126 11.96 46.97 13.95 6.00 47.42
127 11.81 59.64 11.67 5.33 45.50
128 12.01 35.91 17.67 6.84 49.60
129 12.22 41.84 15.36 6.36 49.59
130 12.14 31.19 15.00 6.52 49.27
131 12.03 40.50 16.12 6.08 51.80
132 11.93 43.27 15.54 5.92 55.54
133 12.36 54.83 13.47 6.20 51.10
134 12.45 49.14 13.83 5.95 48.40
135 12.59 59.72 12.80 5.85 46.89
136 12.64 44.51 14.97 5.73 53.13
137 12.54 34.54 16.02 6.58 52.23
138 12.66 51.07 13.64 5.97 49.38
139 12.82 26.30 11.83 4.75 43.43
140 12.69 39.61 15.11 6.67 51.11
141 12.40 36.65 14.71 6.14 50.00
142 12.56 32.33 15.73 6.73 45.64
143 12.80 46.43 12.68 6.19 49.78
144 12.83 37.29 16.12 6.82 49.49
145 12.82 64.89 11.08 5.78 40.57
146 13.35 42.30 14.73 6.69 53.03
147 12.87 47.80 12.82 6.21 50.03
148 13.14 68.57 8.87 4.87 40.30
149 13.10 56.50 14.18 6.61 47.67
150 13.12 62.92 12.00 5.46 44.23
151 13.38 31.27 14.21 5.88 50.49
152 13.27 66.47 10.38 5.05 39.48
153 13.11 70.99 0.00 0.00 0.00
154 13.51 40.09 14.97 6.54 48.19
155 13.48 50.44 13.87 7.53 48.07
156 13.59 48.62 14.02 6.64 49.89
157 13.51 45.95 14.23 7.00 47.00
158 13.65 36.49 14.09 6.36 50.09
159 13.81 44.03 13.94 6.42 48.30
160 13.75 53.45 13.79 6.07 51.31
161 13.92 27.34 12.83 5.74 43.81
162 13.86 51.61 13.20 6.30 51.10
163 14.00 61.67 12.02 6.29 49.37
164 13.89 57.79 12.33 5.73 48.80
165 13.88 28.87 12.00 5.06 49.84
