#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ba3 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.58 49.53 11.10 19.04 29.94
1 2.88 52.84 11.42 17.16 36.06
2 3.53 46.51 12.52 22.73 34.22
3 4.16 40.84 12.72 26.14 30.21
4 4.25 43.75 14.11 24.09 40.44
5 4.28 51.17 11.98 20.41 42.54
6 4.33 48.46 12.18 18.37 39.00
7 4.33 54.03 11.92 20.24 52.37
8 4.47 57.67 12.43 18.37 54.12
9 4.46 38.46 12.00 23.55 30.15
10 5.49 45.75 13.50 20.35 42.43
11 5.49 55.16 14.77 24.22 75.09
12 5.54 39.41 14.28 18.40 36.05
13 5.63 42.67 13.20 19.31 36.24
14 5.75 48.88 13.84 20.92 51.06
15 5.74 51.99 14.02 21.94 58.87
16 6.21 57.58 13.77 21.07 71.90
17 6.74 41.21 14.09 19.83 44.21
18 6.73 59.69 14.25 19.31 70.98
19 6.76 37.43 14.49 19.34 45.02
20 6.90 46.73 15.38 21.95 57.97
21 6.97 55.07 15.01 22.08 79.57
22 7.06 43.85 15.53 19.94 52.92
23 7.04 50.10 15.40 26.52 68.46
24 7.11 52.77 14.84 24.10 69.69
25 7.49 35.29 13.49 19.41 43.59
26 7.61 61.83 15.48 22.36 85.15
27 7.90 56.99 15.41 23.51 83.51
28 7.87 38.47 15.06 21.96 50.15
29 8.15 48.59 16.45 24.90 78.66
30 8.20 33.32 14.69 21.89 48.17
31 8.16 41.49 14.78 22.39 53.67
32 8.15 45.37 17.06 26.14 75.67
33 8.31 59.31 16.34 25.35 96.61
34 8.42 51.91 16.33 23.24 75.90
35 8.69 36.02 14.92 23.45 56.30
36 8.85 54.55 17.47 25.67 91.33
37 8.74 65.05 14.44 18.62 75.97
38 9.02 43.26 16.78 26.05 65.49
39 8.84 62.01 14.48 24.30 107.57
40 9.14 39.42 15.80 26.01 65.00
41 9.26 46.92 16.54 25.79 77.64
42 9.45 57.03 15.84 26.86 109.80
43 9.50 49.82 17.23 29.22 85.94
44 9.68 34.10 14.84 25.51 61.54
45 9.92 37.44 14.78 26.49 58.78
46 10.03 44.87 18.71 31.28 85.98
47 9.85 59.81 16.82 22.10 107.24
48 10.14 40.91 16.31 29.35 69.65
49 10.03 52.66 16.97 26.83 100.78
50 10.05 67.77 14.48 16.66 54.92
51 10.15 62.55 16.05 20.74 113.17
52 10.20 65.24 15.64 20.81 110.42
53 10.18 31.53 14.85 25.57 52.08
54 10.71 55.41 19.30 27.82 115.10
55 10.78 43.11 20.20 38.38 90.89
56 10.75 47.24 17.85 28.61 91.61
57 10.78 29.08 12.79 25.04 46.06
58 10.99 36.06 15.97 29.65 72.82
59 10.98 58.13 18.21 26.56 133.98
60 10.97 50.14 16.95 32.77 103.18
61 10.77 33.53 15.05 31.74 70.23
62 11.28 38.80 16.41 30.14 74.54
63 11.36 61.04 18.11 28.62 140.66
64 11.56 66.60 17.37 20.41 118.81
65 11.57 53.02 17.77 32.92 120.99
66 11.60 31.31 15.77 32.73 56.76
67 11.69 63.73 17.32 21.56 132.93
68 11.42 33.40 15.31 34.29 70.02
69 11.76 41.34 18.57 35.66 87.69
70 11.95 44.67 17.15 33.60 92.75
71 12.18 69.29 15.20 18.66 114.97
72 12.24 28.86 14.67 29.77 68.01
73 12.13 47.69 18.60 32.11 104.34
74 12.37 55.44 18.25 34.50 138.32
75 12.42 50.42 19.11 33.63 122.34
76 12.37 58.57 17.92 37.13 146.60
77 12.40 36.52 17.53 35.06 83.24
78 12.56 33.87 17.43 35.26 74.67
79 12.74 39.30 19.43 41.57 86.99
80 12.90 61.40 18.76 31.59 160.75
81 13.15 64.27 18.34 23.85 153.98
82 13.07 31.44 16.44 31.26 76.53
83 13.01 42.18 19.89 37.49 90.66
84 13.19 66.99 17.33 20.85 135.48
85 13.16 46.37 20.28 45.81 109.41
86 13.27 52.62 21.85 40.38 145.95
87 13.35 26.92 14.63 25.49 63.71
88 13.49 70.42 15.91 16.80 115.52
89 13.65 56.73 18.65 41.22 158.81
90 13.74 49.25 20.23 42.24 133.70
91 13.86 44.30 19.00 38.38 113.51
92 13.74 29.46 17.06 30.53 69.48
93 13.81 36.42 18.98 34.54 80.35
94 14.07 59.35 20.29 33.88 168.60
95 13.99 33.68 18.38 31.03 86.52
96 13.98 39.39 20.14 37.08 99.45
97 14.38 54.38 20.51 45.64 161.14
98 14.56 62.46 18.86 30.87 178.32
99 14.67 42.12 20.68 38.01 115.68
100 14.58 67.95 18.39 20.08 137.58
101 14.67 46.86 19.31 44.24 131.63
102 14.75 51.88 21.45 52.81 155.58
103 14.70 27.69 16.63 31.13 88.58
104 14.85 65.27 18.87 23.48 158.55
105 14.78 25.20 14.07 23.91 63.08
106 14.83 31.48 17.45 35.01 88.10
107 14.98 70.90 16.22 17.20 115.40
108 15.37 37.04 18.92 40.56 100.97
109 15.32 49.46 23.02 47.15 131.62
110 15.23 56.85 22.10 40.44 172.41
111 15.41 34.45 19.91 38.21 94.55
112 15.45 39.75 18.55 37.89 112.56
113 15.62 59.77 21.11 36.11 176.68
114 15.68 44.75 21.15 48.88 144.26
115 15.54 73.75 16.12 14.30 56.31
116 15.91 29.52 15.79 32.11 92.58
117 16.10 54.34 21.79 44.78 157.95
118 16.09 26.31 16.58 32.41 86.19
119 16.04 67.96 19.39 20.02 137.87
120 16.24 62.61 19.24 33.96 191.76
121 16.40 47.67 21.96 46.59 139.68
122 16.35 42.41 20.87 46.51 124.56
123 16.37 51.50 22.44 45.92 154.83
124 16.42 23.15 13.10 22.76 57.93
125 16.43 32.54 17.86 39.51 93.09
126 16.37 65.22 20.62 23.12 154.46
127 16.26 70.95 17.69 17.34 101.96
128 16.66 57.17 22.02 37.97 163.41
129 16.95 35.09 19.77 35.75 91.66
130 16.80 37.18 21.22 43.95 115.07
131 16.89 39.77 21.61 47.53 120.09
132 16.97 73.04 18.05 17.83 107.47
133 17.14 59.74 23.35 36.07 167.21
134 17.28 45.50 20.91 40.22 153.98
135 17.32 28.36 17.43 40.04 109.51
136 17.51 49.83 23.77 44.59 155.64
137 17.66 30.92 19.76 43.27 112.72
138 17.43 69.19 19.19 19.33 131.66
139 17.54 26.16 15.51 27.18 79.67
140 17.59 66.35 20.97 22.07 154.77
141 17.69 55.05 22.17 38.10 185.36
142 17.62 63.32 21.10 21.76 154.59
143 17.90 52.47 23.52 42.65 178.30
144 17.79 43.11 23.05 44.15 132.15
145 17.82 24.03 15.23 25.66 71.35
146 17.61 37.36 19.68 41.34 101.55
147 17.85 20.94 12.58 18.89 38.66
148 18.13 33.29 20.08 37.52 101.67
149 18.22 47.55 22.28 33.50 142.14
150 17.88 77.52 12.94 12.53 29.70
151 18.02 74.87 18.86 16.46 87.86
152 18.25 40.42 21.94 46.18 136.18
153 18.33 57.31 21.77 34.77 161.53
154 18.47 59.88 23.30 34.00 177.49
155 18.43 71.36 18.21 19.68 113.08
156 18.69 35.50 19.70 31.92 81.11
157 18.70 37.91 20.75 40.54 127.60
158 18.79 29.71 17.13 29.71 72.21
159 18.88 45.26 23.92 31.75 122.81
160 18.93 62.23 21.66 34.44 180.89
161 18.85 68.05 20.39 20.28 122.54
162 18.95 22.43 14.44 20.46 66.14
163 18.99 49.70 23.49 32.23 158.50
164 18.92 65.01 21.56 24.00 149.51
165 18.98 27.13 18.16 27.60 85.32
