#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ca1 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.09 48.82 6.97 13.59 5.86
1 2.34 43.26 8.84 15.86 7.67
2 2.26 46.22 7.00 13.99 6.27
3 2.58 49.86 7.26 13.12 6.46
4 2.83 52.11 8.33 15.01 6.49
5 3.62 47.40 8.59 15.51 7.98
6 3.29 44.86 9.48 14.84 7.94
7 3.27 54.83 8.60 15.24 6.76
8 3.64 50.89 8.39 15.16 7.03
9 3.98 39.59 10.00 16.43 15.13
10 4.30 52.78 8.61 16.46 7.22
11 4.09 44.71 9.36 14.44 9.21
12 4.13 55.53 8.30 15.28 6.86
13 3.93 36.79 9.53 19.37 19.75
14 5.12 38.23 11.63 18.24 29.85
15 4.93 43.14 10.22 16.03 14.93
16 4.99 58.24 7.91 18.12 6.40
17 5.11 48.14 8.58 15.80 8.91
18 5.57 40.78 10.49 15.22 29.19
19 5.24 45.93 9.39 15.47 10.62
20 5.20 50.61 11.28 16.49 8.40
21 5.64 53.91 8.65 17.21 7.38
22 5.44 56.58 9.00 18.26 6.36
23 5.73 35.57 10.93 19.76 50.78
24 5.91 51.30 10.06 17.43 8.45
25 6.18 61.53 7.94 15.69 7.61
26 6.27 33.28 10.57 21.36 60.75
27 6.22 43.55 10.54 18.41 19.37
28 6.21 36.61 11.26 21.06 49.83
29 6.33 59.02 8.19 16.86 6.12
30 6.34 46.23 9.12 13.48 21.16
31 6.56 48.64 10.00 18.83 11.75
32 6.83 38.56 11.24 19.60 50.34
33 6.84 52.38 10.22 17.35 8.46
34 6.99 54.63 9.37 17.75 8.19
35 7.07 46.19 10.32 17.96 25.70
36 7.19 35.47 11.17 21.24 59.92
37 7.28 41.51 12.39 23.25 49.53
38 7.54 60.36 8.20 20.47 6.28
39 7.65 44.29 11.56 19.05 36.14
40 7.59 57.07 9.07 18.73 7.50
41 7.65 32.32 10.37 19.19 58.44
42 7.66 49.84 9.24 18.43 19.68
43 7.72 48.50 9.35 20.03 21.76
44 8.25 51.97 11.24 22.28 15.65
45 8.25 36.93 12.18 27.71 67.68
46 8.37 39.31 12.71 23.82 62.01
47 8.48 30.13 10.93 29.35 47.31
48 8.39 34.06 11.80 29.73 67.38
49 8.48 46.92 11.86 23.59 34.03
50 8.36 54.45 11.25 22.18 8.84
51 8.79 61.73 8.90 18.03 7.45
52 8.73 41.84 12.35 25.42 62.93
53 8.95 59.38 8.94 19.67 7.24
54 9.10 44.48 12.77 24.81 61.82
55 8.90 56.88 9.59 20.77 7.76
56 9.10 49.74 12.16 22.90 33.29
57 9.33 65.44 10.01 18.82 7.43
58 9.41 32.06 12.37 35.51 41.01
59 9.67 34.78 13.30 28.36 67.61
60 9.79 37.19 13.16 28.75 60.45
61 9.77 52.82 11.57 28.96 12.00
62 9.87 29.01 10.99 26.09 34.88
63 9.82 39.63 13.09 30.28 62.89
64 10.11 55.19 11.07 28.11 9.21
65 9.99 47.78 12.45 25.11 49.19
66 10.14 60.96 9.68 22.05 6.77
67 10.20 42.08 13.61 27.87 63.20
68 10.31 57.48 10.30 23.86 8.44
69 10.18 63.88 8.37 18.94 7.89
70 10.51 45.05 12.63 25.40 54.04
71 10.23 58.86 9.60 23.90 9.00
72 10.59 51.19 12.74 31.42 16.60
73 10.55 26.28 11.22 27.27 13.54
74 10.69 31.24 11.05 34.45 18.85
75 10.82 33.94 13.24 30.86 35.33
76 10.92 68.20 8.58 17.28 8.82
77 11.11 65.74 8.67 20.25 8.90
78 11.71 35.58 13.71 35.16 18.25
79 11.31 49.48 13.22 36.21 42.59
80 11.49 27.63 11.49 32.26 10.60
81 11.12 39.21 12.78 29.08 36.20
82 11.12 54.24 11.25 30.07 9.59
83 11.41 59.93 10.78 22.12 8.45
84 11.33 62.77 9.39 21.61 8.21
85 11.34 24.32 9.97 31.07 9.41
86 11.49 47.09 13.21 34.39 41.27
87 11.18 29.54 11.92 32.79 19.96
88 11.36 42.47 15.14 41.20 44.57
89 11.78 57.38 11.88 26.82 9.67
90 11.87 70.38 7.97 15.07 23.75
91 11.71 52.43 12.47 30.71 13.24
92 11.69 55.40 10.93 30.85 10.47
93 11.91 32.16 13.25 39.22 15.45
94 11.84 29.50 12.31 32.87 13.87
95 12.06 44.88 13.17 39.69 20.22
96 12.41 40.44 15.57 53.68 15.74
97 12.40 38.01 13.57 38.35 13.50
98 12.22 66.91 8.31 16.29 16.55
99 12.39 24.19 9.64 35.26 9.59
100 12.50 25.97 10.65 28.24 9.59
101 12.59 50.57 12.09 37.85 17.21
102 12.78 54.04 12.57 30.59 11.27
103 12.82 48.06 15.17 41.63 14.37
104 12.80 60.45 10.81 25.69 11.22
105 13.00 42.93 13.62 55.36 13.18
106 12.87 62.71 11.24 26.71 10.75
107 13.00 29.63 13.91 38.12 10.68
108 13.13 56.46 11.44 28.13 10.78
109 13.49 69.69 9.39 15.17 47.43
110 13.38 45.61 13.88 51.36 14.75
111 13.32 35.18 14.13 39.67 12.93
112 13.33 66.67 10.32 17.58 37.59
113 13.53 23.15 10.98 34.68 9.12
114 13.70 32.76 12.70 39.69 11.49
115 13.63 52.08 13.44 41.69 14.57
116 13.74 37.33 14.11 39.92 12.75
117 13.66 20.81 7.39 34.84 8.42
118 13.91 26.02 11.37 35.83 11.03
119 14.13 64.13 10.60 18.79 35.68
120 13.90 40.50 13.98 51.48 13.24
121 14.03 49.30 12.82 40.86 14.57
122 14.03 58.57 12.62 26.84 11.82
123 14.46 54.13 13.48 39.80 13.94
124 14.15 67.09 11.26 18.21 42.62
125 14.43 29.76 13.98 38.58 11.89
126 14.55 43.38 14.73 60.91 14.66
127 14.77 71.80 9.18 14.69 41.48
128 14.57 46.56 15.16 63.88 17.33
129 14.58 56.34 13.49 28.77 14.44
130 14.48 21.65 11.64 36.23 9.68
131 14.84 35.44 15.39 43.60 13.11
132 14.98 27.44 13.33 34.05 12.69
133 14.59 19.75 8.25 38.88 10.62
134 15.01 38.62 14.90 48.60 15.12
135 15.32 60.43 13.57 23.91 25.81
136 15.06 23.26 13.25 43.79 13.01
137 15.12 51.56 15.45 47.12 17.82
138 14.92 20.67 10.68 37.59 12.35
139 15.28 66.24 9.91 16.36 50.30
140 15.19 32.70 15.35 47.85 14.21
141 15.15 68.96 10.77 15.84 36.78
142 15.43 41.17 15.81 60.08 20.42
143 15.29 62.69 12.45 21.70 17.53
144 15.55 48.72 15.56 49.43 21.30
145 15.56 58.07 14.49 27.37 15.93
146 15.33 55.68 12.50 24.82 13.91
147 15.77 25.07 12.97 42.37 15.36
148 15.81 45.65 14.67 66.25 26.41
149 15.46 20.02 12.00 44.58 13.58
150 15.58 74.50 8.50 14.62 30.31
151 15.94 29.86 13.99 53.35 16.93
152 16.06 43.38 17.04 63.24 28.46
153 16.08 20.69 10.93 44.53 13.15
154 16.11 54.07 14.61 33.99 19.85
155 16.19 37.11 16.36 56.56 21.87
156 16.41 72.19 9.67 15.44 32.08
157 16.21 18.50 10.00 37.47 13.42
158 16.44 34.52 15.45 59.88 20.53
159 16.45 27.30 13.56 44.72 17.80
160 16.67 63.01 11.58 17.84 42.01
161 16.61 68.71 11.86 16.52 53.24
162 16.44 39.57 16.39 63.36 30.01
163 16.48 50.79 16.83 56.08 28.38
164 16.45 76.38 8.18 14.66 21.75
165 16.58 32.31 16.11 53.61 23.32
