#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
kf9 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 2.40 48.88 12.32 18.72 54.00
1 2.69 52.19 11.22 17.39 61.09
2 3.06 54.71 10.86 20.35 57.62
3 3.20 46.62 11.33 20.69 65.92
4 3.50 49.86 11.96 20.05 72.49
5 3.49 43.89 11.33 23.15 55.37
6 3.30 57.79 9.82 17.62 55.48
7 3.67 56.76 10.33 20.80 64.53
8 4.21 52.41 11.24 22.23 74.31
9 4.46 58.91 9.66 18.03 57.11
10 4.54 45.44 11.33 23.09 74.14
11 4.52 55.45 10.96 23.46 77.47
12 4.57 42.51 11.98 22.56 66.82
13 4.58 48.82 12.33 22.04 79.97
14 5.43 39.39 11.08 22.50 67.62
15 5.71 44.59 12.44 22.88 88.76
16 5.59 50.73 12.39 24.36 87.61
17 5.53 53.62 11.70 26.01 93.83
18 5.73 47.43 11.38 22.73 91.01
19 5.62 59.44 10.88 24.55 79.96
20 5.91 56.93 10.91 24.65 93.24
21 5.92 62.10 10.53 21.26 69.04
22 5.90 42.07 11.90 26.92 81.75
23 6.49 37.17 11.20 26.26 58.46
24 6.71 54.69 13.10 28.13 108.43
25 6.89 49.34 11.81 26.38 106.67
26 6.79 40.19 11.76 30.04 80.23
27 6.97 52.04 12.49 25.54 101.46
28 6.89 59.98 11.74 25.89 100.31
29 7.01 46.39 12.98 27.88 108.46
30 7.18 43.28 12.29 27.73 96.58
31 7.41 57.37 13.04 27.09 112.30
32 7.66 62.74 10.38 22.27 97.15
33 7.74 65.74 9.55 18.03 55.34
34 7.94 38.10 12.61 27.89 88.52
35 8.03 35.42 11.29 27.43 75.09
36 8.10 40.47 12.50 29.33 112.98
37 8.04 54.71 13.22 31.03 129.32
38 8.14 48.17 13.59 28.04 115.94
39 8.22 45.21 12.99 27.74 114.56
40 8.15 51.61 13.15 29.51 130.54
41 8.34 60.28 11.46 27.70 124.32
42 8.23 49.40 12.57 31.88 116.12
43 8.86 42.53 13.79 31.12 131.06
44 8.75 57.44 14.04 32.42 145.87
45 9.08 64.58 11.08 22.66 108.58
46 9.13 67.25 9.21 17.50 62.17
47 9.30 47.19 14.38 33.92 140.41
48 9.34 37.00 13.25 31.83 112.59
49 9.37 33.85 12.32 24.95 91.09
50 9.39 54.10 12.92 30.55 140.15
51 9.59 62.04 12.29 27.39 140.34
52 9.48 50.42 13.08 34.20 139.08
53 9.28 39.43 13.27 28.27 119.76
54 9.74 44.54 13.01 32.61 142.96
55 9.90 59.42 12.65 33.28 148.11
56 9.94 40.10 12.94 31.79 121.67
57 10.23 56.81 13.01 38.14 160.65
58 10.56 42.04 14.17 33.70 146.84
59 10.35 68.61 10.29 17.85 85.62
60 10.54 52.55 15.36 45.35 165.14
61 10.46 31.60 12.21 23.66 73.70
62 10.60 48.33 15.28 39.36 161.27
63 10.56 64.34 10.96 26.35 137.73
64 10.77 34.79 13.67 28.21 108.95
65 10.74 37.67 14.85 29.81 122.49
66 10.82 46.11 15.34 35.88 150.28
67 11.21 54.99 15.76 44.11 183.31
68 11.30 60.62 13.09 39.73 169.06
69 11.45 50.40 15.12 45.80 169.35
70 11.08 44.64 14.02 33.40 126.30
71 11.47 67.58 12.02 20.12 117.89
72 11.71 39.95 14.66 32.76 141.62
73 11.37 57.93 14.32 31.71 169.75
74 11.78 32.12 12.48 26.90 112.48
75 12.01 42.78 16.36 40.90 150.16
76 11.96 62.98 14.02 30.58 168.54
77 11.99 65.61 13.02 27.82 174.90
78 12.20 52.79 15.69 45.84 173.85
79 12.11 36.73 14.50 40.32 155.02
80 12.23 48.09 15.63 40.80 178.20
81 12.09 57.39 14.04 42.76 189.28
82 12.41 70.01 10.37 17.78 114.38
83 12.35 45.44 14.20 38.23 176.35
84 12.67 33.85 14.83 32.23 125.04
85 12.90 55.02 15.10 49.24 186.65
86 12.87 59.38 13.85 35.77 198.44
87 13.07 30.56 12.94 29.38 98.81
88 13.22 61.54 14.10 35.68 184.01
89 12.91 50.28 15.15 39.65 183.69
90 13.31 38.74 16.28 36.71 160.47
91 13.28 67.27 12.17 23.80 149.84
92 13.49 41.34 14.82 41.09 169.77
93 13.48 57.21 16.41 43.59 201.56
94 13.39 64.23 13.41 32.29 187.46
95 13.71 43.97 14.69 40.73 172.82
96 13.62 35.89 15.18 35.59 156.88
97 13.75 46.51 15.38 40.88 178.08
98 13.49 51.14 16.77 40.13 164.08
99 14.13 48.83 15.72 39.37 180.40
100 14.21 52.60 15.49 37.47 185.28
101 14.05 69.53 12.30 20.69 162.29
102 14.07 72.03 11.29 15.36 95.95
103 14.29 33.34 14.46 30.31 150.82
104 14.27 27.51 12.05 21.92 80.94
105 14.53 30.47 14.45 28.67 125.63
106 14.69 55.40 14.53 34.73 179.46
107 14.60 59.15 14.59 31.76 179.33
108 14.69 65.49 14.08 26.60 190.58
109 14.74 62.32 15.31 38.23 193.21
110 14.85 37.57 14.45 34.19 169.60
111 14.97 40.12 14.85 37.01 176.62
112 15.08 42.92 15.14 37.14 180.46
113 15.36 67.84 13.32 23.26 158.90
114 15.30 45.60 15.24 34.47 164.24
115 15.39 49.78 16.09 36.10 190.12
116 15.36 74.53 10.17 13.44 99.69
117 15.23 47.10 17.24 36.56 177.93
118 15.59 70.72 12.69 17.33 154.69
119 15.58 25.10 11.89 18.96 71.93
120 15.64 35.64 15.35 31.93 170.68
121 15.46 28.51 13.33 25.97 113.45
122 15.57 32.87 15.84 28.64 157.16
123 15.74 53.03 15.82 34.56 186.47
124 15.69 57.85 16.09 37.48 200.32
125 15.95 27.46 13.49 23.53 107.64
126 16.03 30.75 14.94 27.06 149.33
127 16.25 55.79 15.48 32.92 198.30
128 16.08 61.55 14.08 35.75 188.06
129 16.06 64.99 13.93 29.90 183.22
130 16.00 59.23 15.68 36.55 176.84
131 16.44 38.26 15.35 36.25 175.52
132 16.34 41.19 16.34 37.48 184.36
133 16.50 44.36 17.21 35.96 191.82
134 16.40 73.07 13.46 15.12 120.30
135 16.24 33.64 14.91 30.65 154.04
136 16.65 47.56 14.75 34.09 184.37
137 16.71 50.51 15.57 37.26 177.26
138 16.85 67.92 13.08 20.03 178.71
139 17.10 29.30 15.27 24.23 161.67
140 17.08 76.21 10.52 13.14 99.44
141 17.17 63.44 15.61 30.44 193.25
142 17.15 26.20 13.95 21.09 99.92
143 17.13 35.24 14.61 26.21 165.52
144 17.17 53.24 15.31 30.66 194.63
145 17.23 70.62 12.97 16.87 159.65
146 17.12 58.33 15.20 25.63 197.36
147 17.35 32.50 15.12 24.34 175.01
148 17.46 60.53 15.51 27.94 199.51
149 17.63 42.29 16.31 31.59 191.23
150 17.80 39.60 15.83 28.58 172.93
151 17.84 65.74 14.74 20.86 180.72
152 17.55 55.83 15.64 26.57 200.14
153 17.71 73.31 13.00 15.58 129.01
154 17.95 45.04 16.29 33.05 194.18
155 17.93 23.62 12.80 19.25 82.76
156 18.19 36.99 16.50 27.77 178.15
157 18.13 47.84 15.78 28.45 193.39
158 17.90 61.48 14.68 26.66 177.71
159 18.23 50.60 16.05 26.44 189.46
160 18.32 28.36 14.14 23.17 155.21
161 18.19 78.57 9.84 12.89 78.19
162 18.15 55.33 14.32 25.51 186.11
163 18.53 31.22 14.98 25.55 160.42
164 18.63 68.07 14.46 17.44 164.88
165 18.55 58.02 16.15 24.17 195.67
