#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
lesl21 14A 8 Kruppel even-skipped fushi-tarazu

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - Kr, channel 2 - eve, channel 3 - ftz>
0 1.99 39.97 9.07 3.37 22.70
1 3.11 39.52 8.48 2.79 23.66
2 3.77 43.14 8.23 2.80 21.41
3 3.48 41.72 8.00 2.50 28.75
4 4.42 37.88 8.11 3.25 23.07
5 4.21 31.86 7.92 3.04 23.76
6 4.52 34.54 8.86 2.93 23.57
7 4.45 44.61 8.87 3.35 20.04
8 4.81 40.66 8.44 2.95 22.00
9 4.49 43.33 7.75 3.38 22.62
10 4.86 32.83 7.75 3.70 23.10
11 5.03 37.06 9.28 3.11 23.61
12 5.18 49.19 9.42 3.17 24.48
13 5.34 35.50 7.85 2.53 23.51
14 5.56 45.56 9.78 3.10 22.68
15 5.76 32.36 8.34 3.12 22.91
16 5.72 30.10 9.04 2.96 22.02
17 6.09 42.28 9.72 3.05 23.68
18 5.77 38.76 9.50 2.80 22.68
19 5.92 48.43 9.19 2.46 22.58
20 5.98 50.09 9.30 3.22 20.70
21 5.97 43.43 11.22 2.89 24.78
22 6.46 34.58 9.87 3.27 24.49
23 6.36 39.78 10.06 3.19 22.29
24 6.53 47.39 10.73 3.05 23.58
25 6.73 28.82 8.18 3.15 25.52
26 6.75 45.26 10.18 3.09 25.33
27 6.91 32.09 9.13 3.39 22.84
28 6.68 37.39 11.82 3.25 22.79
29 7.12 53.57 10.06 3.14 23.65
30 7.17 35.24 10.88 2.91 26.56
31 7.21 38.18 11.37 3.04 23.43
32 7.65 49.62 9.54 3.06 23.78
33 7.50 42.95 11.00 3.07 25.36
34 7.53 26.27 11.58 3.13 22.29
35 7.83 36.69 10.94 3.17 26.44
36 7.92 31.13 9.73 3.23 25.62
37 8.00 34.04 11.83 3.06 24.35
38 8.13 28.97 11.28 3.14 24.31
39 8.04 51.77 9.97 3.41 24.44
40 8.29 40.78 12.94 3.28 25.77
41 8.48 39.28 12.22 3.26 26.35
42 8.35 43.91 9.78 4.22 24.30
43 8.44 55.42 10.70 3.32 25.28
44 9.11 36.75 11.80 3.75 25.46
45 8.65 26.06 11.67 3.38 25.04
46 8.95 31.61 12.82 3.63 24.86
47 8.54 48.50 11.00 3.75 23.38
48 8.92 42.48 11.00 3.11 26.69
49 8.74 27.82 10.37 3.32 27.63
50 8.86 52.03 9.88 3.32 23.58
51 8.97 34.40 13.45 3.75 24.16
52 9.15 45.43 12.83 3.35 21.54
53 9.32 48.33 11.16 3.65 24.58
54 9.11 54.16 10.17 3.47 23.53
55 9.28 58.43 9.13 3.21 24.08
56 9.19 38.75 12.59 3.32 25.36
57 9.55 30.08 13.22 3.63 26.39
58 9.29 50.14 9.70 3.25 27.80
59 9.43 28.50 13.76 3.21 27.03
60 9.59 32.79 12.14 3.65 25.90
61 9.65 40.47 13.16 3.29 25.87
62 9.93 55.27 11.14 3.98 25.17
63 9.64 25.80 11.90 2.93 25.23
64 9.86 24.36 13.26 2.90 23.60
65 9.99 51.58 11.29 3.56 26.26
66 9.92 27.35 13.84 3.23 24.65
67 9.98 44.30 12.30 3.47 26.57
68 10.32 59.19 10.26 3.40 23.58
69 10.44 34.74 14.48 3.52 29.77
70 10.74 37.71 18.30 3.57 28.39
71 10.61 28.38 14.73 3.73 24.00
72 10.59 30.23 13.15 3.59 28.74
73 11.12 42.96 14.78 3.85 26.02
74 10.71 26.74 12.77 3.27 23.60
75 10.73 61.12 9.35 4.00 26.26
76 10.84 46.70 12.57 3.45 25.91
77 11.02 57.77 10.61 3.56 23.86
78 10.89 24.18 11.79 2.97 27.41
79 11.19 50.98 15.08 3.69 25.73
80 11.63 32.34 17.22 3.78 23.84
81 11.28 25.54 12.64 3.24 26.93
82 11.25 22.32 10.97 2.97 23.44
83 11.32 34.39 14.89 3.53 27.40
84 11.40 52.68 13.69 3.82 26.78
85 11.26 29.16 14.00 3.52 27.00
86 11.66 54.92 11.12 4.42 26.71
87 11.34 62.21 9.08 3.33 23.17
88 12.08 26.15 13.87 3.79 24.79
89 11.83 37.50 14.45 3.84 26.82
90 11.90 29.54 11.49 4.05 28.49
91 12.13 47.52 16.55 4.06 27.15
92 11.89 39.38 13.00 3.57 28.86
93 12.15 49.85 16.51 4.14 26.35
94 12.20 23.78 12.70 3.46 24.57
95 12.30 61.66 9.66 3.97 25.91
96 12.38 35.59 15.53 3.82 28.00
97 12.03 41.54 26.85 4.54 22.38
98 12.39 27.92 14.29 3.81 26.96
99 12.31 30.89 16.04 3.44 27.72
100 12.64 51.98 13.38 4.22 28.01
101 12.63 56.45 11.48 4.55 23.53
102 12.61 58.98 10.04 4.20 25.50
103 12.40 22.44 12.17 2.72 25.28
104 12.51 40.39 18.49 4.16 30.04
105 12.68 43.17 17.94 3.96 26.51
106 12.52 20.09 10.72 2.69 24.86
107 12.90 32.25 11.46 3.76 28.61
108 12.84 38.28 17.41 3.50 26.89
109 12.97 53.47 12.32 4.32 25.43
110 13.10 21.38 13.29 2.83 24.02
111 13.42 28.54 12.67 4.14 27.90
112 13.22 45.10 15.64 4.41 28.50
113 13.39 25.60 14.71 4.03 26.01
114 13.33 36.29 17.88 4.29 26.76
115 13.53 64.65 10.34 4.11 25.45
116 13.37 40.34 28.57 3.73 22.33
117 13.36 30.26 14.71 3.46 28.54
118 13.27 41.82 19.56 4.88 29.75
119 13.45 49.29 16.46 4.23 29.54
120 13.80 60.50 10.81 4.42 24.49
121 13.36 57.89 12.28 3.33 24.78
122 13.65 54.91 12.94 4.18 27.26
123 13.76 33.99 19.58 3.51 27.36
124 13.79 22.89 14.00 3.76 27.55
125 13.91 42.85 20.30 4.40 28.95
126 14.17 19.78 11.97 3.39 23.85
127 14.08 57.73 12.25 4.22 27.12
128 13.82 62.84 9.85 3.69 27.77
129 14.49 52.44 17.19 4.28 25.55
130 14.01 27.12 14.92 4.08 26.33
131 14.28 37.52 30.94 4.19 24.36
132 14.17 40.60 18.31 4.00 30.92
133 14.27 29.81 19.89 4.03 26.49
134 14.60 26.95 14.88 4.30 27.58
135 14.67 44.31 28.06 4.23 26.73
136 14.51 47.29 19.23 3.97 28.97
137 14.78 65.85 9.11 4.13 25.68
138 14.80 54.58 13.18 4.00 29.57
139 14.65 18.75 13.44 3.78 22.22
140 14.98 36.45 17.89 4.18 29.98
141 15.10 22.45 15.98 3.91 28.88
142 14.92 30.97 17.17 4.37 30.00
143 14.80 59.12 12.90 3.60 29.30
144 14.94 61.34 10.10 4.69 24.52
145 15.03 38.81 16.33 3.97 30.73
146 15.29 63.33 10.75 4.46 28.09
147 15.41 42.80 19.65 4.20 30.75
148 15.24 18.25 12.76 3.52 25.70
149 15.27 28.62 16.18 3.92 28.10
150 15.62 59.50 11.64 4.34 28.36
151 15.42 68.04 8.55 4.18 24.90
152 15.38 24.29 13.00 4.30 30.63
153 15.50 53.56 12.83 4.79 29.67
154 15.53 49.93 14.27 4.85 29.54
155 15.86 46.97 18.09 4.37 29.28
156 15.66 41.32 15.29 4.58 31.21
157 15.86 25.75 18.67 3.75 26.71
158 15.62 30.39 18.58 4.54 28.81
159 15.83 56.11 13.55 4.55 28.09
160 16.02 65.86 10.00 4.43 25.72
161 15.71 35.72 16.00 4.32 31.79
162 15.94 51.81 17.37 4.06 26.33
163 16.01 20.43 16.02 4.06 24.70
164 16.24 27.95 15.42 4.25 29.65
165 16.25 62.86 10.87 4.79 25.81
