#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nb11 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.51 41.85 11.66 10.60 19.47
1 1.99 44.88 11.26 11.86 8.08
2 2.37 46.91 11.52 9.70 9.16
3 2.98 38.56 11.87 13.07 46.32
4 2.97 45.63 11.45 11.61 11.11
5 3.02 49.95 12.76 10.15 7.95
6 3.23 52.25 10.73 13.22 7.37
7 3.78 43.72 11.90 12.08 31.79
8 3.69 46.38 14.40 11.13 11.17
9 3.99 40.90 11.62 13.77 49.90
10 4.00 36.27 12.71 12.21 68.01
11 4.01 52.84 11.85 14.74 7.18
12 4.25 51.15 13.75 10.77 8.23
13 4.51 47.18 12.13 14.58 18.07
14 4.57 53.74 12.53 14.73 6.60
15 4.61 39.43 11.96 13.26 64.30
16 4.97 49.72 13.21 14.57 10.54
17 4.74 52.14 12.88 15.06 7.65
18 5.16 44.85 12.81 14.93 41.11
19 5.19 41.81 13.33 15.48 65.61
20 5.62 36.53 12.97 16.54 82.96
21 5.45 38.86 13.38 15.69 78.14
22 5.40 57.11 12.89 12.57 7.61
23 5.80 47.96 12.45 16.79 22.04
24 5.69 55.86 12.41 13.90 7.15
25 5.91 52.44 13.15 14.94 8.70
26 6.15 54.66 13.94 14.17 7.96
27 6.55 42.99 14.43 21.73 61.78
28 6.63 28.72 12.58 15.43 63.07
29 6.68 40.17 13.74 22.29 72.55
30 6.61 33.88 13.57 19.33 63.77
31 6.52 45.45 14.84 22.77 39.13
32 6.93 50.37 11.85 21.08 11.54
33 6.88 37.29 13.77 20.14 73.83
34 6.80 30.75 12.97 19.11 68.12
35 6.73 55.49 14.20 14.52 8.92
36 6.88 46.46 13.33 23.93 32.87
37 7.09 60.53 10.80 12.23 12.24
38 6.79 53.37 15.48 12.78 10.39
39 7.51 48.19 14.53 23.97 22.56
40 7.49 52.95 14.45 17.73 10.67
41 7.51 45.50 13.97 23.30 35.91
42 7.86 44.30 14.16 26.09 36.44
43 7.84 62.27 13.37 12.15 26.21
44 7.75 33.21 15.25 22.80 39.92
45 7.96 41.78 13.26 24.74 41.22
46 8.04 29.50 13.25 18.08 46.50
47 8.04 38.70 13.11 27.76 48.18
48 8.05 31.68 12.97 22.65 42.65
49 8.12 36.02 13.90 28.37 38.79
50 7.82 34.70 13.78 21.22 42.78
51 8.12 59.29 12.68 14.08 18.07
52 8.14 51.10 15.80 18.76 12.08
53 8.58 46.78 14.89 25.69 17.07
54 8.75 56.62 14.43 17.59 13.27
55 8.66 25.92 12.77 20.76 25.37
56 8.53 59.69 14.89 15.84 17.37
57 8.80 27.70 13.46 22.05 24.54
58 8.73 49.47 14.77 25.74 11.50
59 8.94 54.31 14.24 19.42 11.77
60 8.76 33.73 16.72 28.26 19.30
61 9.07 61.81 13.39 13.19 45.41
62 9.36 41.14 15.15 34.65 15.19
63 9.01 43.78 16.00 30.79 15.23
64 8.99 52.18 13.87 21.79 10.34
65 9.28 45.28 14.98 27.22 14.37
66 9.57 31.54 15.68 30.03 13.98
67 9.43 38.54 15.40 37.54 16.79
68 9.74 58.20 13.53 13.90 32.65
69 9.44 35.89 14.87 30.90 15.36
70 9.55 29.35 14.00 25.72 16.05
71 9.29 33.59 13.75 28.17 16.17
72 9.53 24.33 10.80 21.53 15.85
73 10.06 48.13 15.52 33.29 13.78
74 10.05 51.07 16.79 27.63 12.84
75 9.86 26.30 14.36 21.41 14.26
76 10.08 43.53 15.03 32.32 13.00
77 10.29 53.73 15.69 22.60 14.12
78 10.01 28.19 15.06 23.50 10.94
79 10.49 34.09 13.07 28.30 12.82
80 10.34 46.26 15.34 35.84 14.87
81 10.62 60.78 14.66 13.09 58.86
82 10.70 63.66 13.31 12.15 78.94
83 10.60 37.03 13.84 29.77 12.75
84 10.62 56.13 15.70 19.66 17.42
85 10.81 40.02 16.23 43.34 13.93
86 10.71 25.61 13.21 23.94 10.17
87 11.05 30.75 15.61 30.67 12.50
88 10.94 23.91 12.49 26.03 10.24
89 11.08 45.13 17.06 39.04 15.01
90 11.55 50.26 17.41 30.82 15.77
91 11.36 58.53 15.89 14.89 33.39
92 11.33 68.82 11.51 8.85 64.95
93 11.44 52.60 16.72 28.11 15.48
94 11.39 28.11 14.11 25.76 10.80
95 11.70 35.43 16.09 36.64 15.22
96 11.73 42.60 16.42 40.90 17.19
97 11.83 54.76 16.90 20.16 17.33
98 11.85 32.60 16.15 32.47 13.66
99 11.84 65.71 13.51 11.15 86.91
100 12.00 37.79 16.16 41.65 16.24
101 11.99 23.05 13.53 27.45 10.65
102 11.85 47.94 15.15 42.79 15.67
103 11.93 26.60 14.00 26.52 12.76
104 12.11 61.95 15.34 12.10 67.14
105 12.08 34.22 15.84 33.81 12.95
106 12.18 56.85 18.52 17.96 23.46
107 12.44 25.88 13.98 30.81 13.10
108 12.48 45.68 15.48 42.67 25.97
109 12.51 68.25 11.74 11.29 73.74
110 12.57 28.99 14.64 27.67 13.68
111 12.86 40.44 16.80 42.53 29.26
112 12.85 59.47 16.36 14.90 42.13
113 13.13 49.24 16.01 33.46 23.67
114 13.07 64.51 14.86 12.99 67.42
115 13.08 32.46 15.42 37.81 18.82
116 12.99 42.64 15.56 40.81 39.46
117 13.17 52.27 16.44 25.72 18.94
118 13.41 55.12 17.39 20.63 22.41
119 12.98 20.92 12.38 22.69 10.23
120 13.40 35.35 17.14 43.49 22.33
121 13.27 67.47 14.02 10.89 71.66
122 13.37 38.00 16.45 43.91 26.01
123 13.25 43.89 16.61 40.95 34.16
124 13.51 21.67 12.89 26.45 13.55
125 13.57 23.82 14.09 31.00 13.81
126 13.68 26.22 14.50 30.08 16.46
127 13.80 62.04 16.13 13.50 57.78
128 13.47 69.93 13.38 11.00 42.62
129 13.97 30.22 15.15 32.49 18.73
130 13.83 45.88 17.15 33.57 47.33
131 13.84 71.62 14.32 11.13 39.13
132 13.87 66.29 15.04 11.14 74.93
133 14.09 58.20 17.03 14.38 26.85
134 14.41 51.01 15.72 20.92 29.99
135 14.34 42.81 15.76 33.46 104.55
136 14.56 39.98 17.01 29.89 99.89
137 14.33 70.56 15.25 10.00 37.75
138 14.62 48.10 17.53 32.64 54.62
139 14.16 53.09 18.88 18.12 26.25
140 14.52 32.83 16.87 46.96 35.37
141 14.65 68.44 14.58 11.10 44.15
142 14.36 21.73 14.44 25.27 14.34
143 14.54 37.14 18.45 39.60 62.78
144 14.73 60.90 16.17 13.56 35.41
145 14.62 24.28 15.28 28.40 20.40
146 15.05 64.79 17.14 12.19 48.71
147 14.83 53.85 18.19 21.28 27.88
148 15.01 56.39 17.18 15.13 24.10
149 14.91 28.11 15.02 35.66 27.55
150 15.33 35.09 16.69 34.98 78.24
151 15.38 45.23 16.31 26.37 112.90
152 15.33 21.26 15.29 25.62 22.99
153 15.42 30.57 16.44 34.85 44.72
154 15.20 58.88 19.38 15.67 27.95
155 15.76 70.73 13.98 12.07 26.52
156 15.60 26.51 15.88 29.63 38.11
157 15.43 71.93 13.78 12.39 23.28
158 15.68 42.23 18.86 29.93 143.21
159 15.85 49.52 17.47 26.31 62.16
160 15.86 38.29 15.31 25.69 135.36
161 15.76 52.25 16.67 21.71 42.58
162 15.99 67.21 16.88 12.56 34.99
163 15.72 59.46 18.96 15.93 27.07
164 16.14 32.99 16.41 23.71 103.40
165 16.00 61.51 18.02 13.66 27.67
