#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
nk14 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 1.35 50.53 8.61 11.14 7.45
1 2.14 52.83 11.49 9.24 10.69
2 2.11 50.12 10.68 10.35 9.95
3 2.16 54.77 9.04 10.29 9.04
4 2.71 47.69 9.54 10.75 15.20
5 2.72 44.75 9.10 9.95 21.04
6 2.72 55.82 10.11 9.81 15.70
7 3.03 52.20 11.30 11.07 13.88
8 3.80 49.92 11.33 10.81 25.34
9 3.37 55.21 10.95 9.62 18.38
10 3.18 56.54 10.14 8.21 15.43
11 3.90 42.49 9.24 9.96 22.44
12 3.34 44.53 11.25 9.88 24.38
13 3.70 53.10 11.28 11.82 19.99
14 4.15 44.72 11.10 10.06 26.63
15 4.30 47.37 10.63 10.50 26.56
16 4.13 57.94 10.62 10.26 21.32
17 4.12 56.16 10.19 9.74 25.00
18 4.27 53.82 11.14 12.86 21.09
19 4.68 58.84 10.61 11.51 22.24
20 4.84 38.67 9.91 12.04 25.78
21 4.87 55.87 11.78 10.38 30.41
22 4.84 51.96 12.82 11.35 27.72
23 5.25 61.69 10.79 9.86 19.69
24 5.22 41.19 10.51 12.41 21.13
25 5.24 45.58 11.23 12.26 31.60
26 5.52 48.66 11.27 11.83 39.95
27 5.55 53.59 12.30 12.67 30.89
28 5.91 43.32 11.26 14.00 26.10
29 5.93 36.26 10.12 17.43 14.09
30 5.90 34.26 8.57 15.19 11.00
31 5.96 59.11 10.82 13.63 29.50
32 5.99 56.41 11.80 13.24 32.66
33 6.00 40.04 10.21 16.59 21.93
34 6.11 50.65 11.74 12.39 35.71
35 6.50 46.53 11.33 15.96 31.87
36 6.09 64.08 9.85 9.70 16.82
37 6.40 38.75 11.76 15.55 18.31
38 6.53 33.15 8.97 16.39 10.00
39 6.52 45.22 12.03 14.89 28.66
40 6.62 61.47 12.17 12.60 20.70
41 6.88 53.78 12.61 14.40 41.03
42 7.07 48.66 11.19 17.97 37.27
43 6.81 64.18 10.71 12.69 20.04
44 6.81 41.16 11.51 18.65 22.46
45 7.31 32.04 9.25 19.29 7.00
46 6.91 42.72 11.75 21.62 22.62
47 7.27 58.94 12.11 13.39 32.08
48 7.47 34.74 10.50 18.13 9.31
49 7.49 43.92 11.78 19.88 23.88
50 7.59 38.26 11.95 22.81 12.44
51 7.76 55.95 13.33 16.25 33.73
52 7.67 50.78 13.25 19.34 28.07
53 7.83 46.54 12.34 25.16 27.42
54 8.09 64.68 11.79 12.36 18.23
55 7.99 41.44 12.17 22.00 18.25
56 7.86 62.15 12.53 15.37 25.01
57 7.81 66.30 10.93 10.05 15.63
58 7.83 35.80 11.64 19.91 7.73
59 8.21 53.22 13.96 19.95 30.94
60 8.65 30.54 10.04 18.08 7.27
61 8.34 32.97 11.40 18.97 7.67
62 8.26 59.54 13.44 17.16 35.69
63 8.71 35.85 10.48 19.74 9.18
64 8.80 48.58 12.96 25.80 20.22
65 8.65 57.97 13.71 16.83 33.94
66 8.83 43.16 12.82 23.82 13.94
67 8.69 34.22 11.03 20.38 8.24
68 8.92 45.69 13.55 25.59 17.25
69 8.98 51.25 14.28 22.26 22.28
70 9.22 60.94 13.42 18.38 27.64
71 8.90 39.45 12.70 24.50 10.81
72 8.82 37.19 10.90 20.00 9.15
73 9.19 55.32 14.59 19.73 27.76
74 9.53 66.22 13.05 14.91 14.14
75 9.62 32.50 10.22 19.20 8.47
76 9.44 27.83 9.28 13.80 6.13
77 9.85 38.03 12.04 20.68 10.09
78 9.86 63.83 13.35 18.57 19.93
79 9.68 34.36 10.88 15.35 7.44
80 9.85 58.05 15.00 19.96 18.35
81 10.04 52.92 14.54 26.78 15.16
82 9.95 41.99 12.16 23.79 10.84
83 9.76 68.20 12.75 11.18 9.50
84 10.11 44.44 13.85 24.53 11.10
85 9.83 70.19 10.63 9.57 7.20
86 10.15 47.09 14.55 26.49 12.07
87 10.07 50.06 13.34 26.89 16.51
88 10.17 30.06 10.45 15.48 7.87
89 10.65 35.91 12.83 20.70 10.00
90 10.29 69.03 14.53 12.05 9.60
91 10.75 27.36 9.39 14.36 7.81
92 10.54 55.40 15.51 25.18 12.60
93 10.64 60.62 15.32 24.92 13.32
94 10.82 40.43 12.66 23.78 10.58
95 10.96 66.71 13.27 15.68 11.17
96 10.84 70.81 12.62 11.30 8.10
97 10.84 33.55 11.62 19.84 8.71
98 11.24 48.53 15.47 30.86 12.09
99 11.14 57.91 14.79 24.52 12.67
100 11.22 63.07 15.02 18.95 13.68
101 11.09 25.05 8.13 11.72 8.21
102 11.13 38.22 12.17 23.24 10.37
103 11.32 42.88 14.63 25.60 11.21
104 11.08 30.97 10.17 15.97 9.34
105 11.28 52.04 15.00 29.04 12.52
106 11.37 45.70 14.87 27.09 11.98
107 11.47 28.36 10.32 14.78 8.50
108 11.68 31.56 13.49 18.02 9.30
109 11.46 69.33 13.71 13.48 9.98
110 11.93 55.07 15.75 26.22 12.96
111 11.67 60.17 15.04 22.49 12.98
112 11.75 64.93 15.31 16.87 11.55
113 11.78 37.82 12.55 17.68 9.84
114 11.98 34.78 12.33 19.92 10.44
115 12.05 32.53 11.59 17.68 9.15
116 12.20 40.50 13.54 22.31 10.78
117 12.33 50.25 15.30 29.26 12.50
118 12.48 68.17 13.52 15.83 11.25
119 12.12 27.60 9.56 14.65 9.58
120 12.06 45.11 13.75 23.94 10.12
121 12.18 70.19 13.35 9.51 8.41
122 12.26 60.71 14.63 20.43 11.49
123 12.67 30.04 12.47 17.50 11.14
124 12.53 57.71 16.01 28.96 13.95
125 12.47 65.37 15.02 16.47 11.83
126 12.72 47.05 14.90 29.27 12.88
127 12.72 52.87 14.66 27.46 13.35
128 12.62 62.98 14.38 20.85 12.97
129 12.76 43.06 14.80 25.90 11.77
130 12.85 38.03 13.69 21.98 12.29
131 12.73 73.50 12.76 8.82 8.46
132 12.98 71.42 12.76 9.65 9.91
133 13.20 32.94 12.61 21.47 12.15
134 13.19 25.66 10.17 12.77 13.33
135 13.46 27.86 11.29 14.67 14.70
136 13.37 35.71 13.99 21.25 12.76
137 13.45 60.51 15.74 24.40 15.75
138 13.58 65.62 15.34 21.56 14.69
139 13.63 44.68 14.98 28.88 15.38
140 13.58 49.41 15.02 28.51 15.11
141 13.58 55.10 16.12 32.68 15.49
142 13.68 40.34 13.78 24.42 13.86
143 13.37 63.11 16.12 18.61 15.39
144 13.62 73.78 12.89 11.09 10.53
145 13.63 70.23 13.86 11.82 11.73
146 13.40 72.40 14.00 8.00 9.00
147 14.11 51.84 16.36 29.00 17.49
148 13.95 57.86 16.20 28.84 18.20
149 14.00 24.29 10.03 11.78 20.99
150 14.20 68.38 14.31 15.96 16.31
151 14.32 47.22 15.94 26.73 17.61
152 14.26 37.29 14.10 23.38 16.52
153 14.24 31.45 12.50 18.10 16.62
154 14.67 42.00 15.19 30.38 18.68
155 14.10 72.69 14.02 11.21 11.66
156 14.55 62.90 15.74 24.88 23.07
157 14.64 34.37 13.15 19.50 19.60
158 14.69 26.27 10.53 12.33 26.24
159 14.80 70.84 14.22 13.11 17.08
160 14.87 29.44 11.56 12.69 24.67
161 14.93 53.98 16.31 33.27 24.68
162 14.86 59.95 16.31 31.38 26.12
163 14.96 44.42 16.22 30.58 22.39
164 14.94 66.19 15.21 22.60 24.68
165 15.13 56.60 16.41 35.07 25.66
