#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
ra7 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.00 47.91 13.91 10.91 13.28
1 2.26 45.96 14.73 12.01 20.98
2 2.68 43.42 14.11 12.51 43.09
3 2.55 49.59 15.28 11.17 11.76
4 2.95 51.75 15.66 11.91 10.52
5 3.36 49.62 15.23 11.77 23.19
6 3.71 47.39 15.42 11.71 35.94
7 3.84 52.65 15.09 12.92 12.91
8 4.19 44.59 15.26 13.02 63.69
9 4.19 49.80 15.52 14.66 30.75
10 4.06 54.95 16.36 13.08 8.91
11 4.35 56.63 15.76 15.03 6.24
12 5.13 51.58 16.41 14.87 35.76
13 5.15 45.98 15.33 14.37 60.86
14 5.05 54.07 14.89 12.47 23.30
15 5.27 42.52 16.35 15.07 55.03
16 5.28 48.44 16.37 16.54 49.42
17 5.12 37.00 13.30 15.30 50.46
18 4.99 56.84 15.06 15.84 8.18
19 5.37 39.72 16.83 15.86 51.27
20 6.13 58.05 16.88 14.13 7.35
21 5.89 37.84 16.73 19.20 42.62
22 6.24 45.06 15.57 16.33 60.80
23 6.36 50.16 16.24 15.99 47.02
24 6.36 55.78 16.54 14.91 11.32
25 6.34 59.92 14.30 13.30 6.40
26 6.67 40.01 17.00 19.60 42.12
27 6.76 47.54 17.31 17.63 60.30
28 6.47 37.14 16.25 16.75 30.54
29 6.76 42.45 15.72 18.16 54.68
30 6.70 53.76 14.16 17.83 33.61
31 6.95 33.02 14.30 16.65 18.20
32 7.53 51.56 16.82 22.60 41.45
33 7.30 58.67 15.40 18.07 7.64
34 7.30 34.93 16.64 20.09 22.22
35 7.43 37.99 16.51 18.75 27.41
36 7.51 44.79 16.69 21.26 46.72
37 7.71 54.05 18.42 16.18 22.03
38 7.81 60.75 14.60 14.67 7.21
39 7.95 49.18 17.79 24.62 52.45
40 7.69 56.70 13.98 18.55 10.55
41 7.71 36.27 17.00 22.45 22.48
42 7.94 40.36 17.32 24.25 20.80
43 8.13 31.83 15.32 22.70 15.90
44 8.09 42.62 16.85 23.55 27.32
45 8.27 46.67 17.61 18.79 42.73
46 8.45 34.62 14.35 21.72 13.95
47 8.31 61.51 16.33 11.33 6.42
48 8.62 57.59 16.80 16.68 10.12
49 8.70 63.38 14.01 14.57 6.84
50 8.72 37.45 17.66 24.47 12.09
51 8.89 39.26 16.65 22.38 11.52
52 8.98 44.33 16.55 23.42 18.72
53 9.13 50.60 17.98 23.81 34.88
54 8.96 59.62 14.69 14.87 9.16
55 9.20 55.69 16.94 19.88 13.84
56 9.11 41.68 17.05 24.47 14.63
57 9.34 48.30 19.16 32.46 23.20
58 9.36 52.97 18.20 22.79 29.25
59 9.87 60.87 15.03 15.81 8.45
60 9.65 32.66 16.43 23.14 9.98
61 9.49 58.64 16.81 14.50 7.62
62 9.78 35.40 17.38 24.67 10.46
63 9.83 46.05 17.76 30.56 15.02
64 9.66 28.96 14.93 20.62 7.78
65 9.86 37.80 16.82 24.75 9.69
66 10.04 40.52 16.30 27.68 10.72
67 9.92 27.24 13.88 18.09 7.44
68 10.24 57.35 17.52 19.20 9.31
69 10.32 43.51 17.25 25.36 12.18
70 10.29 63.20 14.66 13.21 8.68
71 10.57 51.57 17.32 26.03 13.04
72 10.52 54.31 18.89 26.76 15.18
73 10.52 48.87 17.52 24.42 12.11
74 10.99 33.04 15.43 23.26 9.35
75 11.04 38.62 16.26 28.42 9.33
76 11.09 35.82 17.18 23.34 10.19
77 11.16 61.77 16.81 15.97 9.71
78 11.12 46.22 18.39 31.03 10.22
79 11.27 41.35 17.92 28.56 10.85
80 11.52 31.16 15.18 22.86 8.96
81 11.15 58.03 17.44 19.44 12.78
82 11.46 29.73 14.88 22.95 9.30
83 11.52 56.17 19.46 25.00 10.76
84 11.43 59.41 16.26 20.34 10.38
85 11.71 43.57 17.97 33.06 11.66
86 11.82 51.02 17.02 32.83 12.69
87 11.75 48.70 17.72 28.65 11.52
88 11.74 53.68 18.37 31.07 11.77
89 11.63 65.46 12.45 11.52 18.70
90 12.07 26.10 14.88 16.34 8.96
91 11.95 63.76 15.59 16.20 11.18
92 12.36 36.95 17.53 29.17 11.77
93 12.16 66.79 12.58 11.65 20.02
94 12.23 39.39 17.16 29.31 10.87
95 12.49 45.37 17.67 44.05 12.02
96 12.27 33.30 17.14 23.22 10.78
97 12.42 57.73 18.29 29.19 13.13
98 12.07 60.79 18.44 16.50 13.19
99 12.39 34.94 16.76 25.02 11.74
100 12.28 28.36 12.98 18.53 10.70
101 12.54 62.02 16.67 17.17 11.18
102 12.78 41.62 17.39 31.76 12.09
103 12.35 59.94 19.73 15.64 12.27
104 12.94 47.53 17.47 39.75 13.36
105 12.70 30.39 16.04 22.58 11.35
106 13.08 55.03 18.26 37.09 14.57
107 13.16 52.45 17.94 37.78 15.14
108 13.27 23.58 12.03 16.20 9.87
109 13.25 49.87 17.90 39.44 15.22
110 13.26 59.79 17.40 26.90 15.77
111 13.31 68.15 12.71 10.42 22.71
112 13.24 25.19 14.64 16.56 10.87
113 13.11 31.92 18.68 29.75 12.19
114 13.20 65.42 15.86 12.63 19.07
115 13.56 43.62 18.86 37.82 14.65
116 13.56 39.48 16.92 33.52 13.50
117 13.52 63.91 16.47 16.02 15.69
118 13.81 27.39 16.72 20.96 14.72
119 13.28 62.52 19.15 16.23 13.23
120 13.66 36.70 16.74 29.25 13.27
121 13.34 66.48 14.75 13.75 21.62
122 13.84 34.60 18.42 29.80 14.42
123 13.94 57.34 18.50 35.19 20.48
124 14.11 30.08 17.34 25.13 14.75
125 13.93 32.17 17.47 28.82 12.45
126 14.08 62.06 17.50 22.19 17.78
127 14.13 46.20 17.13 35.63 20.33
128 14.56 41.51 18.16 39.57 17.62
129 14.40 22.76 12.57 14.45 13.46
130 14.74 48.48 18.51 43.99 33.51
131 14.53 50.92 18.66 42.87 32.74
132 14.51 69.10 14.39 11.90 31.31
133 14.62 53.18 18.78 42.51 33.18
134 14.62 25.04 14.71 17.72 18.89
135 14.72 38.06 19.69 32.07 17.29
136 14.89 55.48 19.57 36.52 35.89
137 14.69 59.90 17.19 26.05 20.71
138 14.79 64.66 14.97 13.36 19.12
139 14.75 28.48 15.87 25.09 17.51
140 14.93 44.16 18.68 46.40 23.10
141 15.26 67.18 14.62 11.90 22.26
142 15.06 33.40 19.36 28.87 19.95
143 15.09 35.54 17.97 27.64 22.12
144 15.67 70.49 13.16 10.47 39.22
145 15.38 31.28 18.67 32.27 19.49
146 15.46 58.11 19.77 28.70 39.32
147 15.60 39.76 19.52 33.30 25.37
148 15.35 27.15 16.86 22.20 27.02
149 15.69 46.46 18.29 43.84 53.88
150 15.59 22.07 13.53 12.05 22.68
151 15.85 24.33 15.36 18.65 33.39
152 16.00 63.52 17.26 14.94 22.08
153 16.00 53.96 18.63 28.80 80.26
154 15.85 61.06 17.32 21.01 27.09
155 15.94 51.23 18.28 29.02 105.75
156 16.09 37.15 18.28 33.64 33.43
157 16.30 41.74 18.06 35.45 44.12
158 16.03 27.14 14.82 21.41 28.74
159 16.23 44.07 18.88 40.73 58.36
160 16.52 48.51 19.28 33.96 115.93
161 16.46 56.72 17.80 25.48 88.94
162 16.28 34.87 17.30 25.03 39.56
163 16.45 66.07 17.10 11.90 21.07
164 16.44 33.34 18.97 23.85 40.18
165 16.69 74.02 12.05 10.04 23.48
