#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rf6 14A 8 even-skipped Kruppel hunchback

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - hb>
0 1.90 52.07 8.61 17.26 17.44
1 2.39 49.70 11.17 18.95 25.15
2 2.59 53.99 11.57 16.84 25.18
3 2.48 47.09 11.16 20.24 21.84
4 3.24 56.91 12.26 17.99 29.04
5 3.41 44.94 12.01 25.23 30.36
6 3.59 51.32 12.06 18.74 30.83
7 3.79 48.34 12.32 24.17 28.49
8 4.16 54.08 11.50 17.30 32.28
9 4.67 59.39 12.06 17.74 44.23
10 4.69 46.07 12.30 25.87 34.92
11 4.75 43.04 13.08 26.68 32.54
12 5.11 50.96 11.60 19.66 35.17
13 4.98 56.18 11.22 17.93 35.01
14 4.92 52.22 11.65 18.61 36.35
15 5.30 61.76 12.30 18.78 43.38
16 5.55 48.26 12.28 19.80 35.51
17 5.92 53.65 13.02 18.87 45.49
18 5.71 41.32 14.80 31.67 43.56
19 5.88 44.85 13.50 26.59 37.81
20 6.16 38.98 13.25 35.43 37.16
21 6.16 56.60 12.01 19.76 47.86
22 6.16 59.49 13.70 20.80 55.93
23 6.36 50.60 12.81 22.38 41.74
24 6.33 64.27 11.87 16.06 38.27
25 6.38 42.15 14.02 34.52 47.74
26 6.91 61.84 12.73 20.59 65.30
27 6.99 45.88 14.01 24.59 47.17
28 7.07 36.88 14.78 36.69 46.41
29 7.27 48.62 13.41 22.73 53.72
30 7.10 42.63 14.03 27.93 46.44
31 7.19 40.02 15.77 39.60 49.43
32 7.31 54.95 14.60 20.53 52.49
33 7.12 66.31 11.80 14.12 33.02
34 7.43 58.01 12.96 26.07 59.35
35 7.50 51.78 13.42 19.56 52.89
36 7.65 65.53 12.00 15.61 45.18
37 8.05 63.23 13.37 18.41 65.57
38 8.01 34.70 12.39 35.56 39.78
39 7.90 40.00 14.28 38.36 49.17
40 8.12 43.36 15.14 31.39 54.68
41 8.34 46.32 14.58 26.42 58.99
42 8.34 60.24 13.31 20.97 74.58
43 8.36 37.62 13.33 33.83 54.81
44 8.50 54.09 13.67 23.58 73.38
45 8.41 67.68 12.20 14.81 33.18
46 8.66 48.89 14.33 30.56 62.43
47 8.81 57.20 14.69 24.45 77.31
48 8.93 51.46 15.70 24.34 70.87
49 9.01 65.12 13.77 17.99 85.37
50 8.93 40.89 15.49 36.54 63.36
51 9.19 33.16 12.79 32.28 32.52
52 9.44 43.64 14.86 29.37 66.62
53 9.59 62.45 14.36 18.06 83.82
54 9.60 35.58 14.72 36.98 51.21
55 9.64 38.55 14.94 42.27 72.61
56 9.74 46.43 15.91 32.00 75.70
57 9.79 59.79 14.58 23.69 94.81
58 9.82 67.25 14.82 20.08 77.21
59 9.85 70.12 11.10 14.57 40.84
60 9.73 54.55 14.45 24.32 86.80
61 10.07 49.28 14.64 29.29 82.47
62 10.38 57.16 14.53 25.04 99.72
63 10.46 51.91 15.74 28.54 89.67
64 10.45 32.30 13.60 40.90 49.65
65 10.48 40.93 15.52 35.60 74.40
66 10.92 64.77 12.93 18.49 87.77
67 10.82 37.58 15.78 40.12 74.14
68 10.80 43.95 16.21 35.36 81.40
69 11.05 29.50 12.33 38.26 37.39
70 11.10 34.60 16.18 46.52 64.23
71 11.09 47.01 14.67 31.98 85.21
72 11.08 61.94 15.28 21.16 105.56
73 11.05 68.54 13.36 15.72 81.22
74 11.10 54.31 16.92 36.27 115.72
75 11.39 59.24 15.72 29.55 118.81
76 11.58 50.00 15.83 36.41 100.96
77 11.96 42.00 16.12 37.05 98.30
78 11.94 56.17 16.00 36.50 121.48
79 12.01 31.40 14.86 39.39 54.67
80 11.96 39.50 16.91 40.22 83.87
81 12.21 44.93 18.20 49.11 105.24
82 12.35 70.33 13.42 14.27 73.63
83 12.25 36.56 15.94 39.90 91.53
84 12.26 28.13 12.84 36.24 33.20
85 12.29 52.75 15.94 38.87 114.23
86 12.33 63.27 13.87 19.53 114.82
87 12.25 67.08 14.20 16.95 99.78
88 12.50 33.79 15.94 40.20 81.07
89 12.55 47.58 17.19 38.17 116.89
90 12.75 60.90 16.58 26.24 128.74
91 12.94 58.13 16.45 34.52 132.32
92 13.09 49.90 17.03 50.43 117.13
93 13.15 64.90 14.88 19.23 110.87
94 13.34 29.44 15.97 45.64 82.47
95 13.37 38.30 16.94 42.97 111.29
96 13.34 54.81 17.09 42.89 134.88
97 13.40 43.38 16.06 41.99 114.85
98 13.67 40.87 16.72 44.11 115.50
99 13.55 73.06 12.50 12.86 67.59
100 13.74 26.71 14.05 44.93 36.35
101 13.69 32.50 16.33 50.43 91.56
102 13.71 67.31 16.10 16.38 109.95
103 13.86 35.54 17.36 55.24 97.18
104 13.87 46.03 16.97 40.70 117.31
105 13.97 51.96 17.21 56.55 131.09
106 14.05 70.29 13.34 14.43 94.02
107 14.10 62.66 17.24 23.33 113.24
108 14.25 59.65 17.83 28.19 149.38
109 14.44 56.85 18.75 43.02 141.71
110 14.53 48.80 17.56 45.54 121.56
111 14.64 30.62 16.99 54.08 84.54
112 14.81 65.08 16.01 17.66 121.19
113 14.83 38.77 17.35 43.56 113.96
114 14.91 54.18 18.92 47.73 148.23
115 14.88 42.70 17.23 49.04 116.76
116 15.23 28.49 16.91 52.70 92.20
117 15.31 25.82 14.05 43.87 83.02
118 15.18 72.85 14.21 13.13 80.30
119 15.25 67.67 15.42 14.28 106.39
120 15.30 32.64 16.09 46.19 107.84
121 15.29 35.30 17.84 51.34 122.51
122 15.41 45.53 18.46 42.58 127.58
123 15.38 60.74 16.78 31.77 132.58
124 15.60 51.02 18.43 51.76 122.96
125 15.65 70.47 17.10 14.64 114.26
126 15.86 57.40 16.33 31.64 135.36
127 16.06 63.20 16.97 20.89 124.02
128 15.92 48.07 18.54 53.33 139.98
129 16.09 40.50 17.46 43.52 127.52
130 16.22 37.33 19.19 49.01 124.58
131 16.16 74.97 15.77 12.45 74.44
132 16.14 53.77 17.76 41.81 147.42
133 16.43 30.50 16.46 42.19 95.38
134 16.50 43.39 16.93 40.61 121.83
135 16.44 65.73 17.09 14.70 102.85
136 16.44 24.58 15.05 39.23 41.99
137 16.61 33.75 16.86 48.75 111.52
138 16.83 27.30 15.40 47.48 82.59
139 16.76 60.15 18.84 27.10 141.50
140 16.79 68.70 15.95 13.97 112.40
141 16.90 71.76 15.99 13.19 93.67
142 17.13 46.19 16.48 38.59 133.74
143 17.17 55.31 17.90 38.63 157.71
144 17.13 49.07 19.18 46.95 141.96
145 17.19 52.02 17.39 36.65 143.58
146 17.34 38.48 16.41 45.06 115.37
147 17.62 57.84 16.34 33.16 144.12
148 17.64 62.32 17.45 22.10 129.63
149 17.53 74.63 14.65 13.31 86.72
150 17.63 21.80 12.15 33.23 35.12
151 17.73 35.27 17.76 48.29 115.68
152 17.70 41.41 18.06 36.28 107.31
153 18.02 64.60 16.29 15.53 110.43
154 17.63 24.65 14.14 38.85 57.85
155 17.85 29.28 15.82 42.71 98.36
156 17.75 31.95 16.16 39.72 97.65
157 17.83 66.88 16.43 14.08 99.28
158 18.12 44.13 16.44 36.68 102.60
159 18.21 69.33 16.29 14.05 104.40
160 18.41 50.09 18.17 33.64 119.23
161 18.47 26.67 16.54 42.49 90.12
162 18.56 60.06 17.93 22.85 125.31
163 18.48 71.86 16.76 13.70 99.10
164 18.44 76.63 15.82 12.40 57.96
165 18.56 47.52 16.78 29.69 123.48
