#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
rge9 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 2.61 46.42 7.35 17.80 6.27
1 3.18 49.91 8.28 18.92 5.62
2 3.18 44.43 7.93 20.79 10.10
3 3.79 41.66 9.00 21.52 16.03
4 4.35 47.48 9.62 19.62 10.56
5 4.31 39.20 10.34 23.75 29.42
6 4.45 42.53 9.60 23.24 17.99
7 4.36 50.34 8.74 19.26 9.11
8 4.90 53.32 9.74 19.37 6.30
9 5.13 44.75 8.60 21.89 21.87
10 5.54 37.98 9.81 20.39 35.98
11 5.66 41.53 10.45 22.44 36.04
12 5.90 47.56 10.96 22.47 29.37
13 5.89 55.85 9.94 20.80 5.85
14 5.99 50.67 10.44 26.40 11.60
15 6.40 53.50 10.36 24.64 7.26
16 6.65 44.91 11.13 24.51 30.94
17 6.86 39.99 11.54 26.25 56.90
18 6.82 57.88 9.60 23.47 6.01
19 7.12 37.71 10.59 26.48 51.92
20 7.18 42.73 11.40 25.77 49.75
21 7.21 34.71 10.31 24.21 57.00
22 7.08 49.04 12.64 26.81 27.34
23 7.43 55.73 11.06 22.76 6.13
24 7.27 47.21 11.38 23.82 37.74
25 7.64 52.21 10.58 30.30 11.34
26 7.94 32.45 10.11 28.33 49.72
27 7.78 58.98 10.00 24.05 6.42
28 7.44 60.92 10.38 22.50 5.50
29 8.00 47.08 10.81 29.58 40.58
30 8.44 44.96 12.38 28.94 50.95
31 8.31 39.77 10.74 26.75 62.20
32 8.55 36.96 11.55 30.82 60.73
33 8.67 42.36 11.94 29.00 61.15
34 8.64 49.85 12.00 29.27 27.31
35 8.55 54.15 11.65 28.22 8.92
36 8.78 56.95 11.12 23.94 6.84
37 8.94 34.57 12.28 32.61 50.08
38 9.31 64.20 9.06 17.59 5.40
39 9.43 31.82 10.76 30.37 25.66
40 9.34 47.20 12.31 28.66 42.44
41 9.56 59.50 10.35 22.25 6.10
42 9.73 29.54 10.48 32.37 17.55
43 9.75 40.57 11.92 31.09 54.67
44 9.95 51.11 13.23 33.33 22.97
45 9.96 43.72 13.12 31.92 48.40
46 9.96 37.47 11.79 38.33 40.46
47 10.03 53.80 12.58 30.58 9.46
48 10.05 56.63 11.00 25.72 7.44
49 10.17 61.94 10.59 20.09 6.06
50 10.27 27.05 10.72 30.18 9.39
51 10.03 33.68 12.48 35.95 32.98
52 10.53 48.85 13.00 31.12 43.09
53 10.39 34.94 12.04 35.80 26.89
54 10.69 46.05 12.77 35.70 52.59
55 10.66 66.45 9.71 17.04 6.13
56 11.06 31.86 12.15 36.35 10.50
57 11.10 39.59 13.05 35.97 42.85
58 11.03 29.26 10.37 35.12 9.64
59 11.12 42.18 14.23 36.91 40.48
60 11.23 64.09 10.86 20.11 6.66
61 11.32 59.90 11.63 24.16 7.81
62 11.30 52.54 14.06 34.01 10.36
63 11.41 57.61 13.20 27.91 7.95
64 11.26 36.93 13.57 38.35 19.96
65 11.39 55.23 13.49 30.14 9.14
66 11.58 34.47 12.43 38.90 12.01
67 11.68 26.68 10.96 31.59 7.50
68 11.96 44.61 14.73 44.66 37.45
69 11.74 50.13 12.98 35.28 18.22
70 12.05 47.57 13.44 43.68 26.77
71 12.11 62.10 11.72 22.73 7.62
72 12.41 29.10 11.82 39.10 8.86
73 12.44 39.00 14.42 41.28 16.70
74 12.57 31.24 12.89 37.67 9.43
75 12.55 41.90 13.65 45.29 17.91
76 12.64 36.51 14.34 42.85 11.36
77 12.78 52.45 14.61 37.40 10.71
78 12.78 33.63 12.56 39.48 9.91
79 12.74 58.32 14.12 25.66 9.30
80 12.86 64.28 10.80 20.65 11.72
81 12.78 55.38 13.78 32.26 9.22
82 13.02 26.64 10.44 29.52 7.69
83 13.02 49.85 13.79 39.06 13.25
84 12.87 24.04 8.49 24.93 6.69
85 13.17 61.23 12.15 23.47 9.97
86 13.35 44.60 15.17 52.47 15.13
87 13.42 47.15 15.69 52.99 15.17
88 13.74 40.39 15.90 48.67 12.38
89 13.81 29.40 12.25 35.49 9.27
90 13.99 66.12 11.39 18.65 36.24
91 13.87 69.05 10.29 14.32 26.35
92 13.90 37.63 14.60 45.38 11.58
93 14.04 24.86 10.54 35.50 8.92
94 13.89 56.50 13.70 28.18 10.59
95 13.73 58.76 14.21 26.06 11.09
96 14.16 22.36 8.88 27.16 7.75
97 14.16 32.23 13.43 43.63 10.82
98 14.02 34.93 14.40 46.07 11.80
99 14.20 71.43 9.86 12.88 31.95
100 14.17 43.09 16.01 52.02 11.40
101 14.14 53.89 14.06 35.35 11.77
102 14.28 63.01 12.34 23.10 25.66
103 14.39 49.31 15.11 44.57 12.41
104 14.51 51.66 15.50 42.20 13.21
105 14.86 27.48 12.22 38.99 12.68
106 14.36 59.21 13.13 26.42 12.03
107 14.86 47.00 15.24 48.23 12.99
108 14.76 72.69 9.00 11.63 28.48
109 15.11 39.40 14.65 49.92 14.82
110 15.07 68.15 11.57 16.22 48.62
111 15.31 30.55 14.58 45.50 13.01
112 15.24 36.14 16.00 47.87 14.41
113 15.33 42.00 15.91 53.08 14.95
114 15.20 55.39 16.19 34.76 12.58
115 15.20 58.00 14.57 30.44 14.76
116 15.49 22.03 10.19 28.73 12.55
117 15.50 44.74 16.40 51.38 14.99
118 15.49 64.81 13.20 20.09 37.40
119 15.57 33.58 14.63 42.66 15.03
120 15.27 60.64 13.00 23.62 25.81
121 15.86 70.16 11.41 13.97 43.30
122 15.78 25.36 12.23 35.65 14.05
123 15.83 53.16 16.61 40.32 15.11
124 15.66 50.30 17.43 37.21 16.55
125 16.15 62.23 14.47 22.44 43.28
126 15.79 67.10 10.33 15.61 51.28
127 16.02 72.58 10.51 11.60 29.26
128 16.26 37.94 17.19 57.66 20.90
129 16.19 47.37 16.38 55.40 20.17
130 16.32 28.52 13.01 41.99 25.08
131 16.41 56.72 14.81 34.72 16.07
132 16.39 59.53 14.77 27.02 22.32
133 16.64 40.69 16.43 54.57 24.04
134 16.75 43.19 16.64 52.05 28.12
135 16.72 31.22 14.08 45.44 22.48
136 16.99 75.14 9.44 11.91 14.64
137 16.70 21.15 10.33 25.59 21.72
138 16.98 36.12 16.38 46.03 30.39
139 16.94 67.20 11.82 18.08 48.23
140 16.80 73.07 10.49 12.12 23.94
141 17.10 64.28 13.86 22.07 42.58
142 17.06 23.72 12.25 33.76 29.67
143 17.02 33.84 15.90 48.66 30.92
144 17.09 45.61 18.42 60.06 32.20
145 17.10 51.82 16.85 50.32 22.13
146 17.31 54.78 16.09 38.21 18.72
147 17.33 26.73 14.03 39.66 36.17
148 17.35 48.62 18.07 51.55 31.67
149 17.46 70.31 11.29 15.57 30.42
150 17.53 60.95 14.74 24.81 30.51
151 17.52 38.79 17.75 48.94 46.71
152 17.72 58.01 15.89 28.37 25.35
153 18.02 41.24 16.96 42.92 94.08
154 17.94 20.69 10.64 24.53 59.08
155 18.04 29.48 14.36 36.57 66.57
156 17.81 72.81 11.90 15.29 19.00
157 18.08 32.21 14.73 37.23 70.65
158 18.07 44.31 17.73 49.16 72.51
159 18.16 50.54 17.15 50.26 42.74
160 18.36 34.91 16.82 39.42 91.34
161 18.39 53.64 18.17 40.17 27.13
162 18.33 25.10 13.47 36.21 78.75
163 18.36 62.65 14.46 23.99 29.54
164 18.53 65.28 13.83 21.12 38.02
165 18.48 68.33 12.89 18.90 30.65
