#<Embryo name> <Cleavage cycle> <Temporal class> <Genes>
tim18 14A 8 even-skipped Kruppel giant

#Quantitative data
#<Nucleus number> <A-P coordinate> <D-V coordinate> <Fluorescence intensity: channel 1 - eve, channel 2 - Kr, channel 3 - gt>
0 3.24 36.97 22.33 6.65 35.44
1 3.68 46.39 26.03 5.65 16.72
2 3.84 40.20 26.34 10.04 51.82
3 3.81 43.50 25.86 8.23 29.86
4 4.23 33.80 18.73 5.48 92.87
5 4.90 37.38 23.52 7.51 82.53
6 4.69 50.71 27.43 5.86 14.71
7 5.30 40.94 25.23 8.62 81.76
8 5.20 44.46 31.98 10.28 39.63
9 5.43 31.93 22.27 6.52 95.38
10 5.77 47.25 30.80 8.59 37.22
11 5.79 34.75 25.96 8.53 104.17
12 5.39 49.78 36.00 9.75 18.50
13 6.53 53.57 31.27 9.60 14.64
14 6.19 29.40 18.02 6.54 117.23
15 6.43 38.28 25.66 7.62 114.74
16 6.46 42.95 31.32 9.41 93.39
17 6.48 50.34 35.14 12.77 17.75
18 7.23 45.16 28.66 9.79 69.23
19 7.34 32.70 22.61 10.07 142.78
20 7.26 35.32 23.56 11.26 127.41
21 7.48 40.60 29.87 10.24 124.91
22 7.50 48.23 35.99 12.78 37.17
23 7.60 29.29 19.71 8.16 131.74
24 7.88 51.30 34.91 11.60 18.60
25 8.09 37.31 26.41 9.74 117.27
26 8.62 53.99 36.40 12.06 16.99
27 8.55 57.72 35.51 8.75 15.60
28 8.53 46.35 34.90 15.52 70.23
29 8.46 26.52 18.90 7.04 115.00
30 8.79 43.09 30.90 12.65 118.91
31 8.77 30.78 20.34 9.47 132.72
32 8.99 49.23 37.10 17.95 40.03
33 9.05 40.14 32.38 13.46 127.33
34 9.57 34.92 24.18 13.54 105.73
35 9.73 32.32 23.43 13.21 118.60
36 9.68 37.68 28.76 19.06 128.16
37 9.61 28.03 19.65 10.13 102.99
38 9.74 51.61 36.87 13.70 19.83
39 9.90 59.61 39.08 8.77 19.38
40 9.99 46.17 35.90 17.43 69.57
41 9.95 56.51 41.88 14.27 18.88
42 10.38 42.67 33.25 17.49 84.97
43 10.12 54.98 40.30 15.90 16.90
44 10.64 49.04 43.76 30.21 28.13
45 10.64 62.18 35.64 7.85 34.84
46 10.79 27.20 19.67 12.03 49.10
47 10.99 30.34 22.99 17.34 50.88
48 11.01 39.88 33.35 22.64 75.81
49 10.85 53.88 39.37 16.13 19.12
50 11.28 33.16 25.41 20.72 52.80
51 11.23 36.53 27.03 25.24 62.85
52 11.29 56.87 43.01 14.66 26.52
53 11.43 51.35 39.23 16.80 22.59
54 11.42 45.24 36.52 19.60 45.73
55 11.72 59.52 42.15 14.17 48.21
56 12.14 62.44 39.36 9.88 57.05
57 11.95 26.41 22.17 20.54 21.68
58 12.12 54.33 46.39 15.62 23.65
59 12.12 48.63 42.74 23.47 26.70
60 12.23 42.12 38.81 40.51 38.38
61 12.38 29.35 21.13 21.90 22.51
62 12.40 38.94 36.38 25.51 27.40
63 12.53 35.59 29.01 28.05 26.20
64 12.72 46.06 41.16 31.92 27.55
65 12.79 32.35 26.91 26.24 22.96
66 12.87 57.31 42.33 15.99 41.06
67 12.53 52.38 46.29 19.52 22.14
68 13.11 25.95 18.16 17.58 18.00
69 13.04 51.06 45.02 30.60 24.70
70 13.57 60.05 44.96 12.70 65.57
71 13.35 66.65 37.39 6.74 96.96
72 13.64 43.56 42.08 50.16 30.19
73 13.35 54.38 45.53 16.65 33.44
74 13.63 48.83 44.47 35.57 29.38
75 13.80 40.82 38.94 55.76 31.78
76 13.81 29.13 21.62 25.13 21.72
77 13.94 63.19 43.17 9.92 104.45
78 13.96 34.93 29.85 42.58 26.06
79 13.83 37.97 34.43 36.54 29.23
80 14.26 69.04 30.61 4.87 65.53
81 14.44 45.87 44.94 38.74 39.18
82 14.40 31.90 24.50 39.55 26.23
83 14.55 51.59 49.53 28.68 33.19
84 14.39 57.25 46.97 13.90 33.43
85 14.49 26.53 22.21 21.44 23.59
86 15.24 65.34 43.15 8.99 82.74
87 15.14 48.19 47.82 39.13 46.68
88 15.15 39.69 37.54 42.92 70.86
89 15.11 54.63 53.18 23.96 37.42
90 15.16 59.80 45.57 14.42 57.42
91 15.33 42.70 43.45 54.97 58.62
92 15.39 36.93 36.67 34.92 47.73
93 15.53 29.08 25.95 30.79 35.51
94 15.39 33.78 31.77 37.03 38.68
95 15.45 62.24 43.51 10.64 66.07
96 15.88 25.62 22.20 19.19 32.16
97 16.08 49.98 49.51 33.04 60.44
98 15.65 57.03 49.33 13.20 39.23
99 16.02 70.46 33.98 5.58 32.47
100 16.09 45.06 45.52 50.84 98.71
101 16.31 31.87 28.49 31.84 58.71
102 16.32 52.63 52.35 22.41 53.37
103 16.03 67.95 46.97 10.14 52.04
104 16.26 57.97 55.83 15.26 34.76
105 16.57 35.20 32.10 23.16 91.77
106 16.56 40.26 39.02 29.39 168.80
107 16.87 55.32 54.86 18.96 45.01
108 16.89 47.27 49.42 31.19 103.08
109 16.88 65.49 49.33 9.86 46.35
110 17.24 37.82 37.24 26.03 178.88
111 16.98 59.68 57.19 14.64 41.00
112 17.06 62.43 53.54 11.89 38.98
113 17.26 29.63 25.85 20.48 85.16
114 17.24 42.78 43.80 27.28 182.67
115 17.12 23.01 16.87 18.22 52.21
116 17.04 26.63 20.87 17.23 66.73
117 17.15 70.30 48.00 7.85 35.16
118 17.76 49.60 50.57 40.71 102.49
119 17.93 45.03 50.86 26.09 183.81
120 17.69 73.16 33.77 3.77 21.77
121 18.00 32.50 27.66 16.11 193.01
122 18.13 57.68 57.25 16.22 47.10
123 17.75 27.13 23.00 25.25 84.97
124 17.94 35.46 34.34 22.65 200.93
125 18.14 52.23 56.29 29.02 72.12
126 18.16 40.17 37.60 18.87 212.42
127 17.98 55.58 62.45 13.55 53.32
128 18.25 63.60 55.37 12.80 43.23
129 18.17 70.90 51.74 8.29 30.34
130 18.42 24.44 21.29 14.41 167.50
131 18.83 20.96 16.05 8.93 144.95
132 18.53 54.46 55.64 19.30 63.87
133 18.62 66.98 54.65 10.62 33.45
134 18.87 47.35 53.52 27.33 162.97
135 18.93 30.12 26.93 14.52 212.72
136 18.88 42.40 42.75 19.05 224.94
137 19.10 27.42 20.51 8.66 202.39
138 19.09 37.57 34.48 14.82 227.53
139 19.15 72.88 43.60 7.29 27.64
140 19.24 34.66 32.59 13.94 230.26
141 19.39 50.05 59.25 22.77 119.33
142 19.60 44.92 46.23 18.43 207.71
143 19.46 64.39 61.45 14.10 42.66
144 19.70 55.87 60.82 17.37 67.06
145 19.79 39.83 43.53 14.63 238.62
146 19.58 58.47 65.62 17.58 53.82
147 19.70 61.14 65.93 17.17 45.85
148 19.71 52.85 64.40 20.01 82.01
149 19.75 24.01 23.16 8.85 220.22
150 19.81 68.99 57.26 12.23 38.69
151 19.78 71.20 57.46 10.72 33.57
152 20.01 32.10 29.83 10.90 236.74
153 20.17 66.87 55.94 10.65 37.25
154 20.18 74.03 47.13 9.04 35.51
155 20.35 42.22 46.91 17.14 221.64
156 20.46 47.41 56.41 22.11 173.94
157 20.51 19.30 13.26 5.17 181.41
158 20.74 29.47 25.52 8.43 229.67
159 20.50 35.04 34.65 10.73 233.44
160 20.78 26.45 22.72 7.71 225.82
161 20.76 37.90 33.66 10.45 214.64
162 20.71 62.27 71.19 15.73 52.04
163 20.72 50.62 58.80 20.73 128.06
164 20.87 22.85 17.46 6.75 214.14
165 20.98 72.01 53.11 10.77 36.18
