X S
20.08 24.9071328834798
20.11 26.3826412465895
20.23 25.0322206524456
20.47 25.0750434172753
20.52 24.8624307642173
20.88 25.9887880517507
20.91 24.8128090484201
20.92 24.4950553436183
21.07 24.2331024110444
21.15 23.9494863977814
21.53 24.8177527940273
21.68 24.9298478215307
21.79 24.14259996062
21.91 22.8222700762381
22.17 24.2748556130982
22.22 24.8663909333464
22.23 23.7326670958849
22.49 24.3845435318711
22.89 24.4194696972093
22.96 22.6587979087704
23.29 23.7570916194699
23.31 23.8461378190722
23.49 24.9118143844349
23.66 24.0001085381651
23.68 24.2090432664119
23.81 24.4730222657623
24.19 23.2858964729657
24.26 25.5646206585409
24.5 24.1990703854434
24.57 24.802961812835
24.73 25.438584608958
24.99 23.8297117416368
25.06 23.4789219042978
25.22 24.2070927050326
25.29 24.0734733159294
25.5 24.6731351577669
25.52 23.3280002992796
25.7 24.0042816329967
25.87 24.6092035052636
25.87 25.672106953862
26.12 25.7398812040385
26.13 24.0549509762398
26.21 25.971933101537
26.65 24.9638679899582
26.72 25.0202457193079
26.79 24.4512406477727
26.84 23.7987075912923
26.99 25.467129161121
27.1 25.4925614625848
27.17 24.442419114658
27.27 24.1635362525624
27.33 23.7679125296165
27.79 25.9080907828156
27.84 25.1835662854454
28.01 24.2760675808002
28.03 24.4668469166489
28.05 24.1402304684808
28.22 24.9247671810507
28.32 24.2144488087578
28.33 22.7447385073506
28.83 25.2933822686016
28.91 24.4685579603851
28.99 25.3517944886974
29.04 23.3763950361576
29.08 25.2320151571608
29.09 25.8855986059647
29.15 23.4969520089654
29.36 25.1512119460133
29.83 26.6626210403375
29.88 26.5806192180563
29.91 27.0540777154879
29.91 27.2593376693425
29.94 26.492692983395
29.96 26.5856199550066
30.18 26.7863988496463
30.21 27.2730550786524
30.54 26.2089958874463
30.58 26.8803400533273
30.69 26.8188978037799
30.85 26.9732754962277
30.89 27.3787270756451
30.96 26.2854292991536
30.96 26.0378130289962
31.14 27.7175757186699
31.3 26.3632207701487
31.43 27.9049937259793
31.72 27.8282191829894
31.76 27.3115078438143
31.8 27.0673080697818
31.83 30.063775413144
31.98 29.912081168688
32.01 29.7863946911433
32.07 27.6570435459706
32.43 28.3159600204102
32.53 26.9938987936946
32.76 29.0642562311105
32.86 27.9732333551422
32.87 28.958667892644
32.93 28.1875391022923
32.94 28.3702270942922
32.99 29.5147468104299
33.09 30.7720376098448
33.42 28.5114805561068
33.7 28.1136831664238
33.71 28.1446234034901
33.79 27.938976904733
34 28.4049831434533
34.03 26.9698033205827
34.04 28.0769474769324
34.17 27.8286965251912
34.19 28.3726939302146
34.43 28.0246813468773
34.62 27.879975930483
34.75 28.2107902835466
35.02 27.4197094729607
35.15 28.1057275802627
35.2 27.350575254811
35.2 29.5336628036195
35.25 29.0752506570503
35.36 28.7790991667259
35.5 28.7213504355094
35.66 27.4929662040128
35.79 28.6915648726462
36.2 29.4493862710369
36.24 29.9995806786919
36.26 29.3600597203703
36.29 28.5895646448271
36.43 29.1399570380173
36.5 28.7435135211702
36.78 29.5850816792923
37.12 30.3367464148808
37.18 29.4838416755221
37.2 30.2497835225696
37.2 31.8091696857524
37.32 28.8757908634062
37.44 30.4035881205374
37.51 30.4559453062432
37.55 29.9680240028899
37.89 34.0303936872675
38.11 31.3491375332623
38.16 33.4675341628723
38.2 33.5037741014491
38.31 32.7125584569677
38.35 33.1148734433079
38.45 31.8921320386449
38.49 32.5265493252318
38.79 35.2211853341741
39 36.089101411715
39.01 36.3253113026762
39.1 34.131594282856
39.34 38.7490605136528
39.37 32.5597837786974
39.4 39.2969063545569
39.69 40.1448574324565
39.81 43.2823792180702
39.91 37.8424352528664
40.02 43.6568779677272
40.27 41.2076965801718
40.32 48.0212753040165
40.32 43.5555199870156
40.47 48.8560065241575
40.48 44.1331655225095
40.8 50.217844318981
40.92 62.2026237640803
41.29 56.4157148132177
41.33 65.9311396672381
41.35 60.8886327872044
41.42 66.2455181354263
41.44 49.967581429045
41.52 62.12501401129
41.54 60.5834263128431
41.99 69.9183268574211
42.09 67.8493602643359
42.36 78.3530998794433
42.43 75.052710628809
42.46 98.5607977563097
42.64 93.5749540361871
42.72 92.3354060782598
42.73 91.8882101053446
42.87 111.126162742875
43.04 88.8526719499563
43.18 109.264492757591
43.36 110.803828303901
43.57 128.899683073813
43.7 125.590470834445
43.72 136.319171863915
43.97 130.185184900649
44.01 117.830285068881
44.16 135.503712415514
44.18 130.718753184293
44.35 159.182544559431
44.62 169.153218722986
44.67 146.685510622825
44.9 162.823037522663
44.95 166.315150099355
45.05 179.508073884181
45.08 162.638123022011
45.38 179.065355893568
45.46 181.915328775099
45.53 179.422690510009
45.7 170.537230282068
45.87 194.602960738664
46.01 182.34701882209
46.03 184.755608579357
46.2 198.695683846791
46.38 190.303841558278
46.45 195.486327136676
46.51 190.816197470413
46.76 197.702417179783
46.78 191.700275195448
46.9 207.587492762225
47.07 203.003628547342
47.25 197.12761444737
47.25 207.854517137351
47.51 206.722583476501
47.57 197.129282638002
47.64 207.27291335663
47.9 203.410973103448
47.95 209.817375198944
48.17 212.307329412056
48.26 210.769798328617
48.31 212.387600189894
48.49 208.508719459936
48.49 208.420279053842
48.71 212.300725592034
48.76 207.118763671422
48.84 218.857045002651
49.15 213.445131344168
49.16 219.292949039193
49.43 215.612897173663
49.43 209.959117560962
49.57 212.097863024933
49.66 206.03211450423
49.68 219.075022650471
49.85 214.656096755352
50.1 213.629159872754
50.24 213.29235625326
50.3 221.419962440947
50.5 211.760206417503
50.51 223.022671603324
50.52 205.485848198366
50.79 208.107068361732
50.82 211.757257006126
50.88 212.410467859198
51.11 214.829999730726
51.36 211.825646535016
51.39 195.905091667798
51.55 210.434501302244
51.75 196.166253102539
51.82 198.105538160408
